body,date,year,title,minutes_md,source_pdf,source_url,pages,provenance
MPO Board,2014-01-09,2014,"M O U NT A I N L A N D MPO RE G I O NA L PL A NN I N G C O M M I T T E E Historic Courthouse, 3rd Floor Ballroom 51 Sout",legislative/minutes/2014/2014-01-09_mpo_board.md,legislative/raw_pdf/MPO Board/2014/9 Jan 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_01_09/9%20Jan%202014%20rp%20minutes.pdf,5,magutah_site
MPO Board,2014-02-06,2014,"M O U NT A I N L A N D MPO RE G I O NA L PL A NN I N G C O M M I T T E E Historic Courthouse, 3rd Floor Ballroom 51 Sout",legislative/minutes/2014/2014-02-06_mpo_board.md,legislative/raw_pdf/MPO Board/2014/6 Feb 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_02_06/6%20Feb%202014%20rp%20minutes.pdf,5,magutah_site
MPO Board,2014-03-06,2014,"M O U NT A I N L A N D MPO RE G I O NA L PL A NN I N G C O M M I T T E E Historic Courthouse, 3rd Floor Ballroom 51 Sout",legislative/minutes/2014/2014-03-06_mpo_board.md,legislative/raw_pdf/MPO Board/2014/6 mar 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_03_06/6%20mar%202014%20rp%20minutes.pdf,5,magutah_site
MPO Board,2014-04-03,2014,"M O U NT A I N L A N D MPO RE G I O NA L PL A NN I N G C O M M I T T E E Historic Courthouse, 3rd Floor Ballroom 51 Sout",legislative/minutes/2014/2014-04-03_mpo_board.md,legislative/raw_pdf/MPO Board/2014/3 Apr 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_04_03/3%20Apr%202014%20rp%20minutes.pdf,4,magutah_site
MPO Board,2014-05-22,2014,"M O U NT A I N L A N D MPO RE G I O NA L PL A NN I N G C O M M I T T E E Clyde Companies Building 730 North 1500 West, O",legislative/minutes/2014/2014-05-22_mpo_board.md,legislative/raw_pdf/MPO Board/2014/22 May 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_05_22/22%20May%202014%20rp%20minutes.pdf,2,magutah_site
MPO Board,2014-09-04,2014,"MOUNTAINLAND MPO REGIONAL PLANNING COMMITTEE Historic Courthouse, 3rd Floor Ballroom 51 South University Ave, Provo Thur",legislative/minutes/2014/2014-09-04_mpo_board.md,legislative/raw_pdf/MPO Board/2014/4 Sep 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_09_04/4%20Sep%202014%20rp%20minutes.pdf,4,magutah_site
MPO Board,2014-10-02,2014,"MOUNTAINLAND MPO REGIONAL PLANNING COMMITTEE Historic Courthouse, 3rd Floor Ballroom 51 South University Ave, Provo Thur",legislative/minutes/2014/2014-10-02_mpo_board.md,legislative/raw_pdf/MPO Board/2014/2 Oct 2014 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2014/2014_10_02/2%20Oct%202014%20rp%20minutes.pdf,4,magutah_site
MPO Board,2015-02-05,2015,"MOUNTAINLAND MPO REGIONAL PLANNING COMMITTEE Historic Courthouse, 3rd Floor Ballroom 51 South University Ave, Provo Thur",legislative/minutes/2015/2015-02-05_mpo_board.md,legislative/raw_pdf/MPO Board/2015/5 Feb 2015 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2015/2015_02_05/5%20Feb%202015%20rp%20minutes.pdf,5,magutah_site
MPO Board,2015-03-05,2015,"MOUNTAINLAND MPO REGIONAL PLANNING COMMITTEE Historic Courthouse, 3rd Floor Ballroom 51 South University Ave, Provo Thur",legislative/minutes/2015/2015-03-05_mpo_board.md,legislative/raw_pdf/MPO Board/2015/5 Mar 2015 rp minutes.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2015/2015_03_05/5%20Mar%202015%20rp%20minutes.pdf,6,magutah_site
MPO Board,2015-04-02,2015,"MOUNTAINLAND MPO REGIONAL PLANNING COMMITTEE Historic Courthouse, 3rd Floor Ballroom 51 South University Ave, Provo Thur",legislative/minutes/2015/2015-04-02_mpo_board.md,legislative/raw_pdf/MPO Board/2015/2 April 2015 rp minutes Revised.pdf,https://magutah.gov/static/files/committees/mpo_board/meetings/Older/2015/2015_04_02/2%20April%202015%20rp%20minutes%20Revised.pdf,5,magutah_site
