filename,method,chars,note
1570046133_Resolution_19-09-02.pdf,ocr_tesseract,15127,image-only PDF; OCR fallback
1570046163_Resolution_19-09-03.pdf,ocr_tesseract,30376,image-only PDF; OCR fallback
1570046189_Resolution_19-09-04.pdf,ocr_tesseract,34046,image-only PDF; OCR fallback
1570461251_Resolution_19-03-02.pdf,ocr_tesseract,12314,image-only PDF; OCR fallback
1570461290_Resolution_19-04-01.pdf,ocr_tesseract,39277,image-only PDF; OCR fallback
1570461318_Resolution_19-04-02.pdf,ocr_tesseract,32604,image-only PDF; OCR fallback
1579634840_Resolution_20-01-07.pdf,ocr_tesseract,2580,image-only PDF; OCR fallback
1579635355_Resolution_20-01-06.pdf,ocr_tesseract,1514,image-only PDF; OCR fallback
1579635794_Resolution_20-01-05.pdf,ocr_tesseract,1918,image-only PDF; OCR fallback
1579636493_Resolution_20-01-04.pdf,ocr_tesseract,1825,image-only PDF; OCR fallback
1579636796_Resolution_20-01-03.pdf,ocr_tesseract,2050,image-only PDF; OCR fallback
1579636985_Resolution_20-01-02.pdf,ocr_tesseract,1979,image-only PDF; OCR fallback
1579637702_Resolution_20-01-01.pdf,ocr_tesseract,2014,image-only PDF; OCR fallback
1579647303_Resolution_19-12-04.pdf,ocr_tesseract,59619,image-only PDF; OCR fallback
1579649054_Resolution_19-12-03.pdf,ocr_tesseract,63745,image-only PDF; OCR fallback
1579889929_Resolution_19-12-02.pdf,ocr_tesseract,30683,image-only PDF; OCR fallback
1579890561_19-02-01.pdf,ocr_tesseract,2498,image-only PDF; OCR fallback
1579893423_Resolution_19-12-01.pdf,ocr_tesseract,8887,image-only PDF; OCR fallback
1579910230_Resolution_19-11-02.pdf,ocr_tesseract,2441,image-only PDF; OCR fallback
1580247880_Resolution_19-11-01.pdf,ocr_tesseract,2517,image-only PDF; OCR fallback
1580248308_Resolution_19-10-01.pdf,ocr_tesseract,4746,image-only PDF; OCR fallback
1580251225_Resolution_19-09-04.pdf,ocr_tesseract,34046,image-only PDF; OCR fallback
1580316783_Resolution_19-09-01.pdf,ocr_tesseract,7264,image-only PDF; OCR fallback
1580317082_Resolution_19-08-01.pdf,ocr_tesseract,2173,image-only PDF; OCR fallback
1595530691_Resolution_20-07-02.pdf,pdftotext_layout,2380,
