year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2007,municipal general,Council,1,Midvale City Council District 1,4516,KELLY H BENNETT,21,False
2007,municipal general,Council,1,Midvale City Council District 1,4516,ROBERT M HALE,23,False
2007,municipal general,Council,1,Midvale City Council District 1,4516,Write-in,0,False
2007,municipal general,Council,1,Midvale City Council District 1,4516C,KELLY H BENNETT,5,False
2007,municipal general,Council,1,Midvale City Council District 1,4516C,ROBERT M HALE,7,False
2007,municipal general,Council,1,Midvale City Council District 1,4516C,Write-in,0,False
2007,municipal general,Council,1,Midvale City Council District 1,4521,KELLY H BENNETT,90,False
2007,municipal general,Council,1,Midvale City Council District 1,4521,ROBERT M HALE,162,False
2007,municipal general,Council,1,Midvale City Council District 1,4521,Write-in,1,False
2007,municipal general,Council,1,Midvale City Council District 1,4521C,KELLY H BENNETT,0,False
2007,municipal general,Council,1,Midvale City Council District 1,4521C,ROBERT M HALE,0,False
2007,municipal general,Council,1,Midvale City Council District 1,4521C,Write-in,0,False
2007,municipal general,Council,1,Midvale City Council District 1,4544,KELLY H BENNETT,75,False
2007,municipal general,Council,1,Midvale City Council District 1,4544,ROBERT M HALE,62,False
2007,municipal general,Council,1,Midvale City Council District 1,4544,Write-in,1,False
2007,municipal general,Council,1,Midvale City Council District 1,4548,KELLY H BENNETT,118,False
2007,municipal general,Council,1,Midvale City Council District 1,4548,ROBERT M HALE,81,False
2007,municipal general,Council,1,Midvale City Council District 1,4548,Write-in,3,False
2007,municipal general,Council,1,Midvale City Council District 1,4548C,KELLY H BENNETT,31,False
2007,municipal general,Council,1,Midvale City Council District 1,4548C,ROBERT M HALE,64,False
2007,municipal general,Council,1,Midvale City Council District 1,4548C,Write-in,2,False
2007,municipal general,Council,2,Midvale City Council District 2,4502EG,PAUL C GLOVER,0,False
2007,municipal general,Council,2,Midvale City Council District 2,4502EG,Write-in,0,False
2007,municipal general,Council,2,Midvale City Council District 2,4504,PAUL C GLOVER,49,False
2007,municipal general,Council,2,Midvale City Council District 2,4504,Write-in,2,False
2007,municipal general,Council,2,Midvale City Council District 2,4512,PAUL C GLOVER,120,False
2007,municipal general,Council,2,Midvale City Council District 2,4512,Write-in,1,False
2007,municipal general,Council,2,Midvale City Council District 2,4514,PAUL C GLOVER,178,False
2007,municipal general,Council,2,Midvale City Council District 2,4514,Write-in,6,False
2007,municipal general,Council,2,Midvale City Council District 2,4518,PAUL C GLOVER,279,False
2007,municipal general,Council,2,Midvale City Council District 2,4518,Write-in,5,False
2007,municipal general,Council,2,Midvale City Council District 2,4520,PAUL C GLOVER,150,False
2007,municipal general,Council,2,Midvale City Council District 2,4520,Write-in,3,False
2007,municipal general,Council,3,Midvale City Council District 3,4508,MONTE L. MILLERBERG,110,False
2007,municipal general,Council,3,Midvale City Council District 3,4508,BRENT MOORE,98,False
2007,municipal general,Council,3,Midvale City Council District 3,4508,Write-in,1,False
2007,municipal general,Council,3,Midvale City Council District 3,4528,MONTE L. MILLERBERG,63,False
2007,municipal general,Council,3,Midvale City Council District 3,4528,BRENT MOORE,157,False
2007,municipal general,Council,3,Midvale City Council District 3,4528,Write-in,1,False
2007,municipal general,Council,3,Midvale City Council District 3,4537,MONTE L. MILLERBERG,0,False
2007,municipal general,Council,3,Midvale City Council District 3,4537,BRENT MOORE,0,False
2007,municipal general,Council,3,Midvale City Council District 3,4537,Write-in,0,False
2007,municipal general,Council,3,Midvale City Council District 3,4537E,MONTE L. MILLERBERG,9,False
2007,municipal general,Council,3,Midvale City Council District 3,4537E,BRENT MOORE,3,False
2007,municipal general,Council,3,Midvale City Council District 3,4537E,Write-in,0,False
2007,municipal general,Council,3,Midvale City Council District 3,4538,MONTE L. MILLERBERG,71,False
2007,municipal general,Council,3,Midvale City Council District 3,4538,BRENT MOORE,95,False
2007,municipal general,Council,3,Midvale City Council District 3,4538,Write-in,1,False
2007,municipal general,Council,3,Midvale City Council District 3,4538L,MONTE L. MILLERBERG,10,False
2007,municipal general,Council,3,Midvale City Council District 3,4538L,BRENT MOORE,13,False
2007,municipal general,Council,3,Midvale City Council District 3,4538L,Write-in,0,False
2007,municipal general,Council,3,Midvale City Council District 3,4546,MONTE L. MILLERBERG,116,False
2007,municipal general,Council,3,Midvale City Council District 3,4546,BRENT MOORE,76,False
2007,municipal general,Council,3,Midvale City Council District 3,4546,Write-in,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516,KELLY H BENNETT,1,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516,LYNN FUELLING,1,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516,ROBERT M HALE,3,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516,E. PAUL SMITH,1,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516C,KELLY H BENNETT,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516C,LYNN FUELLING,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516C,ROBERT M HALE,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4516C,E. PAUL SMITH,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521,KELLY H BENNETT,6,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521,LYNN FUELLING,10,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521,ROBERT M HALE,45,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521,E. PAUL SMITH,7,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521C,KELLY H BENNETT,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521C,LYNN FUELLING,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521C,ROBERT M HALE,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4521C,E. PAUL SMITH,0,False
2007,municipal primary,Council,1,Midvale City Council District 1,4544,KELLY H BENNETT,21,False
2007,municipal primary,Council,1,Midvale City Council District 1,4544,LYNN FUELLING,2,False
2007,municipal primary,Council,1,Midvale City Council District 1,4544,ROBERT M HALE,17,False
