date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,pmn_notice_url,pmn_file_id,bytes,doc_class,fetch_status,sha256,text_path,text_chars
2020-01-08,2020-1-8 TC Agenda,TownCouncil,work_session,agenda_packet,https://www.utah.gov/pmn/files/561743.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/561743_2020-1-8_TC_Agenda.pdf,https://www.utah.gov/pmn/sitemap/notice/579891.html,561743,-1,,,,,
2020-01-08,2020-1-8-ConsentAgenda,TownCouncil,work_session,agenda_packet,https://www.utah.gov/pmn/files/561745.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/561745_2020-1-8-ConsentAgenda.pdf,https://www.utah.gov/pmn/sitemap/notice/579891.html,561745,861809,,,,,
2020-01-08,2020-1-8 TC Agenda,TownCouncil,regular,agenda_packet,https://www.utah.gov/pmn/files/562103.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562103_2020-1-8_TC_Agenda.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562103,219618,,,,,
2020-01-08,2020-1-8-ConsentAgenda,TownCouncil,regular,agenda_packet,https://www.utah.gov/pmn/files/562111.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562111_2020-1-8-ConsentAgenda.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562111,861809,,,,,
2020-01-08,TOA Presentation 1.8.20-final,TownCouncil,work_session,staff_report,https://www.utah.gov/pmn/files/561747.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/561747_TOA_Presentation_1.8.20-final.pdf,https://www.utah.gov/pmn/sitemap/notice/579891.html,561747,874957,,,,,
2020-01-08,Staff report regarding amended budget,TownCouncil,work_session,staff_report,https://www.utah.gov/pmn/files/561749.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/561749_Staff_report_regarding_amended_budget.pdf,https://www.utah.gov/pmn/sitemap/notice/579891.html,561749,106419,,,,,
2020-01-08,TOA Presentation 1.8.20-final,TownCouncil,regular,staff_report,https://www.utah.gov/pmn/files/562105.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562105_TOA_Presentation_1.8.20-final.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562105,874957,,,,,
2020-01-08,Staff report regarding amended budget,TownCouncil,regular,staff_report,https://www.utah.gov/pmn/files/562113.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562113_Staff_report_regarding_amended_budget.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562113,106419,,,,,
2020-01-08,2019-12 UFA memo to Mayor Sondak,TownCouncil,regular,staff_report,https://www.utah.gov/pmn/files/562123.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562123_2019-12_UFA_memo_to_Mayor_Sondak.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562123,197195,,,,,
2020-01-08,2019-12-30 Memo to Town Council re UFA,TownCouncil,regular,staff_report,https://www.utah.gov/pmn/files/562125.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562125_2019-12-30_Memo_to_Town_Council_re_UFA.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562125,147772,,,,,
2020-01-08,ACVB 6-30-19 Compilation - Signed (1),TownCouncil,regular,supporting_doc,https://www.utah.gov/pmn/files/562107.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562107_ACVB_6-30-19_Compilation_-_Signed_1.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562107,132395,,,,,
2020-01-08,December 2019 Alta Chamber Website Summary (1),TownCouncil,regular,supporting_doc,https://www.utah.gov/pmn/files/562109.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562109_December_2019_Alta_Chamber_Website_Summary_1.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562109,84883,,,,,
2020-01-08,2020-R-1 Amending budgets for 2019-2020 DRAFT,TownCouncil,regular,supporting_doc,https://www.utah.gov/pmn/files/562115.pdf,2026-07-13,text,pdftotext -layout,raw/2020-01-08/562115_2020-R-1_Amending_budgets_for_2019-2020_DRAFT.pdf,https://www.utah.gov/pmn/sitemap/notice/580043.html,562115,63690,,,,,
