prefix,key,filename,size,last_modified
whitecity/ordinances/,whitecity/ordinances/documents/1595530996_Ordinance 20-06-01.pdf,1595530996_Ordinance 20-06-01.pdf,215948,2020-07-23T19:03:17.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1597246645_Ordinance 20-02-01.pdf,1597246645_Ordinance 20-02-01.pdf,470525,2020-08-12T15:37:27.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1632424384_Ordinance 21-09-02.pdf,1632424384_Ordinance 21-09-02.pdf,687891,2021-09-23T19:13:05.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1632426354_Ordinance 21-09-01.pdf,1632426354_Ordinance 21-09-01.pdf,1395168,2021-09-23T19:45:55.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1647891849_Ordinance 2021-10-01.pdf,1647891849_Ordinance 2021-10-01.pdf,298365,2022-03-21T19:44:11.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1661537290_Ordinance 19-07-01.pdf,1661537290_Ordinance 19-07-01.pdf,2166039,2022-08-26T18:08:12.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1681931764_Ordinance 22-09-01.pdf,1681931764_Ordinance 22-09-01.pdf,5983106,2023-04-19T19:16:05.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1687812066_Ordinance 2023-O-01.pdf,1687812066_Ordinance 2023-O-01.pdf,159059,2023-06-26T20:41:08.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1687877042_Title 18 White City Subdivision Ordinance.pdf,1687877042_Title 18 White City Subdivision Ordinance.pdf,435141,2023-06-27T14:44:03.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1687877076_Title 19 White City Zoning Ordinance.pdf,1687877076_Title 19 White City Zoning Ordinance.pdf,2195983,2023-06-27T14:44:37.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1713824206_Ordinance 2024-O-01.pdf,1713824206_Ordinance 2024-O-01.pdf,950582,2024-04-22T22:16:48.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1713824400_Ordinance 2024-O-01.pdf,1713824400_Ordinance 2024-O-01.pdf,950582,2024-04-22T22:20:01.000Z
whitecity/ordinances/,whitecity/ordinances/documents/1721245234_Ordinance 2024-O-04.pdf,1721245234_Ordinance 2024-O-04.pdf,640608,2024-07-17T19:40:36.000Z
