ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,linkage_note
2017-02-01,2017-01-05,2017-01-05,Ordinance 17-02-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/Ordinance%2017-02-01.pdf,2026-07-13,text,pdftotext_layout,raw/Ordinance_17-02-01.pdf,no,,,,none,ordinance,2017-02-01,,2018-07-09,
2017-02-02,2017-01-05,2017-01-05,"AN ORDINANCE RATIFYVING THE LETTER SENT TO THE UTAH STATE TAX COMMISSION PRIOR TO INCORPORATION ACCEPTING THE ONE-PERCENT LOCAL SALES AND USE TAX AND DIRECTING THE PROCEEDS FROM THE TAX BE REMITTED TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT. BEIT KNOWN AND REMEMBERED THAT, the White City M",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/Ordinance%2017-02-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-02-02.pdf,no,,,,none,ordinance,2017-02-02,,2018-07-09,
2017-02-03,2017-01-05,2017-01-05,"AN ORDINANCE ACCEPTING AND ADOPTING THE WHITE CITY PROPOSED LAND USE PLAN, AND CODE OF ORDINANCE AS PRESENTED BY SALT LAKE COUNTY PLANNING AND DEVELOPMENT SERVICES AND DISTRICT ATTORNEY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1738709768_Ordinance%2017-02-03.pdf,2026-07-13,scanned,ocr_tesseract,raw/1738709768_Ordinance_17-02-03.pdf,yes,,,,none,ordinance,2017-02-03,,2025-02-04,
2017-02-04,2017-01-05,2017-01-05,"AN ORDINANCE RATIFVING ACTION OF SENDING A LETTER TO THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT, PRIOR TO INCORPORATION, ALLOWING GSLMSD TO COLLECT ALL FINES, FEES, CHARGES, LEVIES, AND",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/Ordinance%2017-02-04.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-02-04.pdf,no,,,,none,ordinance,2017-02-04,,2018-07-10,
2018-01-01,2018-01-04,2018-01-04,"AN ORDINANCE CREATING CHAPTER 3.15 - PURCHASING, CONTRACTING AND PROCUREMENT OF THE WHITE CITY CODE OF ORDINANCES, AND WHITE CITY POLICY #2 — PURCHASING, CONTRACTING, AND PROCUREMENT TO ESTABLISH THE PURCHASING, CONTRACTING AND PROCUREMENT ORDINANCE AND POLICY - FOR THE WHITE CITY METRO TOWNSHIP",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1733174032_Ordinance%2018-01-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1733174032_Ordinance_18-01-01.pdf,no,Pass (unanimous),2018-01-04,6,high,ordinance,2018-01-01,,2024-12-02,number cited in recorded motion
2018-01-01,2018-01-04,2018-01-04,Ordinance 18-01-01 Policy #2,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1753206863_Ordinance%2018-01-01%20Policy%20%232.pdf,2026-07-13,scanned,ocr_tesseract,raw/1753206863_Ordinance_18-01-01_Policy_#2.pdf,no,Pass (unanimous),2018-01-04,6,high,ordinance,2018-01-01,,2025-07-22,number cited in recorded motion
2017-02-03,2018-07-10,2018-07-10,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ESTABLISHING THE ELECTRONIC MEETINGS POLICY FOR THE WHITE CITY METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/Resolution%2017-02-03.pdf,2026-07-13,scanned,ocr_tesseract,raw/Resolution_17-02-03.pdf,no,,,,none,resolution,2017-02-03,,2018-07-10,date=upload_date(no adoption date in doc)
2017-06-01,2018-07-10,2018-07-10,AN ORDINANCE CREATING CHAPTER 2.56 ~ COMMUNITY COUNCILS AS A PART,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/Ordinance%2017-06-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-06-01.pdf,no,,,,none,ordinance,2017-06-01,,2018-07-10,date=upload_date(no adoption date in doc)
2017-06-02,2018-07-10,2018-07-10,"AN ORDINANCE UPDATING AND CREATING A NEW CHAPTER 19.05 ~ PLANNING COMMISSION AS A PART OF THE WHITE CITY MUNICIPAL CODE FOR THE OPERATION OF THE PLANNING COMMISSION PURSUANT TO UTAH CODE ANNOTATED 10-94--3 — PLANNING COMMISSION, ET AL",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/Ordinance%2017-06-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/Ordinance_17-06-02.pdf,no,,,,none,ordinance,2017-06-02,,2018-07-10,date=upload_date(no adoption date in doc)
2018-11-01,2018-11-01,2018-11-01,"AN ORDINANCE OF THE WHITE CITY METRO TOWNSHIP COUNCIL CREATING CHAPTER 2.85: ""ELECTRONIC SIGNATURES,"" AUTHORIZING AND REGULATIING THE USE OF ELECTRONIC SIGNATURES FOR THE EFFECTIVE AND EFFICIENT PROCESSING OF CERTAIN DOCUMENTS FOR THE METRO TOWNSHIP",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1733174588_Ordinance%2018-11-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1733174588_Ordinance_18-11-01.pdf,no,,,,none,ordinance,2018-11-01,,2024-12-02,
2019-01-01,2019-01-03,2019-01-03,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP APPOINTING ALLAN PERRY AS DEPUTY TREASURER OF THE WHITE CITY METRO TOWNSHIP AND DIRECTING THE DEPUTY TREASURER, MAYOR AND STAFF TO ESTABLISH THE WHITE CITY BANK ACCOUNT AND TAKE OTHER ACTIONS NECESSARY TO MANAGE WHITE CITY’S ADMINISTRATIVE FINANCES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/19-01-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/19-01-01.pdf,no,Pass (unanimous),2019-01-03,3,high,resolution,2019-01-01,,2019-03-13,number cited in recorded motion
2019-02-01,2019-02-07,2019-02-07,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL | REAUTHORIZING THE CONTRACT BY AND BETWEEN WHITE CITY AND | THE SALT LAKE COUNTY DISTRICT ATTORNEY’S OFFICE FOR CERTAIN LEGAL WORK |,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579890561_19-02-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579890561_19-02-01.pdf,no,Pass (unanimous),2019-02-07,3,high,resolution,2019-02-01,19-02-01.pdf,2020-01-24,number cited in recorded motion
2019-02-02,2019-02-07,2019-02-07,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING THE SECOND AMENDED CONTRACT BETWEEN WHITE CITY AND GOVERNMENT CONSULTANTS LLC TO PERFORM MUNICIPAL ADMINISTRATION SERVICES FOR WHITE CITY,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/19-02-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/19-02-02.pdf,no,Pass (unanimous),2019-02-07,4,high,resolution,2019-02-02,,2019-03-13,number cited in recorded motion
2019-03-01,2019-03-07,2019-03-07,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL AMENDING THE 2019 CONSOLIDATED FEE SCHEDULE TO INCLUDE FEES FOR SPECIAL EVENTS AND PARK RENTALS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/Resolution%2019-03-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/Resolution_19-03-01.pdf,no,Pass (unanimous),2019-03-07,3,high,resolution,2019-03-01,,2019-04-18,number cited in recorded motion
2019-03-02,2019-04-04,2019-04-04,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING A PIPELINE LICENSING AGREEMENT WITH SANDY CITY,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1570461251_Resolution%2019-03-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/1570461251_Resolution_19-03-02.pdf,no,Pass (unanimous),2019-04-04,4,high,resolution,2019-03-02,,2019-10-07,number cited in recorded motion
2019-04-01,2019-04-04,2019-04-04,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING AN INTERLOCAL COOPERATION AGREEMENT BETWEEN SANDY CITY AND WHITE CITY METRO TOWNSHIP FOR CONSTRUCTION AND IMPROVEMENTS TO SANDY CANAL TRAIL BETWEEN CARNATION DRIVE AND 10600 SOUTH, SALT LAKE COUNTY, UTAH",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1570461290_Resolution%2019-04-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1570461290_Resolution_19-04-01.pdf,no,Pass (unanimous),2019-04-04,5,high,resolution,2019-04-01,,2019-10-07,number cited in recorded motion
2019-04-02,2019-04-04,2019-04-04,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1570461318_Resolution%2019-04-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/1570461318_Resolution_19-04-02.pdf,no,Pass (unanimous),2019-04-04,6,high,resolution,2019-04-02,,2019-10-07,number cited in recorded motion
2019-07-01,2019-08-01,2019-08-01,"AN ORDINANCE OF THE WHITE CITY METRO TOWNSHIP COUNCIL CREATING TITLE 12: ""CODE ENFORCEMENT AND COMMUNITY PRESERVATION"" AND SUBSEQUENT CHAPTERS OF THE WHITE CITY CODE OF ORDINANCES TO ESTABLISH AND REGULATE THE THE ADMINISTRATIVE CODE ENFORCEMENT PROCESS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/ordinances/documents/1661537290_Ordinance%2019-07-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1661537290_Ordinance_19-07-01.pdf,no,Pass (unanimous),2019-08-01,2,high,ordinance,2019-07-01,,2022-08-26,number cited in recorded motion
2019-08-01,2019-08-01,2019-08-01,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING THE EXPENDITURE OF UP TO $5,000 FROM THE WHITE CITY ADMINISTRATIVE FUNDS FUND BALANCE ACCOUNT TO FUND THE COMPLETION OF A SIDEWALK PROJECT",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1580317082_Resolution%2019-08-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1580317082_Resolution_19-08-01.pdf,no,Pass (unanimous),2019-08-01,7,high,resolution,2019-08-01,,2020-01-29,number cited in recorded motion
2019-09-01,2019-09-05,2019-09-05,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL AMENDING POLICY #2 — PURCHASING, CONTRACTING, AND PROCUREMENT ADDING A SECTION TO THE POLICY TO INCLUDE THE USE OF APPROVED VENDORS FOR THE PURCHASE OF PRODUCTS AND SERVICES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1580316783_Resolution%2019-09-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1580316783_Resolution_19-09-01.pdf,no,Pass (unanimous),2019-09-05,3,high,resolution,2019-09-01,,2020-01-29,number cited in recorded motion
2019-09-02,2019-09-23,2019-09-23,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ADOPTING AMENDMENT #1 TO THE MASTER INTERLOCAL COOPERATION AGREEMENT BETWEEN WHITE CITY, SALT LAKE COUNTY, THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT, ET.AL., CLARIFYING THE ROLES AND RELATIONSHIPS FOR THE PROVISION OF CERTAIN MUNICIPAL AD",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1570046133_Resolution%2019-09-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/1570046133_Resolution_19-09-02.pdf,no,Pass (unanimous),2019-09-23,1,high,resolution,2019-09-02,,2019-10-02,number cited in recorded motion
2019-09-03,2019-09-23,2019-09-23,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ADOPTING AMENDMENT #2 TO THE MASTER JINTERLOCAL COOPERATION AGREEMENT BETWEEN WHITE CITY, SALT LAKE COUNTY, THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT, ET.AL., FORMALIZING THE TRANSITION OF PLANNING SERVICES FROM SALT LAKE COUNTY TO THE MS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1570046163_Resolution%2019-09-03.pdf,2026-07-13,scanned,ocr_tesseract,raw/1570046163_Resolution_19-09-03.pdf,no,Pass (unanimous),2019-09-23,2,high,resolution,2019-09-03,,2019-10-02,number cited in recorded motion
2019-09-04,2019-09-23,2019-09-23,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ADOPTINGAN INTERLOCAL COOPERATION AGREEMENT BETWEEN WHITE CITY AND SALT LAKE COUNTY, ET.AL., FOR ADDRESSING SERVICES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1570046189_Resolution%2019-09-04.pdf,2026-07-13,scanned,ocr_tesseract,raw/1570046189_Resolution_19-09-04.pdf,no,Pass (unanimous),2019-09-23,3,high,resolution,2019-09-04,1580251225_Resolution_19-09-04.pdf,2019-10-02,number cited in recorded motion
2019-10-01,2019-10-03,2019-10-03,"A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING A DECISION, IF MADE BY THE BOARD OF TRUSTEES OF THE SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA (SLVLESA) FOLLOWING PROCESSES REQUIRED BY UTAH LAW, TO INCREASE SLVLESA BUDGETED PROPERTY TAX REVENUES BY 3% FOR CALENDAR YEAR 2020 WHICH ",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1580248308_Resolution%2019-10-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1580248308_Resolution_19-10-01.pdf,no,Pass (unanimous),2019-10-03,1,high,resolution,2019-10-01,,2020-01-28,number cited in recorded motion; header DATE 2019-09-19 differs from motion date (source typo?)
2019-11-01,2019-11-14,2019-11-14,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING THE 2020 WHITE CITY METRO TOWNSHIP TENTATIVE BUDGET AND SETTING THE PUBLIC HEARING FOR PUBLIC COMMENT AND A POSSIBLE FINAL ADOPTION OF THE BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1580247880_Resolution%2019-11-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1580247880_Resolution_19-11-01.pdf,no,,,,none,resolution,2019-11-01,,2020-01-28,
2019-11-02,2019-11-14,2019-11-14,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL APPROVING AND ADOPTING THE 2020 WHITE CITY METRO TOWNSHIP COUNCIL REGULAR MEETING SCHEDULE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579910230_Resolution%2019-11-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579910230_Resolution_19-11-02.pdf,no,,,,none,resolution,2019-11-02,,2020-01-24,
2019-12-01,2019-12-05,2019-12-05,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ADOPTING THE 2020 WHITE CITY METRO TOWNSHIP TENTATIVE BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579893423_Resolution%2019-12-01.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579893423_Resolution_19-12-01.pdf,no,Pass (unanimous),2019-12-05,6,high,resolution,2019-12-01,,2020-01-24,number cited in recorded motion
2019-12-02,2019-12-05,2019-12-05,A RESOLUTION OF THE WHITE CITY METRO TOWNSHIP COUNCIL ADOPTING THE 2020 WHITE CITY CONSOLIDATED FEE SCHEDULE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/whitecity/resolutions/documents/1579889929_Resolution%2019-12-02.pdf,2026-07-13,scanned,ocr_tesseract,raw/1579889929_Resolution_19-12-02.pdf,no,Pass (unanimous),2019-12-05,7,high,resolution,2019-12-02,,2020-01-24,number cited in recorded motion
