date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,size_mb,stored_locally,bytes
2020-01-28,Meeting Agenda and Information,Council,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_01282020-950,2026-07-05,text,none (raw retained),raw/Council/2020-01-28_950.pdf,0.118,yes,117546
2020-06-02,Ogden City Council Meeting Agenda and Information,Council,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_06022020-986,2026-07-05,text,none (raw retained),raw/Council/2020-06-02_986.pdf,0.153,yes,153100
2020-09-15,Meeting agenda and information,Council,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_09152020-1020,2026-07-05,text,none (raw retained),raw/Council/2020-09-15_1020.pdf,0.132,yes,132073
2024-01-01,2024 Annual Meeting Notice,Council,Annual,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_01012024-1436,2026-07-05,text,none (raw retained),raw/Council/2024-01-01_1436.pdf,0.024,yes,24023
2020-01-08,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_01082020-942,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-01-08_942.pdf,0.064,yes,64499
2020-01-15,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_01152020-945,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-01-15_945.pdf,0.054,yes,54372
2020-02-05,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_02052020-952,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-02-05_952.pdf,0.064,yes,63656
2020-03-04,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_03042020-961,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-03-04_961.pdf,0.083,yes,83167
2020-04-01,Ogden City Planning Commission Meeting Cancellation Notice,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_04012020-968,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-04-01_968.pdf,0.042,yes,42181
2020-04-15,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_04152020-970,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-04-15_970.pdf,0.135,yes,134729
2020-05-06,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_05062020-976,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-05-06_976.pdf,0.139,yes,138961
2020-05-20,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_05202020-980,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-05-20_980.pdf,0.039,yes,39268
2020-05-20,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_05202020-981,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-05-20_981.pdf,0.039,yes,39274
2020-06-03,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_06032020-987,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-06-03_987.pdf,0.137,yes,137331
2020-06-17,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_06172020-993,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-06-17_993.pdf,0.038,yes,38188
2020-07-01,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_07012020-998,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-07-01_998.pdf,0.133,yes,132940
2020-07-15,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_07152020-1003,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-07-15_1003.pdf,0.038,yes,38259
2020-08-05,Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_08052020-1008,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-08-05_1008.pdf,0.146,yes,145682
2020-08-19,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_08192020-1011,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-08-19_1011.pdf,0.078,yes,78030
2020-08-26,Ogden City Planning Commission Meeting Agenda,PlanningCommission,Regular,thin_agenda,https://www.ogdencity.gov/AgendaCenter/ViewFile/Agenda/_08262020-1013,2026-07-05,text,none (raw retained),raw/PlanningCommission/2020-08-26_1013.pdf,0.123,yes,123469
