date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,size_mb,stored_locally,docid,doc_class,fetch_status,sha256,text_path,text_chars,parent_path,appendix_no,case_key
2024-11-06,2024-11-06 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9145/638660509318570000,2026-07-13,text,pdftotext-layout,raw/2024-11-06/9145_pc_regular.pdf,2.44,yes,9145,,,,,,,,
2024-12-04,2024-12-04 Planning Commission Administrative Hearing — Agenda Packet,PlanningCommission,admin_hearing,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9233/638682982746370000,2026-07-13,text,pdftotext-layout,raw/2024-12-04/9233_pc_admin_hearing.pdf,2.13,yes,9233,,,,,,,,
2024-12-04,2024-12-04 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9229/638682948678330000,2026-07-13,text,pdftotext-layout,raw/2024-12-04/9229_pc_regular.pdf,0.52,yes,9229,,,,,,,,
2025-01-08,2025-01-08 Planning Commission Administrative Hearing — Agenda Packet,PlanningCommission,admin_hearing,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9339/638706326507630000,2026-07-13,text,pdftotext-layout,raw/2025-01-08/9339_pc_admin_hearing.pdf,23.34,yes,9339,,,,,,,,
2025-01-08,2025-01-08 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9357/638714916615230000,2026-07-13,text,pdftotext-layout,raw/2025-01-08/9357_pc_regular.pdf,3.21,yes,9357,,,,,,,,
2025-01-22,2025-01-22 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9395/638731327186200000,2026-07-13,text,pdftotext-layout,raw/2025-01-22/9395_pc_regular.pdf,16.36,yes,9395,,,,,,,,
2025-02-05,2025-02-05 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9427/638739116228000000,2026-07-13,text,pdftotext-layout,raw/2025-02-05/9427_pc_regular.pdf,21.51,yes,9427,,,,,,,,
2025-03-05,2025-03-05 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9571/638763398217730000,2026-07-13,text,pdftotext-layout,raw/2025-03-05/9571_pc_regular.pdf,3.86,yes,9571,,,,,,,,
2025-04-02,2025-04-02 Planning Commission Administrative Hearing — Agenda Packet,PlanningCommission,admin_hearing,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9633/638781682798370000,2026-07-13,text,pdftotext-layout,raw/2025-04-02/9633_pc_admin_hearing.pdf,1.72,yes,9633,,,,,,,,
2025-04-16,2025-04-16 Planning Commission — Agenda Packet,PlanningCommission,regular,full_packet,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9727/638799843164070000,2026-07-13,text,pdftotext-layout,raw/2025-04-16/9727_pc_regular.pdf,1.9,yes,9727,,,,,,,,
