year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,3,7,plurality,18659,,ALAN SUMMERHAYS,4143,22.2,BART BARKER,2851,408,2.19,17229,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal primary,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,3,13,plurality,8068,,BART BARKER,1012,12.54,PAUL TONKS,605,24,0.3,17048,,,False,False,,2007-09-11-municipal-primary-sovc.xls
2009,municipal general,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,2,5,plurality,6596,,WILLIAM E. RAPPLEYE,1884,28.56,GREGORY POWERS,1452,386,5.85,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,Draper City Mayor,DRAPER CITY MAYOR,1,3,plurality,3535,,DARRELL H. SMITH,2531,71.6,BILL COLBERT,978,1553,43.93,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,2,6,plurality,2722,,JEFF STENQUIST,687,25.24,DREW GILLILAND,289,81,2.98,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,At-Large,Draper City Council At-Large,Draper City Council @ Lg,3,7,plurality,9956,,ALAN SUMMERHAYS,2145,21.54,CLAUDIA ANDERSON,1460,386,3.88,19373,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2013,municipal general,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,2,5,plurality,7689,,JEFFREY D. STENQUIST,2398,31.19,MICHELE WEEKS,1704,548,7.13,19659,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Mayor,,Draper City Mayor,DRAPER CITY MAYOR,1,3,plurality,4106,,TROY K. WALKER,2127,51.8,PHILLIP B. SHELL,1970,157,3.82,19659,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal primary,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,2,7,plurality,3849,,WILLIAM E. RAPPLEYE,896,23.28,J. MICHAEL BURROWS,377,132,3.43,19835,,,False,False,,2013-08-13-municipal-primary-sovc.xlsx
2013,municipal primary,Mayor,,Draper City Mayor,DRAPER CITY MAYOR,1,3,plurality,2111,,TROY K. WALKER,1034,48.98,JOHN R. DISMUKE,266,545,25.82,19835,,,False,False,,2013-08-13-municipal-primary-sovc.xlsx
2015,municipal general,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,3,6,plurality,17651,,MARSHA R. VAWDREY,3883,22.0,MANI GREWAL,2963,206,1.17,18726,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,At-Large,Draper City Council At-Large,DRAPER CITY CNCL AT LARGE,2,4,plurality,18149,,TASHA LOWERY,5213,28.72,WILLIAM E. RAPPLEYE,4510,269,1.48,21618,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Mayor,,Draper City Mayor,DRAPER CITY MAYOR,1,2,plurality,10681,,TROY K. WALKER,5843,54.7,MICHELE WEEKS,4838,1005,9.41,21618,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal primary,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,2,6,plurality,12530,,TASHA LOWERY,3254,25.97,HUBERT Y. HUH,1531,484,3.86,21529,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2017,municipal primary,Mayor,,Draper City Mayor,DRAPER CITY MAYOR,1,3,plurality,7294,,MICHELE WEEKS,3302,45.27,TROY MARTINEZ,1269,1454,19.93,21529,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2019,municipal general,Council,At-Large,Draper City Council At-Large,DRAPER CITY COUNCIL AT LARGE,3,6,plurality,20071,,MARSHA VAWDREY,4377,21.81,TAB BINGHAM,2926,959,4.78,23538,,,False,False,,2019-11-05-general-election-sovc.xlsx
