year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,At-Large,Draper City Council At-Large,ALAN SUMMERHAYS,4143,22.2,1,True
2007,municipal general,Council,At-Large,Draper City Council At-Large,TROY K. WALKER,3672,19.68,2,True
2007,municipal general,Council,At-Large,Draper City Council At-Large,BILL COLBERT,3259,17.47,3,True
2007,municipal general,Council,At-Large,Draper City Council At-Large,BART BARKER,2851,15.28,4,False
2007,municipal general,Council,At-Large,Draper City Council At-Large,SCOTT TANNER,2454,13.15,5,False
2007,municipal general,Council,At-Large,Draper City Council At-Large,PAUL TONKS,2193,11.75,6,False
2007,municipal general,Council,At-Large,Draper City Council At-Large,Write-in,87,0.47,7,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,BART BARKER,1012,12.54,1,True
2007,municipal primary,Council,At-Large,Draper City Council At-Large,ALAN SUMMERHAYS,1002,12.42,2,True
2007,municipal primary,Council,At-Large,Draper City Council At-Large,TROY K. WALKER,822,10.19,3,True
2007,municipal primary,Council,At-Large,Draper City Council At-Large,BILL COLBERT,779,9.66,4,True
2007,municipal primary,Council,At-Large,Draper City Council At-Large,SCOTT TANNER,720,8.92,5,True
2007,municipal primary,Council,At-Large,Draper City Council At-Large,NICK RAMOND,629,7.8,6,True
2007,municipal primary,Council,At-Large,Draper City Council At-Large,PAUL TONKS,605,7.5,7,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,ERIC HELT,597,7.4,8,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,RYAN S. DAW,589,7.3,9,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,JOHN LUCKY,379,4.7,10,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,STEVE ORGILL,335,4.15,11,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,TROY TAIT,331,4.1,12,False
2007,municipal primary,Council,At-Large,Draper City Council At-Large,JACK WIGNALL,268,3.32,13,False
2009,municipal general,Council,At-Large,Draper City Council At-Large,WILLIAM E. RAPPLEYE,1884,28.56,1,True
2009,municipal general,Council,At-Large,Draper City Council At-Large,JEFF STENQUIST,1838,27.87,2,True
2009,municipal general,Council,At-Large,Draper City Council At-Large,GREGORY POWERS,1452,22.01,3,False
2009,municipal general,Council,At-Large,Draper City Council At-Large,PAUL EDWARDS,1379,20.91,4,False
2009,municipal general,Council,At-Large,Draper City Council At-Large,Write-in,43,0.65,5,False
2009,municipal general,Mayor,,Draper City Mayor,DARRELL H. SMITH,2531,71.6,1,True
2009,municipal general,Mayor,,Draper City Mayor,BILL COLBERT,978,27.67,2,False
2009,municipal general,Mayor,,Draper City Mayor,Write-in,26,0.74,3,False
2009,municipal primary,Council,At-Large,Draper City Council At-Large,JEFF STENQUIST,687,25.24,1,True
