date,video_id,video_url,title,body,minutes_match,caption_sampled
,GCzs6cHCaKM,https://www.youtube.com/watch?v=GCzs6cHCaKM,Logan City Police Child Predator/Internet Safety Presentation,Other,nodate,no
,5ljQ-g5uJKc,https://www.youtube.com/watch?v=5ljQ-g5uJKc,Logan City Police Child Predator/Internet Safety Presentation,Other,nodate,no
2026-06-30,ZZRMZjJa_kg,https://www.youtube.com/watch?v=ZZRMZjJa_kg,"Logan Municipal Council Special Meeting June 30, 2026",CouncilSpecial,no,no
2026-06-16,O8ej0RR7nRo,https://www.youtube.com/watch?v=O8ej0RR7nRo,"Logan Municipal Council Meeting June 16, 2026",Council,no,no
2026-06-02,5iPV7tQjes4,https://www.youtube.com/watch?v=5iPV7tQjes4,"Logan Municipal Council Meeting June 02, 2026",Council,yes,yes
2026-05-26,HWUWe8Fe9us,https://www.youtube.com/watch?v=HWUWe8Fe9us,"Logan Municipal Council Budget Meeting May 26, 2026",BudgetWorkshop,yes,no
2026-05-19,K2TR61cIz40,https://www.youtube.com/watch?v=K2TR61cIz40,"Logan Municipal Council Meeting May 19, 2026",Council,yes,yes
2026-05-12,688opvkpa_w,https://www.youtube.com/watch?v=688opvkpa_w,"Logan Municipal Council Budget Meeting May 12, 2026",BudgetWorkshop,yes,no
2026-05-05,PRHW_f_kDwo,https://www.youtube.com/watch?v=PRHW_f_kDwo,"Logan Municipal Council Meeting May 5, 2026",Council,yes,yes
2026-04-21,93kVF7fnn5E,https://www.youtube.com/watch?v=93kVF7fnn5E,"Logan Municipal Council Meeting Apr 21, 2026",Council,yes,yes
2026-04-07,AIh7wAGFOAM,https://www.youtube.com/watch?v=AIh7wAGFOAM,"Logan Municipal Council Meeting Apr 07, 2026",Council,yes,yes
2026-03-17,sdt1XFtNf9c,https://www.youtube.com/watch?v=sdt1XFtNf9c,"Logan Municipal Council Meeting March 17, 2026",Council,yes,yes
2026-03-03,94Fs0v34Xj8,https://www.youtube.com/watch?v=94Fs0v34Xj8,"Logan Municipal Council Meeting March 03, 2026",Council,yes,yes
2026-02-17,WRll9gDXlhA,https://www.youtube.com/watch?v=WRll9gDXlhA,"Logan Municipal Council Meeting February 17, 2026",Council,yes,yes
2026-02-03,YGKovKXtTQA,https://www.youtube.com/watch?v=YGKovKXtTQA,"Logan Municipal Council Meeting February 3, 2026",Council,yes,yes
2026-01-20,yadV4U0U0RY,https://www.youtube.com/watch?v=yadV4U0U0RY,"Logan Municipal Council Meeting January 20, 2026",Council,yes,yes
2026-01-06,q7QPK6-nPvk,https://www.youtube.com/watch?v=q7QPK6-nPvk,"Logan Municipal Council Meeting January 6, 2026",Council,yes,no
2025-12-16,w22HdEDgn88,https://www.youtube.com/watch?v=w22HdEDgn88,"Logan Municipal Council Meeting December 16, 2025",Council,yes,no
2025-12-02,8J697zWlBZM,https://www.youtube.com/watch?v=8J697zWlBZM,"Logan Municipal Council Meeting December 2, 2025",Council,yes,no
2025-11-18,3_riImKxpkI,https://www.youtube.com/watch?v=3_riImKxpkI,"Logan Municipal Council Meeting November 18, 2025",Council,yes,no
2025-11-04,7xEJxdJc6sk,https://www.youtube.com/watch?v=7xEJxdJc6sk,"Logan Municipal Council Meeting November 04, 2025",Council,yes,no
2025-10-21,Xl-0OSx2cN4,https://www.youtube.com/watch?v=Xl-0OSx2cN4,"Logan Municipal Council Meeting October 21, 2025",Council,yes,no
2025-10-07,oR9nIxk7cLM,https://www.youtube.com/watch?v=oR9nIxk7cLM,"Logan Municipal Council Meeting October 7, 2025",Council,yes,no
2025-09-16,RpCHzMfTcls,https://www.youtube.com/watch?v=RpCHzMfTcls,"Logan Municipal Council Meeting September 16, 2025",Council,yes,no
2025-09-02,eoLKsjWIO4E,https://www.youtube.com/watch?v=eoLKsjWIO4E,"Logan Municipal Council Meeting September 2, 2025",Council,yes,no
2025-08-19,1m1NEMXC6Qc,https://www.youtube.com/watch?v=1m1NEMXC6Qc,"Logan Municipal Council Meeting August 19, 2025",Council,yes,no
2025-08-19,UyX38hy1dKg,https://www.youtube.com/watch?v=UyX38hy1dKg,"Logan City Primary Election Canvass Meeting August 19, 2025",Canvass,yes,no
2025-08-07,Nad6sRsDLPA,https://www.youtube.com/watch?v=Nad6sRsDLPA,"Logan City Truth in Taxation Meeting August 07, 2025",TruthInTaxation,yes,no
2025-08-05,C_VMVrQcnWY,https://www.youtube.com/watch?v=C_VMVrQcnWY,"Logan Municipal Council Meeting August 05, 2025",Council,yes,no
2025-07-15,D73MUnMm8Qg,https://www.youtube.com/watch?v=D73MUnMm8Qg,"Logan Municipal Council Meeting July 15, 2025",Council,yes,no
2025-06-17,3siBdNZKzSE,https://www.youtube.com/watch?v=3siBdNZKzSE,"Logan Municipal Council Meeting June 17, 2025",Council,yes,no
2025-06-03,JNacY-OnrnU,https://www.youtube.com/watch?v=JNacY-OnrnU,"Logan Municipal Council Meeting June 3, 2025",Council,yes,no
2025-05-27,SUmcw_8lRmA,https://www.youtube.com/watch?v=SUmcw_8lRmA,"Logan Municipal Council Budget Workshop May 27, 2025",BudgetWorkshop,yes,no
2025-05-20,z5cWfkjoUxI,https://www.youtube.com/watch?v=z5cWfkjoUxI,"Logan Municipal Council Meeting Meeting May 20, 2025",Council,yes,no
2025-05-13,KY-GOY2owUk,https://www.youtube.com/watch?v=KY-GOY2owUk,"Logan Municipal Council Budget Workshop May 13, 2025",BudgetWorkshop,yes,no
2025-05-06,6i4AYnPACEk,https://www.youtube.com/watch?v=6i4AYnPACEk,"Logan Municipal Council Meeting Meeting May 6, 2025",Council,yes,no
2025-04-15,ZexX0aPguWE,https://www.youtube.com/watch?v=ZexX0aPguWE,"Logan Municipal Council Meeting Meeting Apr. 15, 2025",Council,yes,no
2025-04-01,WmODJR47rpA,https://www.youtube.com/watch?v=WmODJR47rpA,"Logan Municipal Council Meeting Meeting Apr. 1, 2025",Council,yes,no
2025-03-18,yEXuzkuAwyU,https://www.youtube.com/watch?v=yEXuzkuAwyU,"Logan Municipal Council Meeting Meeting Mar. 18, 2025",Council,yes,no
2025-03-04,wtKou-JAdAc,https://www.youtube.com/watch?v=wtKou-JAdAc,"Logan Municipal Council Meeting Meeting Mar. 4, 2025",Council,yes,no
2025-03-04,uULom0x3mSA,https://www.youtube.com/watch?v=uULom0x3mSA,"Logan Municipal Council Meeting Meeting Mar. 4, 2025",Council,yes,no
2025-02-18,TygRS4PsnAQ,https://www.youtube.com/watch?v=TygRS4PsnAQ,"Logan Municipal Council Meeting Meeting Feb. 18, 2025",Council,yes,no
2025-02-04,iq6gzaxhmBo,https://www.youtube.com/watch?v=iq6gzaxhmBo,"Logan Municipal Council Meeting Meeting Feb. 04, 2025",Council,yes,no
2025-01-21,WIk_NAKfTBY,https://www.youtube.com/watch?v=WIk_NAKfTBY,"Logan Municipal Council Meeting Meeting Jan. 21, 2025",Council,yes,no
2025-01-21,54OM4-kJDag,https://www.youtube.com/watch?v=54OM4-kJDag,"Logan Municipal Council Meeting Meeting Jan. 21, 2025",Council,yes,no
2025-01-07,5J2zWTmOXAY,https://www.youtube.com/watch?v=5J2zWTmOXAY,"Logan Municipal Council Meeting Meeting Jan. 7, 2025",Council,yes,no
2024-12-03,496_2qYKtbc,https://www.youtube.com/watch?v=496_2qYKtbc,"Logan Municipal Council Meeting Meeting Dec. 3, 2024",Council,yes,no
2024-11-19,ocrtgbb5QBw,https://www.youtube.com/watch?v=ocrtgbb5QBw,"Logan Municipal Council Meeting Meeting Nov. 19, 2024",Council,yes,no
2024-11-05,GF_J1-7V6Ew,https://www.youtube.com/watch?v=GF_J1-7V6Ew,"Logan Municipal Council Meeting Meeting Nov. 5, 2024",Council,yes,no
2024-10-15,DZTdKmjuF38,https://www.youtube.com/watch?v=DZTdKmjuF38,"Logan Municipal Council Meeting Meeting Oct. 15, 2024",Council,yes,no
2024-10-01,k_RReZCbdKI,https://www.youtube.com/watch?v=k_RReZCbdKI,"Logan Municipal Council Meeting Meeting Oct. 1, 2024",Council,yes,no
2024-09-24,80kyOUfYRyM,https://www.youtube.com/watch?v=80kyOUfYRyM,"Logan City Light and Power Integrated Resource Plan presentation  Sept. 24, 2024",Other,no,no
2024-09-17,o9eHF1HU9yo,https://www.youtube.com/watch?v=o9eHF1HU9yo,"Logan Municipal Council Meeting  Meeting Sept. 17, 2024",Council,yes,no
2024-09-03,0oBC4csvMXw,https://www.youtube.com/watch?v=0oBC4csvMXw,"Logan Municipal Council Meeting  Meeting Sept. 03, 2024",Council,yes,no
2024-08-20,NPdrF2joMuA,https://www.youtube.com/watch?v=NPdrF2joMuA,"Logan Municipal Council Meeting  Meeting Aug. 20, 2024",Council,yes,no
2024-08-06,56rFfD0wLHg,https://www.youtube.com/watch?v=56rFfD0wLHg,"Logan Municipal Council Meeting  Meeting Aug. 6, 2024",Council,yes,no
2024-08-01,e0DIOAp4j9Y,https://www.youtube.com/watch?v=e0DIOAp4j9Y,"City of Logan Truth In Taxation Meeting Aug. 1, 2024",TruthInTaxation,no,no
2024-07-16,25KXvu_cVTM,https://www.youtube.com/watch?v=25KXvu_cVTM,"Logan Municipal Council Meeting July 16, 2024",Council,yes,no
2024-06-18,wqAsQFf-990,https://www.youtube.com/watch?v=wqAsQFf-990,"Logan Municipal Council Meeting June 18, 2024",Council,yes,no
2024-06-04,BliBpWyt6iQ,https://www.youtube.com/watch?v=BliBpWyt6iQ,"Logan Municipal Council Meeting June 4, 2024",Council,yes,no
2024-05-28,sacoYfp2Vdc,https://www.youtube.com/watch?v=sacoYfp2Vdc,"Logan Municipal Council Budget Meeting May 28, 2024",BudgetWorkshop,no,no
2024-05-21,_fpYyftrC-4,https://www.youtube.com/watch?v=_fpYyftrC-4,"Logan Municipal Council Meeting May 21, 2024",Council,yes,no
2024-05-14,2ErsMBE1klM,https://www.youtube.com/watch?v=2ErsMBE1klM,"Logan Municipal Council Budget Workshop May 14, 2024",BudgetWorkshop,no,no
2024-05-07,kMsreBfcssI,https://www.youtube.com/watch?v=kMsreBfcssI,"Logan Municipal Council Meeting May 07, 2024",Council,yes,no
2024-04-16,2egtaKKwKZ4,https://www.youtube.com/watch?v=2egtaKKwKZ4,"Logan Municipal Council Meeting April 16, 2024",Council,yes,no
2024-04-02,vlJF5OV_H68,https://www.youtube.com/watch?v=vlJF5OV_H68,"Logan Municipal Council Meeting April 2, 2024",Council,yes,no
2024-03-19,r1_IoTY6Hbg,https://www.youtube.com/watch?v=r1_IoTY6Hbg,"Logan Municipal Council Meeting March 19, 2024",Council,yes,no
2024-03-05,jjceYSxq30Q,https://www.youtube.com/watch?v=jjceYSxq30Q,"Logan Municipal Council Meeting March 5, 2024",Council,yes,no
2024-02-20,RvojS-gkt7A,https://www.youtube.com/watch?v=RvojS-gkt7A,"Logan Municipal Council Meeting February 20, 2024",Council,yes,no
2024-02-06,gFGhbiePhL8,https://www.youtube.com/watch?v=gFGhbiePhL8,"Logan Municipal Council Meeting February 6, 2024",Council,yes,no
2024-01-16,G0LAcJKh8oE,https://www.youtube.com/watch?v=G0LAcJKh8oE,"Logan Municipal Council Meeting January 16, 2024",Council,yes,no
2024-01-02,EG4R4aoOe08,https://www.youtube.com/watch?v=EG4R4aoOe08,"Logan Municipal Council Meeting January 02, 2024",Council,yes,no
2023-12-18,8m3u6Wchw0M,https://www.youtube.com/watch?v=8m3u6Wchw0M,"Logan Board of Canvassers Meeting December 18, 2023",Canvass,no,no
2023-12-05,9DymGVjbmx0,https://www.youtube.com/watch?v=9DymGVjbmx0,"Logan Municipal Council Meeting December 05, 2023",Council,yes,no
2023-11-21,O0e-It87xVo,https://www.youtube.com/watch?v=O0e-It87xVo,"Logan Municipal Council Meeting November 21, 2023",Council,yes,no
2023-11-07,-xwsdUcXyKI,https://www.youtube.com/watch?v=-xwsdUcXyKI,"Logan Municipal Council Meeting November 7, 2023",Council,yes,no
2023-10-18,Lbpu76R3lIU,https://www.youtube.com/watch?v=Lbpu76R3lIU,"City of Logan Meet the Candidates Forum, Oct. 18, 2023",CandidateForum,no,no
2023-10-17,6MdFLq2enJE,https://www.youtube.com/watch?v=6MdFLq2enJE,"Logan Municipal Council Meeting October 17, 2023",Council,yes,no
2023-10-03,EpwCVWyCw2o,https://www.youtube.com/watch?v=EpwCVWyCw2o,"Logan Municipal Council Meeting October 03, 2023",Council,yes,no
2023-09-19,mMwNOcCbv24,https://www.youtube.com/watch?v=mMwNOcCbv24,"Logan Municipal Council Meeting Sept 19, 2023",Council,yes,no
2023-09-05,yvvvP2paqgc,https://www.youtube.com/watch?v=yvvvP2paqgc,"Logan Municipal Council Meeting Sept 05, 2023",Council,yes,no
2023-09-05,M4OR0URzIRk,https://www.youtube.com/watch?v=M4OR0URzIRk,"Logan Municipal Council Meeting Sept 05, 2023",Council,yes,no
2023-08-15,MqqhGI0ED2o,https://www.youtube.com/watch?v=MqqhGI0ED2o,"Logan Municipal Council Meeting August 15, 2023",Council,yes,no
2023-08-15,mYgZ8tfjNnQ,https://www.youtube.com/watch?v=mYgZ8tfjNnQ,"Logan Municipal Council Meeting August 15, 2023",Council,yes,no
2023-08-01,B-EFYTZ4Kjc,https://www.youtube.com/watch?v=B-EFYTZ4Kjc,"Logan Municipal Council Meeting August 1, 2023",Council,yes,no
2023-07-18,HT2YJdlCOrE,https://www.youtube.com/watch?v=HT2YJdlCOrE,"Logan Municipal Council Meeting July 18, 2023",Council,yes,no
2023-06-20,3Wck0D6U19c,https://www.youtube.com/watch?v=3Wck0D6U19c,"Logan Municipal Council Meeting June 20, 2023",Council,yes,no
2023-06-06,HPscONUGFn8,https://www.youtube.com/watch?v=HPscONUGFn8,"Logan Municipal Council Meeting June 6, 2023",Council,yes,no
2023-05-23,oGO-cfzS6-A,https://www.youtube.com/watch?v=oGO-cfzS6-A,"Logan Municipal Council Budget Workshop May 23, 2023",BudgetWorkshop,no,no
2023-05-16,q9aEay-J600,https://www.youtube.com/watch?v=q9aEay-J600,"Logan Municipal Council Meeting May 16, 2023",Council,yes,no
2023-05-09,7Ql65kf0o3g,https://www.youtube.com/watch?v=7Ql65kf0o3g,"Logan Municipal Council Budget Workshop May 9, 2023",BudgetWorkshop,no,no
2023-05-02,viP832W1g4A,https://www.youtube.com/watch?v=viP832W1g4A,"Logan Municipal Council Meeting May 2, 2023",Council,yes,no
2023-04-18,HAbSe8PoS9Y,https://www.youtube.com/watch?v=HAbSe8PoS9Y,"Logan Municipal Council Meeting April 18, 2023",Council,yes,no
2023-04-04,dxwptRHLKio,https://www.youtube.com/watch?v=dxwptRHLKio,"Logan Municipal Council Meeting April 4, 2023",Council,yes,no
2023-03-21,tZrqitiEszY,https://www.youtube.com/watch?v=tZrqitiEszY,"Logan Municipal Council Meeting March 21, 2023",Council,yes,no
2023-03-07,S35_CLbr4t4,https://www.youtube.com/watch?v=S35_CLbr4t4,"Logan Municipal Council Meeting March 7, 2023",Council,yes,no
2023-02-21,K21v9Oy1mMM,https://www.youtube.com/watch?v=K21v9Oy1mMM,"Logan Municipal Council Meeting February 21, 2023",Council,yes,no
2023-02-07,MUzKlex9LlQ,https://www.youtube.com/watch?v=MUzKlex9LlQ,"Logan Municipal Council Meeting February 7, 2023",Council,yes,no
2023-01-17,FJaRIUZxVKU,https://www.youtube.com/watch?v=FJaRIUZxVKU,"Logan Municipal Council Meeting January 17, 2023",Council,yes,no
2023-01-03,9hWJfrsXCXQ,https://www.youtube.com/watch?v=9hWJfrsXCXQ,"Logan Municipal Council Meeting January 3, 2023",Council,yes,no
2022-12-06,t9tugY4dGec,https://www.youtube.com/watch?v=t9tugY4dGec,"Logan Municipal Council Meeting December 6, 2022",Council,yes,no
2022-11-15,cX4gUGsipRU,https://www.youtube.com/watch?v=cX4gUGsipRU,"Logan Municipal Council Meeting November 15 , 2022",Council,yes,no
2022-11-01,yBQH007jZTs,https://www.youtube.com/watch?v=yBQH007jZTs,"Logan Municipal Council Meeting November 1 , 2022",Council,yes,no
2022-10-18,YVxQlEfAgUU,https://www.youtube.com/watch?v=YVxQlEfAgUU,"Logan Municipal Council Meeting October 18 , 2022",Council,yes,no
2022-10-18,En2uI09KMog,https://www.youtube.com/watch?v=En2uI09KMog,"Logan Municipal Council Meeting October 18 , 2022",Council,yes,no
2022-10-04,oKA6P73RDfM,https://www.youtube.com/watch?v=oKA6P73RDfM,"Logan Municipal Council Meeting October 4 , 2022",Council,yes,no
2022-09-20,hmfG14_D3Bk,https://www.youtube.com/watch?v=hmfG14_D3Bk,"Logan Municipal Council Meeting September 20 , 2022",Council,yes,no
2022-09-06,jKFkUUxjdd0,https://www.youtube.com/watch?v=jKFkUUxjdd0,"Logan Municipal Council Meeting September 06 , 2022",Council,yes,no
2022-08-16,pWmSxGd2G8Q,https://www.youtube.com/watch?v=pWmSxGd2G8Q,"Logan Municipal Council Meeting August 16 , 2022",Council,yes,no
2022-08-02,FOrMwS6LkiU,https://www.youtube.com/watch?v=FOrMwS6LkiU,"Logan Municipal Council Meeting August 2 , 2022",Council,yes,no
2022-07-19,2bPQF655H7E,https://www.youtube.com/watch?v=2bPQF655H7E,"Logan Municipal Council Meeting July 19 , 2022",Council,yes,no
2022-06-21,Zqbmv5qVQWo,https://www.youtube.com/watch?v=Zqbmv5qVQWo,"Logan Municipal Council Meeting June 21 , 2022",Council,yes,no
2022-06-07,tVGbSUqHZFQ,https://www.youtube.com/watch?v=tVGbSUqHZFQ,"Logan Municipal Council Meeting June 7 , 2022",Council,yes,no
2022-05-24,2bowLeIDvgQ,https://www.youtube.com/watch?v=2bowLeIDvgQ,"Logan Municipal Council Meeting May 24, 2022",Council,no,no
2022-05-17,ZWbn_5vfUWg,https://www.youtube.com/watch?v=ZWbn_5vfUWg,"Logan Municipal Council Meeting May 17, 2022",Council,yes,no
2022-05-10,vbVnWmSqcBw,https://www.youtube.com/watch?v=vbVnWmSqcBw,"Logan Municipal Council Budget Workshop May 10, 2022",BudgetWorkshop,no,no
2022-05-03,OuogWYxgevo,https://www.youtube.com/watch?v=OuogWYxgevo,"Logan Municipal Council Meeting May 3, 2022",Council,yes,no
2022-04-19,asIxQDTkGY4,https://www.youtube.com/watch?v=asIxQDTkGY4,"Logan Municipal Council Meeting April 19, 2022",Council,yes,no
2022-04-05,p2vztdPwv4M,https://www.youtube.com/watch?v=p2vztdPwv4M,"Logan Municipal Council Meeting April 5, 2022",Council,yes,no
2022-03-15,E5fFb0xwwvc,https://www.youtube.com/watch?v=E5fFb0xwwvc,"Logan Municipal Council Meeting March 15, 2022",Council,yes,no
2022-03-01,m4bfUXxoA6k,https://www.youtube.com/watch?v=m4bfUXxoA6k,"Logan Municipal Council Meeting March 1, 2022",Council,yes,no
2022-02-15,gpxH0zFFjK4,https://www.youtube.com/watch?v=gpxH0zFFjK4,"Logan Municipal Council Meeting Feb. 15, 2022",Council,yes,no
2022-02-01,G0YewICcn_o,https://www.youtube.com/watch?v=G0YewICcn_o,"Logan Municipal Council Meeting Feb. 1, 2022",Council,yes,no
2022-01-18,WMBcquW8Cxs,https://www.youtube.com/watch?v=WMBcquW8Cxs,"Logan Municipal Council Meeting Jan. 18, 2022",Council,yes,no
2022-01-18,9AabtPKx3U8,https://www.youtube.com/watch?v=9AabtPKx3U8,"Logan Municipal Council Meeting Jan. 18, 2022",Council,yes,no
2022-01-04,pTtCb_v3NFo,https://www.youtube.com/watch?v=pTtCb_v3NFo,"Logan Municipal Council Meeting Jan.4, 2022",Council,yes,no
2021-12-07,hHN_KIFKAmc,https://www.youtube.com/watch?v=hHN_KIFKAmc,"Logan Municipal Council Meeting Dec. 7, 2021",Council,yes,no
2021-11-16,r9mSpbQnh9g,https://www.youtube.com/watch?v=r9mSpbQnh9g,"Logan Municipal Council Meeting Nov. 16, 2021",Council,yes,no
2021-11-02,SQRqthcbjsc,https://www.youtube.com/watch?v=SQRqthcbjsc,"Logan Municipal Council Meeting Nov. 2, 2021",Council,yes,no
2021-11-02,Yx902LvtZPw,https://www.youtube.com/watch?v=Yx902LvtZPw,"Logan Municipal Council Meeting Nov. 2, 2021",Council,yes,no
2021-10-19,9R0W4WOAmEw,https://www.youtube.com/watch?v=9R0W4WOAmEw,"Logan Municipal Council Meeting Oct. 19, 2021",Council,yes,no
2021-10-06,nwQJRlqXHhA,https://www.youtube.com/watch?v=nwQJRlqXHhA,"Logan Meet the Candidates Forum, Oct. 6, 2021",CandidateForum,no,no
2021-10-05,j29ikH763Eo,https://www.youtube.com/watch?v=j29ikH763Eo,"Logan Municipal Council Meeting Oct. 5, 2021",Council,yes,no
