date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path
2026-06-30,"Logan Municipal Council Special Meeting June 30, 2026",CouncilSpecial,https://www.youtube.com/watch?v=ZZRMZjJa_kg,ZZRMZjJa_kg,asr,https://www.youtube.com/watch?v=ZZRMZjJa_kg,2026-07-05,na,mapped_not_downloaded,
2026-06-16,"Logan Municipal Council Meeting June 16, 2026",Council,https://www.youtube.com/watch?v=O8ej0RR7nRo,O8ej0RR7nRo,asr,https://www.youtube.com/watch?v=O8ej0RR7nRo,2026-07-05,na,mapped_not_downloaded,
2026-06-02,"Logan Municipal Council Meeting June 02, 2026",Council,https://www.youtube.com/watch?v=5iPV7tQjes4,5iPV7tQjes4,asr,https://www.youtube.com/watch?v=5iPV7tQjes4,2026-07-05,caption,yt-dlp_auto_sub_vtt,text/2026-06-02.md
2026-05-26,"Logan Municipal Council Budget Meeting May 26, 2026",BudgetWorkshop,https://www.youtube.com/watch?v=HWUWe8Fe9us,HWUWe8Fe9us,asr,https://www.youtube.com/watch?v=HWUWe8Fe9us,2026-07-05,na,mapped_not_downloaded,
2026-05-19,"Logan Municipal Council Meeting May 19, 2026",Council,https://www.youtube.com/watch?v=K2TR61cIz40,K2TR61cIz40,asr,https://www.youtube.com/watch?v=K2TR61cIz40,2026-07-05,caption,yt-dlp_auto_sub_vtt,text/2026-05-19.md
2026-05-12,"Logan Municipal Council Budget Meeting May 12, 2026",BudgetWorkshop,https://www.youtube.com/watch?v=688opvkpa_w,688opvkpa_w,asr,https://www.youtube.com/watch?v=688opvkpa_w,2026-07-05,na,mapped_not_downloaded,
2026-05-05,"Logan Municipal Council Meeting May 5, 2026",Council,https://www.youtube.com/watch?v=PRHW_f_kDwo,PRHW_f_kDwo,asr,https://www.youtube.com/watch?v=PRHW_f_kDwo,2026-07-05,caption,yt-dlp_auto_sub_vtt,text/2026-05-05.md
2026-04-21,"Logan Municipal Council Meeting Apr 21, 2026",Council,https://www.youtube.com/watch?v=93kVF7fnn5E,93kVF7fnn5E,asr,https://www.youtube.com/watch?v=93kVF7fnn5E,2026-07-05,caption,yt-dlp_auto_sub_vtt,text/2026-04-21.md
2026-04-07,"Logan Municipal Council Meeting Apr 07, 2026",Council,https://www.youtube.com/watch?v=AIh7wAGFOAM,AIh7wAGFOAM,asr,https://www.youtube.com/watch?v=AIh7wAGFOAM,2026-07-05,caption,yt-dlp_auto_sub_vtt,text/2026-04-07.md
2026-03-17,"Logan Municipal Council Meeting March 17, 2026",Council,https://www.youtube.com/watch?v=sdt1XFtNf9c,sdt1XFtNf9c,asr,https://www.youtube.com/watch?v=sdt1XFtNf9c,2026-07-05,caption,yt-dlp_auto_sub_vtt,text/2026-03-17.md
