date,body,packet_kind,title,matter_id,path,text_path,format,source_url,stored_locally,doc_class,fetch_status,sha256,text_chars
2020-01-07,County Council,agenda,County Council Agenda 2020-01-07,,packets/raw/agenda_2901.pdf,packets/text/agenda_2901.txt,pdf,http://slco.legistar1.com/slco/meetings/2020/1/2901_A_County_Council_20-01-07_Meeting_Agenda.pdf,yes,,,,
2020-01-28,County Council,agenda,County Council Agenda 2020-01-28,,packets/raw/agenda_2903.pdf,packets/text/agenda_2903.txt,pdf,http://slco.legistar1.com/slco/meetings/2020/1/2903_A_County_Council_20-01-28_Meeting_Agenda.pdf,yes,,,,
2020-01-14,County Council,agenda,County Council Agenda 2020-01-14,,packets/raw/agenda_2904.pdf,packets/text/agenda_2904.txt,pdf,http://slco.legistar1.com/slco/meetings/2020/1/2904_A_County_Council_20-01-14_Meeting_Agenda.pdf,yes,,,,
2020-01-14,County Council,agenda,County Council Agenda 2020-01-14,,packets/raw/agenda_2909.pdf,packets/text/agenda_2909.txt,pdf,http://slco.legistar1.com/slco/meetings/2020/1/2909_A_County_Council_20-01-14_Meeting_Agenda.pdf,yes,,,,
2020-02-04,County Council,agenda,County Council Agenda 2020-02-04,,packets/raw/agenda_2918.pdf,packets/text/agenda_2918.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/2/2918_A_County_Council_20-02-04_Meeting_Agenda.pdf,yes,,,,
2020-02-11,County Council,agenda,County Council Agenda 2020-02-11,,packets/raw/agenda_2919.pdf,packets/text/agenda_2919.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/2/2919_A_County_Council_20-02-11_Meeting_Agenda.pdf,yes,,,,
2020-02-25,County Council,agenda,County Council Agenda 2020-02-25,,packets/raw/agenda_2920.pdf,packets/text/agenda_2920.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/2/2920_A_County_Council_20-02-25_Meeting_Agenda.pdf,yes,,,,
2020-01-28,County Council,agenda,County Council Agenda 2020-01-28,,packets/raw/agenda_2924.pdf,packets/text/agenda_2924.txt,pdf,http://slco.legistar1.com/slco/meetings/2020/1/2924_A_County_Council_20-01-28_Meeting_Agenda.pdf,yes,,,,
2020-03-31,County Council,agenda,County Council Agenda 2020-03-31,,packets/raw/agenda_2927.pdf,packets/text/agenda_2927.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/3/2927_A_County_Council_20-03-31_Meeting_Agenda.pdf,yes,,,,
2020-03-03,County Council,agenda,County Council Agenda 2020-03-03,,packets/raw/agenda_2928.pdf,packets/text/agenda_2928.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/3/2928_A_County_Council_20-03-03_Meeting_Agenda.pdf,yes,,,,
2020-03-10,County Council,agenda,County Council Agenda 2020-03-10,,packets/raw/agenda_2929.pdf,packets/text/agenda_2929.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/3/2929_A_County_Council_20-03-10_Meeting_Agenda.pdf,yes,,,,
2020-03-17,County Council,agenda,County Council Agenda 2020-03-17,,packets/raw/agenda_2930.pdf,packets/text/agenda_2930.txt,pdf,https://slco.legistar1.com/slco/meetings/2020/3/2930_A_County_Council_20-03-17_Meeting_Agenda.pdf,yes,,,,
