filename,method,chars,note
1567617561_Ordinance_19-07-01.pdf,ocr_tesseract,1898,image-only PDF; OCR fallback
1569430016_Resolution_19-09-01.pdf,ocr_tesseract,1803,image-only PDF; OCR fallback
1569430054_Resolution_19-09-02.pdf,ocr_tesseract,1811,image-only PDF; OCR fallback
1569430085_Resolution_19-09-03.pdf,ocr_tesseract,2010,image-only PDF; OCR fallback
1579217624_Ordinance_19-10-01.pdf,ocr_tesseract,2851,image-only PDF; OCR fallback
1579217868_Resolution_19-10-01.pdf,ocr_tesseract,4802,image-only PDF; OCR fallback
1579217935_Resolution_19-10-02.pdf,ocr_tesseract,1072,image-only PDF; OCR fallback
1579218335_Resolution_19-12-03.pdf,ocr_tesseract,1175,image-only PDF; OCR fallback
1579289632_Resolution_19-12-02.pdf,ocr_tesseract,4977,image-only PDF; OCR fallback
1582749480_Ordinance_19-05-02.pdf,ocr_tesseract,14316,image-only PDF; OCR fallback
1583253130_Dominion_Energy_-_Emigration_Canyon_Agreement_-_signed_-_Final.pdf,ocr_tesseract,15237,image-only PDF; OCR fallback
1591728993_Ordinance_18-08-02.pdf,ocr_tesseract,1771,image-only PDF; OCR fallback
1591729897_Ordinance_18-08-01.pdf,ocr_tesseract,2364,image-only PDF; OCR fallback
1591730379_Ordinance_18-06-03.pdf,ocr_tesseract,64739,image-only PDF; OCR fallback
1591734222_Ordinance_18-06-01.pdf,ocr_tesseract,5714,image-only PDF; OCR fallback
1591803949_Ordinance_18-06-02.pdf,pdftotext_layout,980553,
1597250145_Resolution_20-01-01.pdf,ocr_tesseract,4173,image-only PDF; OCR fallback
1597250211_Resolution_20-04-01.pdf,pdftotext_layout,2728,
1597250566_Resolution_20-05-01.pdf,ocr_tesseract,3978,image-only PDF; OCR fallback
1597251203_Resolution_20-04-02.pdf,pdftotext_layout,2422,
1607115698_Resolution_20-09-02.pdf,ocr_tesseract,3161,image-only PDF; OCR fallback
1608060204_Ordinance_20-11-1_Subdivision_and_zoning_fees_-_signed.pdf,pdftotext_layout,13736,
1608060242_Resolution_20-09-02.pdf,pdftotext_layout,4195,
1610735033_Resolution_20-11-02_Fee_Schedule_for_2020.pdf,pdftotext_layout,52513,
1610735057_Resolution_20-11-03_Fee_Schedule_for_2021.pdf,pdftotext_layout,43526,
1610743075_Ordinance_20-11-01.docx,native_docx,0,non-PDF raw; not text-extracted
1614812864_Resolution_2021-02-01.pdf,pdftotext_layout,41137,
1616091033_Ordinance_20-11-1_Subdivision_and_zoning_fees_-_signed.pdf,pdftotext_layout,7431,
1646946577_Resolution_2021-07-01.pdf,ocr_tesseract,2712,image-only PDF; OCR fallback
1646946895_Resolution_2021-08-01.pdf,ocr_tesseract,3494,image-only PDF; OCR fallback
1646947224_Resolution_2021-08-02.pdf,ocr_tesseract,4828,image-only PDF; OCR fallback
1646947581_Ordinance_2021-06-01.pdf,pdftotext_layout,6670,
1646947896_Ordinance_20-09-02.pdf,pdftotext_layout,4383,
1646948151_Resolution_2021-04-01.pdf,ocr_tesseract,4526,image-only PDF; OCR fallback
1646949096_Resolution_2021-10-01.pdf,pdftotext_layout,4028,
1646949379_Resolution_2021-11-01.pdf,pdftotext_layout,3869,
1646949496_Resolution_2021-11-02.pdf,pdftotext_layout,16101,
1646949610_Resolution_2021-11-03.pdf,pdftotext_layout,53130,
1646950015_Ordinance_2021-11-01.pdf,pdftotext_layout,3744,
1646950227_Ordinance_2021-09-02.pdf,pdftotext_layout,95510,
1646955375_Ordinance_2021-09-01.pdf,pdftotext_layout,15475,
1646956985_Ordinance_2022-01-01.pdf,pdftotext_layout,2431,
1649363268_Ordinance_2022-03-02.pdf,pdftotext_layout,146690,
1652989373_2022-04-01.pdf,pdftotext_layout,10286,
1653080707_Resolution_2022-03-01.pdf,pdftotext_layout,5918,
1653575246_Ordinance_2022-01-01withexhibits.pdf,pdftotext_layout,72039,
1655151252_2022-05-01.pdf,pdftotext_layout,79170,
1670541493_Resolution_2022-09-01.pdf,pdftotext_layout,2553,
1670541725_Resolution_2022-11-01.pdf,pdftotext_layout,58773,
1670542073_Ordinance_2022-11-03.pdf,pdftotext_layout,2991,
1681939944_Resolution_2022-12-01.pdf,ocr_tesseract,1878,image-only PDF; OCR fallback
1681940073_Resolution_2022-12-02.pdf,ocr_tesseract,6324,image-only PDF; OCR fallback
1681940381_Ordinance_2022-11-04.pdf,ocr_tesseract,1849,image-only PDF; OCR fallback
1690300331_ECMT_Land_Use_Ordinance_Amendment_Resolution_Night_Lighting.pdf,pdftotext_layout,50143,
1713818658_Resolution_2023-04-02.pdf,ocr_tesseract,5355,image-only PDF; OCR fallback
1713818889_Resolution_2023-06-01.pdf,pdftotext_layout,60143,
1713819133_Resolution_2023-09-01.pdf,pdftotext_layout,3531,
1713819317_Resolution_2023-10-01.pdf,ocr_tesseract,3361,image-only PDF; OCR fallback
1713819472_Resolution_2023-10-02.pdf,pdftotext_layout,67187,
1713821355_Resolution_2023-12-01.pdf,ocr_tesseract,17148,image-only PDF; OCR fallback
1723219993_Ordinance_2024-07-01_Prohibiting_Fire_Ignition_Sources_Emigration_Canyon.pdf,ocr_tesseract,1874,image-only PDF; OCR fallback
1723220351_2024-07-01_Resolution_Appointing_Planning_Commission_Members.pdf,pdftotext_layout,1452,
1746123101_Ordinance_19-05-01.pdf,ocr_tesseract,10907,image-only PDF; OCR fallback
1750866535_Emigration_2025-O-04_Open_Fires_Amendment.pdf,pdftotext_layout,6663,
1751302885_Ordinance_2024-10-02.pdf,ocr_tesseract,57457,image-only PDF; OCR fallback
1758223258_Ordinance_2024-12-01.pdf,ocr_tesseract,91982,image-only PDF; OCR fallback
1758635603_Emigration_2025-O-05_Title_19.02_Changes.pdf,ocr_tesseract,18486,image-only PDF; OCR fallback
1758636708_Emigration_2025-O-06_Repealing_19.08-19.44-19.56.pdf,ocr_tesseract,3922,image-only PDF; OCR fallback
1758638712_Emigration_2025-O-07_Chapter_19.88_Nonconforming_Uses_and_Structures.pdf,ocr_tesseract,12905,image-only PDF; OCR fallback
1758923789_Emigration_2025-O-13_Title_9.90.025_Scriveners_error_correction.pdf,ocr_tesseract,2672,image-only PDF; OCR fallback
1758923991_Emigration_2025-O-13_Title_9.90.025_Scriveners_error_correction.pdf,ocr_tesseract,2672,image-only PDF; OCR fallback
1758924106_Emigration_2025-O-12_MET_Tax_Adoption_with_Rate.pdf,ocr_tesseract,1859,image-only PDF; OCR fallback
1758924549_Emigration_2025-O-12_MET_Tax_Adoption_with_Rate.pdf,ocr_tesseract,1859,image-only PDF; OCR fallback
1758924646_Emigration_2025-O-14_Franchise_Tax_Adoption_and_Rate.pdf,ocr_tesseract,1889,image-only PDF; OCR fallback
