date,body,meeting_type,pmn_url,pmn_file_id,matches_repo_file,match_confidence
2020-01-07,Salt Lake City Council,Formal Meeting,,,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_formal-meeting.txt,no-pmn-source (PMN posted only the Work Session minutes for this date)
2020-01-07,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/572073.pdf,572073,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_work-session.txt,high
2020-01-14,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/581689.pdf,581689,meeting_minutes/minutes/2020/2020-01-13/2020-01-14_work-session.txt,high
2020-01-17,Salt Lake City Council,Formal Meeting,,,meeting_minutes/minutes/2020/2020-01-13/2020-01-17_formal-meeting.txt,no-pmn-source (PMN posted only the Work Session minutes for this date)
2020-01-17,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/572087.pdf,572087,meeting_minutes/minutes/2020/2020-01-13/2020-01-17_work-session.txt,high
2020-01-21,Salt Lake City Council,Formal Meeting,,,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_formal-meeting.txt,no-pmn-source (PMN posted only the Work Session minutes for this date)
2020-01-21,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/576939.pdf,576939,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_work-session.txt,high
2020-02-04,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/581697.pdf,581697,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_formal-meeting.txt,high
2020-02-04,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/581693.pdf,581693,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_work-session.txt,high
2020-02-11,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/581705.pdf,581705,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_work-session.txt,high
2020-02-18,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/581699.pdf,581699,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_formal-meeting.txt,high
2020-02-18,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/590461.pdf,590461,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_work-session.txt,high
2020-03-03,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/590463.pdf,590463,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_formal-meeting.txt,high
2020-03-03,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/602563.pdf,602563,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_work-session.txt,high
2020-03-17,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/590465.pdf,590465,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_formal-meeting.txt,high
2020-03-17,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/594489.pdf,594489,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_work-session.txt,high
2020-03-24,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/594493.pdf,594493,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,high
2020-03-24,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/594491.pdf,594491,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_work-session.txt,high
2020-04-07,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/602565.pdf,602565,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_formal-meeting.txt,high
2020-04-07,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/640220.pdf,640220,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_work-session.txt,high
2020-04-14,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/600163.pdf,600163,meeting_minutes/minutes/2020/2020-04-13/2020-04-14_formal-meeting.txt,high
2020-04-14,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/645581.pdf,645581,meeting_minutes/minutes/2020/2020-04-13/2020-04-14_work-session.txt,high
2020-04-21,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640350.pdf,640350,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_formal-meeting.txt,high
2020-04-21,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/640366.pdf,640366,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_work-session.txt,high
2020-05-05,Salt Lake City Council,Formal Meeting,https://www.utah.gov/pmn/files/640370.pdf,640370,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_formal-meeting.txt,high
2020-05-05,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/678489.pdf,678489,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_work-session.txt,high
2020-05-12,Salt Lake City Council,Work Session,https://www.utah.gov/pmn/files/698771.pdf,698771,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_work-session.txt,high
