person_id,full_name,name_key
1,Barbara Tidwell,barbaratidwell
2,Paul Borup,paulborup
3,Brady Christensen,bradychristensen
4,Buttars,buttars
5,Chris Sands,chrissands
6,Councilmember,councilmember
7,David Erickson,daviderickson
8,Nolan Gunnell,nolangunnell
9,Sandi Goodlander,sandigoodlander
10,Nate Daugs,natedaugs
11,David Zook,davidzook
12,Gina H. Worthen,ginaworthen
13,Gordon A. Zilles,gordonzilles
14,Jason Watterson,jasonwatterson
15,JoAnn Bennett,joannbennett
16,Karl B. Ward,karlward
17,Kathryn Beus,kathrynbeus
18,Keegan Garrity,keegangarrity
19,Lane Parker,laneparker
20,Kurt Bankhead,kurtbankhead
21,Mark Hurd,markhurd
22,Merrill,merrill
23,Morris Poole,morrispoole
24,Petersen,petersen
25,Potter,potter
26,Val Jay Rigby,valjayrigby
27,Robison,robison
28,Vice-Chair,vicechair
29,White,white
30,Yeates,yeates
