role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2021-02-02,2025-12-17,1331
2,1,4,2022-05-26,2022-05-26,1
3,2,2,2021-02-02,2022-12-22,580
4,2,4,2022-05-26,2022-05-26,1
5,3,3,2024-11-07,2026-03-05,149
6,5,3,2024-11-07,2026-03-05,145
7,7,1,2026-07-06,2026-07-06,3
8,7,2,2021-02-02,2026-06-23,1637
9,7,4,2022-05-26,2022-05-26,1
10,7,5,2026-05-26,2026-06-23,27
11,8,1,2024-03-18,2026-07-06,4
12,8,2,2021-02-02,2026-06-23,1662
13,8,5,2026-05-26,2026-06-23,27
14,9,1,2024-03-18,2026-07-06,4
15,9,2,2023-01-10,2026-06-23,1047
16,9,5,2026-05-26,2026-06-23,27
17,10,3,2024-11-07,2026-03-05,170
18,12,2,2021-02-02,2022-12-22,592
19,12,4,2022-05-26,2022-05-26,1
20,13,2,2021-02-02,2022-12-22,573
21,13,4,2022-05-26,2022-05-26,1
22,14,3,2024-11-07,2026-01-08,111
23,15,1,2026-07-06,2026-07-06,3
24,15,2,2026-01-27,2026-06-23,256
25,15,5,2026-05-26,2026-06-23,27
26,16,1,2024-03-18,2024-03-18,1
27,16,2,2021-02-02,2025-03-28,1060
28,16,4,2022-05-26,2022-05-26,1
29,17,1,2024-03-18,2026-07-06,4
30,17,2,2023-01-10,2026-06-23,1029
31,17,5,2026-05-26,2026-06-23,27
32,18,1,2026-07-06,2026-07-06,3
33,18,2,2023-01-13,2026-06-23,582
34,18,5,2026-05-26,2026-06-23,27
35,19,3,2024-11-07,2025-04-03,54
36,20,3,2025-02-06,2026-03-05,105
37,21,2,2023-01-10,2026-06-23,1055
38,21,5,2026-05-26,2026-06-23,27
39,23,3,2025-09-04,2026-03-05,89
40,26,3,2025-01-09,2026-03-05,116
