date,url,reason
2020-06-10,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Minutes/_06102020-126,agenda only - no minutes document published
2020-08-12,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Minutes/_08122020-132,agenda only - no minutes document published
2020-10-14,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Minutes/_10142020-140,agenda only - no minutes document published
2021-07-14,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Minutes/_07142021-179,agenda only - no minutes document published
2026-06-10,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Minutes/_06102026-432,agenda only - no minutes document published
2020-04-08,https://www.utah.gov/pmn/sitemap/notice/598079.html,agenda only - no minutes on PMN or AgendaCenter (PC meeting; Petersen site plan / Cedar Ridge PUD); verified 2026-07-19 Q3 refresh
2020-12-09,https://www.utah.gov/pmn/sitemap/notice/645379.html,agenda only - no minutes on PMN or AgendaCenter; PC agenda PMN-cross-filed under council body 1788; verified 2026-07-19 Q3 refresh
2021-02-10,https://www.utah.gov/pmn/sitemap/notice/657115.html,agenda only - no minutes on PMN or AgendaCenter (PC meeting; Cedar Ridge ph2-3 / Winn Ridge); verified 2026-07-19 Q3 refresh
2025-09-23,https://www.utah.gov/pmn/sitemap/notice/1025413.html,agenda only - PC public hearing; no minutes on PMN or AgendaCenter; verified 2026-07-19 Q3 refresh
2026-03-11,https://www.utah.gov/pmn/sitemap/notice/1064985.html,agenda only - no minutes on PMN or AgendaCenter (PC meeting agenda); verified 2026-07-19 Q3 refresh
