commissioner,first_seen,last_seen,n_meetings
Anthony Jenkins,2020-01-08,2023-11-15,46
Bryce Brady,2020-01-08,2024-12-18,58
Jeff Knighton,2020-01-08,2022-05-18,19
Jessica Welch,2020-01-08,2021-12-01,14
Shan Sullivan,2020-01-08,2021-08-18,14
Tay Gudmundson,2020-01-08,2024-03-06,32
Tim Blackburn,2020-01-08,2022-12-07,27
Amber Rasmussen,2020-06-03,2021-08-18,8
Spencer Blackburn,2020-07-15,2022-08-17,3
Christopher Bramwell,2022-01-19,2025-03-19,27
Kristal Price,2022-01-19,2022-01-19,1
Marcus Jessop,2022-01-19,2022-01-19,1
Craig Bown,2022-10-19,2023-08-16,14
Steve Anderson,2022-10-26,2023-11-01,2
Graden Ostler,2023-02-01,2026-05-06,29
Brad Fagg,2023-11-15,2026-05-06,16
Nathan Steele,2024-03-06,2026-05-06,20
Caden Rhoton,2024-04-17,2025-12-03,10
Natalie Harbin,2024-11-06,2025-11-05,7
David Pearce,2025-02-05,2026-05-06,13
Jordan Christensen,2026-03-04,2026-03-04,1
Martina Huntington,2026-03-04,2026-05-06,2
Daria Evans,2026-05-06,2026-05-06,1
