role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2022-07-13,2024-01-10,4
2,2,3,2023-06-14,2024-01-10,3
3,4,3,2023-06-14,2026-04-08,11
4,5,3,2023-06-14,2026-04-08,6
5,6,2,2020-08-25,2021-06-01,2
6,7,3,2024-01-10,2026-04-08,7
7,8,2,2022-08-02,2026-06-16,29
8,9,2,2022-08-02,2026-06-16,30
9,10,3,2025-06-11,2026-04-08,5
10,11,3,2023-08-09,2025-06-11,5
11,12,2,2020-02-04,2021-10-05,19
12,15,2,2020-02-04,2021-11-02,19
13,16,2,2020-02-04,2023-10-17,21
14,17,3,2025-06-11,2026-04-08,3
15,18,2,2020-02-04,2022-08-02,19
16,19,2,2024-04-16,2026-06-16,28
17,20,2,2020-02-04,2025-05-20,31
18,21,2,2026-01-20,2026-06-16,16
19,22,3,2024-01-10,2024-12-11,2
20,23,2,2024-04-16,2026-06-16,28
