date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2022-06-21,2022,City Council Meeting,Council,1,"A motion was made by Zach Robinson, seconded by Cyndi Sharkey to approve the Consent Calendar",Procedural/Administrative,Unanimous (voice),Zach Robinson,Cyndi Sharkey,,,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Alison Stroud,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Zach Robinson,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Marci Houseman,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Cyndi Sharkey,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Ryan Mecham,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Brooke D'Sousa,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,2,"A motion was made by Cyndi Sharkey, seconded by Zach Robinson to adopt Resolution 22-30C, (No Truth in Taxation Hearing) a resolution adopting the Sandy City Annual Budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges in Sandy City for said fiscal year and setting a tax rate on all real and personal property in Sandy City",Resolution,7-0 Pass,Cyndi Sharkey,Zach Robinson,Scott Earl,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,3,"A motion was made by Zach Robinson, seconded by Scott Earl to adopt Resolution 22-31C, a resolution adopting the Alta Canyon Recreation District annual budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges for said fiscal year, and setting a tax rate on all real and personal property in the Alta Canyon Recreation District",Resolution,7-0 Pass,Zach Robinson,Scott Earl,Alison Stroud,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,3,"A motion was made by Zach Robinson, seconded by Scott Earl to adopt Resolution 22-31C, a resolution adopting the Alta Canyon Recreation District annual budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges for said fiscal year, and setting a tax rate on all real and personal property in the Alta Canyon Recreation District",Resolution,7-0 Pass,Zach Robinson,Scott Earl,Zach Robinson,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
2022-06-21,2022,City Council Meeting,Council,3,"A motion was made by Zach Robinson, seconded by Scott Earl to adopt Resolution 22-31C, a resolution adopting the Alta Canyon Recreation District annual budget for the Fiscal Year commencing July 1, 2022 and ending June 30, 2023; also establishing certain fees and charges for said fiscal year, and setting a tax rate on all real and personal property in the Alta Canyon Recreation District",Resolution,7-0 Pass,Zach Robinson,Scott Earl,Marci Houseman,Aye,meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md
