role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2021-05-19,2022-09-21,23
2,2,1,2023-04-10,2026-06-08,83
3,2,2,2017-02-27,2026-06-22,836
4,3,1,2019-05-13,2026-06-08,98
5,3,2,2017-02-27,2026-06-22,881
6,4,3,2021-05-19,2026-06-17,235
7,5,3,2017-05-17,2022-03-16,71
8,6,3,2017-03-15,2018-12-19,42
9,7,3,2022-07-20,2024-03-20,75
10,8,3,2023-07-19,2026-06-17,164
11,9,3,2023-01-18,2025-10-15,132
12,10,1,2019-05-13,2019-05-13,1
13,10,2,2017-02-27,2021-12-13,86
14,11,3,2017-02-15,2019-09-18,51
15,12,3,2017-09-20,2018-12-19,29
16,13,3,2020-08-19,2026-06-17,194
17,14,3,2024-10-16,2026-06-17,100
18,15,1,2019-05-13,2025-07-28,80
19,15,2,2017-02-27,2025-11-10,691
20,16,3,2026-02-18,2026-06-17,34
21,17,3,2017-03-15,2020-06-17,76
22,18,1,2026-03-23,2026-06-08,17
23,18,2,2025-11-24,2026-06-22,130
24,19,3,2022-07-20,2026-03-18,149
25,20,3,2017-06-21,2020-10-21,67
26,21,3,2017-05-17,2023-02-28,125
27,22,3,2017-03-15,2026-06-17,342
28,23,1,2019-05-13,2026-06-08,89
29,23,2,2017-02-27,2026-06-22,828
30,24,3,2019-06-19,2023-06-21,85
31,25,3,2023-07-19,2026-06-17,155
32,26,1,2023-04-10,2026-06-08,87
33,26,2,2022-07-26,2026-06-22,765
34,27,3,2017-03-15,2022-05-18,99
35,28,3,2019-06-19,2026-06-17,277
