motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
1,1,2,1,to open the public hearing,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,2,10,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
2,1,2,2,to close the hearing,Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,3,10,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
3,1,2,3,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,23,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
4,1,2,4,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,10,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
5,1,2,5,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,23,3,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
6,1,2,6,to adopt the revised compilation of ordinances,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,23,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
7,1,2,7,"to adopt the Ordinance, striking paragraph 3",Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,2,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
8,1,2,8,to adopt the Ordinance as drafted,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,10,23,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
9,1,2,9,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,23,10,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
10,1,2,10,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,3,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
11,1,2,11,to approve the ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,10,0,minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md
12,2,2,1,"to approve the minutes of the meeting of January 9, 2017",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,2,3,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
13,2,2,2,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,10,23,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
14,2,2,3,to extend an invitation to serve on the committee to those residents who have expressed interest and to allow the committee to accept additional members,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,10,3,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
15,2,2,4,to adopt the ordinance ratifying the confirming all prior actions of the Council elect,Appointment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,23,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
16,2,2,5,to adopt the ordinance ratifying and confirming Brems and Lewis Young contracts,Appointment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,3,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
17,2,2,6,to approve the ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,23,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
18,2,2,7,"to pass a resolution to enter into a contract for lobbyist services with David Spatafore for a term ending on December 31, 2017 in the amount of $15,000",Contract/Purchase,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,10,0,minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md
19,3,2,1,"to approve the minutes of the meeting of January 17, 2017, with a correction indicating that Councilmember had attended a training with Wasatch Front Waste and Recycling, not a meeting",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,23,0,minutes/2017/2017-01-23/2017-01-23_city-council-agenda-97.md
20,3,2,2,to approve the ordinance creating the events committee,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,10,0,minutes/2017/2017-01-23/2017-01-23_city-council-agenda-97.md
21,4,2,1,"to suspend the Work Session, take a short recess and begin the Work Session immediately following the General Meeting with Item 9 as the first agenda item",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,10,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
22,4,2,2,"to approve the minutes of the meeting of January 23, 2017",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,23,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
23,4,2,3,"to change the name to CERT Volunteer Program Manager/Coordinator, and then to adopt the Resolution",Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,10,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
24,4,2,4,to authorize Mayor Silvestrini to move forward with the appointment of an appeal authority to hear the two pending appeals,Appointment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,23,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
25,4,2,5,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,10,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
26,4,2,6,"to approve the resolution with the changes outlined in the work session including changing the weighting to 20% per item, adding the word ""innovation"" on the Proposed Approach line and the word ""government"" on the Municipal line",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,23,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
27,4,2,7,adjournment of the General meeting and return to the remaining Work Session items,Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,2,3,0,minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md
28,5,2,1,"to approve the minutes of the meeting of January 30, 2017",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,23,0,minutes/2017/2017-02-06/2017-02-06_city-council-agenda-95.md
29,5,2,2,adoption,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,10,0,minutes/2017/2017-02-06/2017-02-06_city-council-agenda-95.md
30,5,2,3,"to adjourn the General meeting, and return to the Work session",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,23,0,minutes/2017/2017-02-06/2017-02-06_city-council-agenda-95.md
31,5,2,4,to adjourn,Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,10,0,minutes/2017/2017-02-06/2017-02-06_city-council-agenda-95.md
32,6,2,1,"to approve the minutes of the meeting of February 6, 2017, were approved with the changes requested by Ms. Uipi",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,3,23,0,minutes/2017/2017-02-13/2017-02-13_city-council-agenda-94.md
33,7,2,1,to adopt the rules of procedure for land use hearing officer adding a verbal amendment that the land use hearing officer is empowered to grant a stay both before and after his or her decision,Land-Use/Zoning,Pass (unanimous),Pass,council_vote,,approve,keyword,high,1,singleton,high,2,3,0,minutes/2017/2017-02-20/2017-02-21_city-council-agenda-93.md
34,7,2,2,to approve the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,3,10,0,minutes/2017/2017-02-20/2017-02-21_city-council-agenda-93.md
35,7,2,3,to approve the surplus personal property ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,2,3,0,minutes/2017/2017-02-20/2017-02-21_city-council-agenda-93.md
36,8,2,1,to adopt Ordinance No. 17- _____ amending the ordinance that creates an appeal authority in order to provide for a stay. A roll call vote was held and,Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,23,3,1,minutes/2017/2017-02-27/2017-02-27_city-council-agenda-amended-92.md
37,8,2,2,to adopt Resolution No. 17 - _____ authorizing the Mayor to work with the Municipal Services District to obtain operating funds. A roll call vote was held and,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,23,1,minutes/2017/2017-02-27/2017-02-27_city-council-agenda-amended-92.md
