filename,method,chars,note
1567617409_Ordinance_19-04-01.pdf,ocr_tesseract,5877,image-only PDF; OCR fallback
1578957966_Ordinance_19-07-01.pdf,ocr_tesseract,75811,image-only PDF; OCR fallback
1579044017_Ordinance_19-07-02.pdf,ocr_tesseract,4976,image-only PDF; OCR fallback
1579044386_Resolution_19-08-01.pdf,ocr_tesseract,45459,image-only PDF; OCR fallback
1579130939_Ordinance_19-11-01.pdf,ocr_tesseract,4409,image-only PDF; OCR fallback
1579131744_Resolution_19-11-01.pdf,ocr_tesseract,1449,image-only PDF; OCR fallback
1579132927_Resolution_19-11-02.pdf,ocr_tesseract,13700,image-only PDF; OCR fallback
1582153123_CO067-001_-_Code_Enforcement_Ordinance_FINAL_9-13-2019_.pdf,pdftotext_layout,70060,
1583956885_Ordinance_20-01-01.pdf,ocr_tesseract,88913,image-only PDF; OCR fallback
1584042137_Ordinance_20-02-02.pdf,ocr_tesseract,50156,image-only PDF; OCR fallback
1594911069_Resolution_19-06-02.pdf,pdftotext_layout,3115,
1596820002_Resolution_20-03-01.pdf,pdftotext_layout,94226,
1596820313_Resolution_20-04-01.pdf,pdftotext_layout,3284,
1596820411_Resolution_20-05-01.pdf,pdftotext_layout,9904,
1596820517_Resolution_20-05-02.pdf,pdftotext_layout,1889,
1596820620_Resolution_20-07-01.pdf,pdftotext_layout,1976,
1596820663_Resolution_20-07-02.pdf,pdftotext_layout,4321,
1596820786_Ordinance_20-01-01.pdf,ocr_tesseract,88913,image-only PDF; OCR fallback
1596820918_Ordinance_20-02-01.pdf,ocr_tesseract,23330,image-only PDF; OCR fallback
1596821159_Ordinance_20-04-01.pdf,ocr_tesseract,23441,image-only PDF; OCR fallback
1596821354_Ordinance_20-06-01.pdf,pdftotext_layout,9552,
1597091034_Resolution_20-07-03.pdf,pdftotext_layout,1484,
1597682366_Ordinance_20-06-01.pdf,pdftotext_layout,9552,
1597682924_Resolution_20-03-01.pdf,pdftotext_layout,94226,
1597682983_Ordinance_20-04-01.pdf,ocr_tesseract,23441,image-only PDF; OCR fallback
1597683021_Resolution_20-07-03.pdf,pdftotext_layout,1484,
1597683045_Resolution_20-07-02.pdf,pdftotext_layout,4321,
1597683076_Resolution_20-05-02.pdf,pdftotext_layout,1889,
1597683554_Resolution_20-05-01.pdf,pdftotext_layout,9904,
1597946761_Ordinance_20-08-01.pdf,pdftotext_layout,59005,
1597946881_Ordinance_20-08-01.pdf,pdftotext_layout,63928,
1599079744_Copperton_Ordinance_20-06-01.pdf,ocr_tesseract,8170,image-only PDF; OCR fallback
1601315011_Ordinance_20-06-01.pdf,ocr_tesseract,5538,image-only PDF; OCR fallback
1601315524_Resolution_20-09-01.pdf,pdftotext_layout,1416,
1601319981_Resolution_20-09-02.pdf,pdftotext_layout,47248,
1601411734_Resolution_20-07-01.pdf,ocr_tesseract,1646,image-only PDF; OCR fallback
1601412236_Resolution_20-05-02.pdf,pdftotext_layout,1683,
1601412312_Resolution_20-04-01.pdf,ocr_tesseract,2803,image-only PDF; OCR fallback
1601412627_Resolution_20-07-02.pdf,ocr_tesseract,3538,image-only PDF; OCR fallback
1604942997_Resolution_20-08-01_EOP_Adoption.pdf,pdftotext_layout,123681,
1607972655_Ordinance_20-06-01.pdf,ocr_tesseract,5538,image-only PDF; OCR fallback
