year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2017,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,JOE SMOLKA,338,51.37,1,True
2017,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,GARY BOWEN,320,48.63,2,True
2019,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,JENNIFER HAWKES,300,29.85,1,True
2019,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,DAVID PAUL BREMS,271,26.97,2,True
2019,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,CATHERINE HARRIS,241,23.98,3,True
2019,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,TYLER TIPPETTS,193,19.2,4,False
2023,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,CATHERINE M HARRIS,298,29.33,1,True
2023,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,JENNIFER HAWKES,277,27.26,2,True
2023,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,DAVID PAUL BREMS,277,27.26,3,True
2023,municipal general,Council,At-Large,Emigration Canyon Metro Township Council At-Large,TYLER TIPPETTS,164,16.14,4,False
2025,municipal general,Council,At-Large,City of Emigration Canyon Council At-Large,ROBERTO PINON,324,61.71,1,True
2025,municipal general,Council,At-Large,City of Emigration Canyon Council At-Large,JACOB STEED,201,38.29,2,False
2025,municipal general,Council,At-Large,City of Emigration Canyon Council At-Large,Unresolved Write-In,0,0.0,3,False
2025,municipal primary,Council,At-Large,City of Emigration Canyon Council At-Large,ROBERTO PINON,197,51.84,1,True
2025,municipal primary,Council,At-Large,City of Emigration Canyon Council At-Large,JACOB STEED,116,30.53,2,False
2025,municipal primary,Council,At-Large,City of Emigration Canyon Council At-Large,ZACHARY POSNER,53,13.95,3,False
2025,municipal primary,Council,At-Large,City of Emigration Canyon Council At-Large,DILLON WHEELOCK,14,3.68,4,False
2025,municipal primary,Council,At-Large,City of Emigration Canyon Council At-Large,Unresolved Write-In,0,0.0,5,False
