date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,matched_election_candidate,join_confidence,office_confidence,date_precision,redacted,source_archive
2015-08-15,Chris Judd,Council,2015,interim,,Chris Judd — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210810144442id_/https://www.vineyardutah.org/DocumentCenter/View/253/Chris-Judd-Primary-Financial-Disclosure-Report-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V253_Chris-Judd-Primary-Financial-Disclosure-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Dale E. Goodman,Council,2015,interim,,Dale E. Goodman — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210809171614id_/https://www.vineyardutah.org/DocumentCenter/View/290/Dale-E-Goodman-Financial-Report-2-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V290_Dale-E-Goodman-Financial-Report-2-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Dale E. Goodman,Council,2015,interim,,Dale E. Goodman — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210809171603id_/https://www.vineyardutah.org/DocumentCenter/View/291/Dale-E-Goodman-Financial-Report-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V291_Dale-E-Goodman-Financial-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-08-15,G. Tyce Flake,Council,2015,interim,,G. Tyce Flake — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210810145620id_/https://www.vineyardutah.org/DocumentCenter/View/250/G-Tyce-Flake-Primary-Financial-Disclosure-Report-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V250_G-Tyce-Flake-Primary-Financial-Disclosure-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-08-15,James Booth,Council,2015,interim,,James Booth — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210810145702id_/https://www.vineyardutah.org/DocumentCenter/View/249/James-Booth-Primary-Financial-Disclosure-Report-PDF?bidId=,2026-07-05,text,pdftotext_layout,raw/2015/2015_V249_James-Booth-Primary-Financial-Disclosure-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Jeff R. Gillespie,Council,2015,interim,,Jeff R. Gillespie — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210809173036id_/https://www.vineyardutah.org/DocumentCenter/View/287/Jeff-R-Gillespie-Financial-Report-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V287_Jeff-R-Gillespie-Financial-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Julie Fullmer,Council,2015,interim,,Julie Fullmer — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210809171549id_/https://www.vineyardutah.org/DocumentCenter/View/283/Julie-Fullmer-Financial-Report-2-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V283_Julie-Fullmer-Financial-Report-2-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Julie Fullmer,Council,2015,interim,,Julie Fullmer — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210809171541id_/https://www.vineyardutah.org/DocumentCenter/View/284/Julie-Fullmer-Financial-Report-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V284_Julie-Fullmer-Financial-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Nathan Riley,Council,2015,interim,,Nathan Riley — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210810144523id_/https://www.vineyardutah.org/DocumentCenter/View/247/Nathan-Riley-Financial-Disclosure-Report-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V247_Nathan-Riley-Financial-Disclosure-Report-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
2015-10-29,Randy E. Farnworth,Mayor,2015,interim,,Randy E. Farnworth — 2015 municipal campaign financial disclosure (interim),https://web.archive.org/web/20210809171526id_/https://www.vineyardutah.org/DocumentCenter/View/280/Randy-E-Farnworth-Financial-Report-2-PDF?bidId=,2026-07-05,scanned,ocr:tesseract-psm6@300dpi,raw/2015/2015_V280_Randy-E-Farnworth-Financial-Report-2-PDF.pdf,,pre_floor,inferred,cycle,no,wayback
