candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Chris Judd,Council,2015,2015-08-15,interim,interim,,,,,,,,,,,0.00,0,0,raw/2015/2015_V253_Chris-Judd-Primary-Financial-Disclosure-Report-PDF.pdf,e20883c0,low,vision-transcribed(claude-sonnet-5),
Dale E. Goodman,Council,2015,2015-10-29,interim,interim,0.00,45.00,,0.00,0.00,,True,,0.00,,0.00,0,0,raw/2015/2015_V290_Dale-E-Goodman-Financial-Report-2-PDF.pdf,6aff43bd,low,vision-transcribed(claude-sonnet-5); totals-only(no itemization),
Dale E. Goodman,Council,2015,2015-10-29,interim,interim,0.00,45.00,,0.00,0.00,45.00,True,True,0.00,0.00,0.00,0,1,raw/2015/2015_V291_Dale-E-Goodman-Financial-Report-PDF.pdf,9349d268,medium,vision-transcribed(claude-sonnet-5),
G. Tyce Flake,Council,2015,2015-08-15,interim,interim,495.00,331.66,,163.34,495.00,431.66,True,False,0.00,100.00,495.00,1,6,raw/2015/2015_V250_G-Tyce-Flake-Primary-Financial-Disclosure-Report-PDF.pdf,e5afce8b,low,vision-transcribed(claude-sonnet-5); expend!=stated,
James Booth,Council,2015,2015-08-15,interim,interim,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V249_James-Booth-Primary-Financial-Disclosure-Report-PDF.pdf,854f7447,high,born-digital direct (fillable-PDF: totals read from cover block),
Jeff R. Gillespie,Council,2015,2015-10-29,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V287_Jeff-R-Gillespie-Financial-Report-PDF.pdf,8a51b287,medium,vision-transcribed(claude-sonnet-5),
Julie Fullmer,Council,2015,2015-10-29,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V283_Julie-Fullmer-Financial-Report-2-PDF.pdf,fa5b0a5a,medium,vision-transcribed(claude-sonnet-5),
Julie Fullmer,Council,2015,2015-10-29,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V284_Julie-Fullmer-Financial-Report-PDF.pdf,6007c3a1,medium,vision-transcribed(claude-sonnet-5),
Nathan Riley,Council,2015,2015-10-29,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V247_Nathan-Riley-Financial-Disclosure-Report-PDF.pdf,27f80085,medium,vision-transcribed(claude-sonnet-5),
Randy E. Farnworth,Mayor,2015,2015-10-29,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V280_Randy-E-Farnworth-Financial-Report-2-PDF.pdf,40017055,medium,vision-transcribed(claude-sonnet-5),
Randy E. Farnworth,Mayor,2015,2015-10-29,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V281_Randy-E-Farnworth-Financial-Report-PDF.pdf,c8b1d4bd,medium,vision-transcribed(claude-sonnet-5),
Simpson,Council,2015,2015-10-29,interim,interim,,155.07,,0.00,,155.07,,True,,0.00,0.00,0,2,raw/2015/2015_V277_simpson-financial-report2-PDF.pdf,05ebd060,low,vision-transcribed(claude-sonnet-5),
Simpson,Council,2015,2015-10-29,interim,interim,0.00,155.07,,0.00,0.00,155.07,True,True,0.00,0.00,0.00,0,2,raw/2015/2015_V278_simpson-financial-report-PDF.pdf,cfe047a3,medium,vision-transcribed(claude-sonnet-5),
Wayne T. Holdaway,Council,2015,2015-08-15,interim,interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2015/2015_V242_Wayne-T-Holdaway-Primary-Financial-Disclosure-Report-PDF.pdf,07482fb6,medium,vision-transcribed(claude-sonnet-5),
Wayne T. Holdaway,Council,2015,2015-10-29,interim,interim,0.00,2250.00,,0.00,0.00,,True,,0.00,,0.00,0,0,raw/2015/2015_V274_Wayne-T-Holdaway-Financial-Report-PDF.pdf,0a266187,low,vision-transcribed(claude-sonnet-5); totals-only(no itemization),
Wayne T. Holdaway,Council,2015,2015-10-29,interim,interim,,15.42,,0.00,,,,,,,0.00,0,0,raw/2015/2015_V275_Wayne-T-Holdaway-financial-report-PDF.pdf,25ebc20d,low,vision-transcribed(claude-sonnet-5); totals-only(no itemization),
Chris Judd,Council,2017,2017-10-29,interim,interim,3100.00,2799.80,,300.20,3100.00,2799.80,True,True,0.00,0.00,50.00,7,7,raw/2017/2017_V1006_Judd-Chris-General-Financial-Disclosure-Statement.pdf,80a159f8,medium,vision-transcribed(claude-sonnet-5),
John Earnest,Council,2017,2017-10-29,interim,interim,375.00,375.00,,,375.00,375.00,True,True,0.00,0.00,250.00,2,4,raw/2017/2017_V1010_Earnest-John-General-Financial-Disclosure.pdf,10fc7f28,medium,vision-transcribed(claude-sonnet-5),
John Earnest,Council,2017,2017-12-05,summary,summary,52.50,,,52.50,52.50,,True,,0.00,,0.00,1,0,raw/2017/2017_V1056_Earnest-Final-Financial-Statement.pdf,7d8b388b,low,vision-transcribed(claude-sonnet-5),
Julie Fullmer,Mayor,2017,2017-10-29,interim,interim,1221.63,1221.63,,0.00,1221.63,1221.63,True,True,0.00,0.00,1221.63,5,5,raw/2017/2017_V1014_Fullmer-Julie-General-Financial-Disclosure-Statement.pdf,5ebfa951,medium,vision-transcribed(claude-sonnet-5),
Julie Fullmer,Mayor,2017,2017-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2017/2017_V1054_Fullmer-Final-Financial-Disclosure-Statement.pdf,b0fc61ba,medium,vision-transcribed(claude-sonnet-5),
Kevin Mehner,Council,2017,2017-10-29,interim,interim,590.13,590.13,,0.00,590.13,590.13,True,True,0.00,0.00,190.13,4,3,raw/2017/2017_V1012_Mehner-Kevin-General-Financial-Disclosure-Statement.pdf,374993b3,medium,vision-transcribed(claude-sonnet-5),
Kevin Mehner,Council,2017,2017-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2017/2017_V1068_Mehner-Final-Financial-Discloure-Statement.pdf,f8dd61a4,medium,vision-transcribed(claude-sonnet-5),
Randy E. Farnworth,Council,2017,2017-10-29,interim,interim,5269.80,5269.80,,0.00,5269.80,5269.58,True,False,0.00,-0.22,5269.80,1,3,raw/2017/2017_V1005_Farnworth-Randy-General-Financial-Disclosure-Statement.pdf,72c9ae8f,low,vision-transcribed(claude-sonnet-5); expend!=stated,
Shawn Scott Herring,Council,2017,2017-10-29,interim,interim,5094.24,5094.24,,0.00,4979.24,5094.00,False,False,-115.00,-0.24,3479.24,5,3,raw/2017/2017_V1004_Shawn-Herring-General-Financial-Disclosure-Statement.pdf,79de9834,low,vision-transcribed(claude-sonnet-5); contrib!=stated; expend!=stated,
Shawn Scott Herring,Council,2017,2017-10-29,interim,interim,,,,,,,,,,,0.00,0,0,raw/2017/2017_V943_Herring-Shawn-Scott-Elimination-Financial-Disclosure-Form-92017.pdf,810a5efa,low,vision-transcribed(claude-sonnet-5),
Shawn Scott Herring,Council,2017,2017-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2017/2017_V1060_Herring-Final-Municipal-Campaign-Financial-Disclosure-Form.pdf,00646c1e,high,born-digital direct (fillable-PDF: totals read from cover block),
Anthony Jenkins,Council,2019,2019-10-29,interim,interim,36.05,36.05,,0.00,36.05,36.05,True,True,0.00,0.00,36.05,1,1,raw/2019/2019_V1863_Jenkins-General-Election-Campaign-Financial-Statement.pdf,2016f5ad,medium,vision-transcribed(claude-sonnet-5); ≤$500 contribution aggregate stated $36.05 (exemption; not itemized on form),
Anthony Jenkins,Council,2019,2019-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/2019_V1915_Jenkins-Final-Municipal-Campaign-Financial-Disclosure-Form.pdf,1a5f9d80,high,born-digital direct (fillable-PDF: totals read from cover block),
Cristy Welsh,Council,2019,2019-10-29,interim,interim,3848.00,1074.13,,2854.87,3848.00,1074.13,True,True,0.00,0.00,0.00,11,7,raw/2019/2019_V1875_Welsh-Cristy-General-Election-Campaign-inancial-Diclosure-Statement.pdf,369f91de,medium,vision-transcribed(claude-sonnet-5); ≤$500 contribution aggregate stated $81.00 (exemption; not itemized on form),
David Lauret,Council,2019,2019-10-29,interim,interim,,,,,,,,,,,0.00,0,0,raw/2019/2019_V1876_Lauret-David-General-Election-Financial-Disclosure-Statement-redacted.pdf,94ddf3dc,low,archive-truncated (1-MiB Wayback truncation) — unreadable; honest blank,
David Lauret,Council,2019,2019-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/2019_V1921_Lauret-David-Final-Municipal-Campaign-Financial-Disclosure-Form-David-.pdf,ef4f0c35,high,born-digital direct (fillable-PDF: totals read from cover block),
G. Tyce Flake,Council,2019,2019-10-29,interim,interim,,,,,,,,,,,0.00,0,0,raw/2019/2019_V1870_Flake-General-Election-Finacial-Campaign-Disclosure-Statement.pdf,5ef1bb77,low,archive-truncated (1-MiB Wayback truncation) — unreadable; honest blank,
G. Tyce Flake,Council,2019,2019-12-05,summary,summary,,,,,,,,,,,0.00,0,0,raw/2019/2019_V1919_Flake-Final-Election-Financial-Campaign-Disclosure-Statement.pdf,81c1ff51,low,archive-truncated (1-MiB Wayback truncation) — unreadable; honest blank,
Hector Hernandez,Council,2019,2019-10-29,interim,interim,0.00,,,0.00,0.00,,True,,0.00,,0.00,0,0,raw/2019/2019_V1867_Hernandez-General-Election-Campaign-Financial-Statement.pdf,0db25c86,low,vision-transcribed(claude-sonnet-5),
Hector Hernandez,Council,2019,2019-01-25,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/2019_V1923_Hernandez-Hector-redacted-Final-Financial-Disclosure-statement-1252019.pdf,8db40346,medium,vision-transcribed(claude-sonnet-5),
Keith Kuder,Council,2019,2019-10-29,interim,interim,14529.06,14529.06,,0.00,13230.00,14529.06,False,True,-1299.06,0.00,0.00,14,22,raw/2019/2019_V1868_Keith-Kuder-General-Election-Campaign-Financial-Statement.pdf,e1e83683,low,vision-transcribed(claude-sonnet-5); ≤$500 contribution aggregate stated $130.00 (exemption; not itemized on form); contrib!=stated,
Keith Kuder,Council,2019,2019-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/2019_V1920_Kuder-Keith-Final-Municipal-Campaign-Financial-Disclosure.pdf,cd9d00b6,high,born-digital direct (fillable-PDF: totals read from cover block),
Tay Gudmundson,Council,2019,2019-10-29,interim,interim,805.00,417.60,,117.40,841.05,453.65,False,False,36.05,36.05,36.05,10,3,raw/2019/2019_V1871_Gudmundsom-General-Election-Financial-Disclosure-Statement-Redacted.pdf,7aafd827,low,vision-transcribed(claude-sonnet-5); ≤$500 contribution aggregate stated $225.00 (exemption; not itemized on form); contrib!=stated; expend!=stated,
Tay Gudmundson,Council,2019,2019-12-05,summary,summary,,,,,,,,,,,0.00,0,0,raw/2019/2019_V1916_Gudmundon-Tay-Final-Municipal-Campaign-Financial-Disclosure-Redacted.pdf,a26e9c1e,low,vision-transcribed(claude-sonnet-5),
Amber Rasmussen,Council,2021,2021-10-29,interim,interim,940.00,805.00,,135.00,940.00,805.00,True,True,0.00,0.00,0.00,3,5,raw/2021/2021_V2489_Rasmussen-Financial-Disclosure.pdf,55916772,medium,vision-transcribed(claude-sonnet-5),
Amber Rasmussen,Council,2021,2021-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/2021_V2563_Rasmussen-Final-Financial-Disclosure-Form.pdf,7b3de6cc,medium,vision-transcribed(claude-sonnet-5),
Julie Fullmer,Mayor,2021,2021-10-29,interim,interim,2190.53,2190.53,,0.00,2190.53,2190.53,True,True,0.00,0.00,314.86,8,6,raw/2021/2021_V2490_Fullmer-Financial-Disclosure.pdf,cebb64e1,medium,vision-transcribed(claude-sonnet-5),
Julie Fullmer,Mayor,2021,2021-12-05,summary,summary,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/2021_V2566_Fullmer-Final-Financial-Disclosure-Form.pdf,9a8694e7,medium,vision-transcribed(claude-sonnet-5),
Kristal C. Price,Council,2021,2021-10-29,interim,interim,3320.95,3104.63,,216.32,3320.95,3104.63,True,True,0.00,0.00,5.00,16,14,raw/2021/2021_V2494_Price-Financial-Disclosure-redacted.pdf,f7e964a4,medium,vision-transcribed(claude-sonnet-5),
