city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
vineyard,Wayne T. Holdaway,2015,Council,,0.0,2265.42,3,3,sum-interim,
vineyard,G. Tyce Flake,2015,Council,,495.0,331.66,1,1,single,
vineyard,Simpson,2015,Council,,0.0,310.14,2,2,sum-interim,
vineyard,Dale E. Goodman,2015,Council,,0.0,90.0,2,2,sum-interim,
vineyard,Chris Judd,2015,Council,,0.0,0.0,1,1,single,
vineyard,James Booth,2015,Council,,0.0,0.0,1,1,single,
vineyard,Jeff R. Gillespie,2015,Council,,0.0,0.0,1,1,single,
vineyard,Julie Fullmer,2015,Council,,0.0,0.0,2,2,sum-interim,
vineyard,Nathan Riley,2015,Council,,0.0,0.0,1,1,single,
vineyard,Randy E. Farnworth,2015,Mayor,,0.0,0.0,2,2,sum-interim,
vineyard,Randy E. Farnworth,2017,Council,,5269.8,5269.8,1,1,single,
vineyard,Shawn Scott Herring,2017,Council,,5094.24,5094.24,3,3,sum-interim,
vineyard,Chris Judd,2017,Council,,3100.0,2799.8,1,1,single,
vineyard,Kevin Mehner,2017,Council,,590.13,590.13,2,2,sum-interim,
vineyard,John Earnest,2017,Council,,375.0,375.0,2,2,sum-interim,
vineyard,Julie Fullmer,2017,Mayor,,1221.63,1221.63,2,2,sum-interim,
vineyard,Keith Kuder,2019,Council,,14529.06,14529.06,2,2,sum-interim,
vineyard,Cristy Welsh,2019,Council,,3848.0,1074.13,1,1,single,
vineyard,Tay Gudmundson,2019,Council,,805.0,417.6,2,2,sum-interim,
vineyard,Anthony Jenkins,2019,Council,,36.05,36.05,2,2,sum-interim,
vineyard,David Lauret,2019,Council,,0.0,0.0,2,2,summary,
vineyard,G. Tyce Flake,2019,Council,,0.0,0.0,2,2,summary,
vineyard,Hector Hernandez,2019,Council,,0.0,0.0,2,2,summary,
vineyard,Mardi Sifuentes,2021,Council,,6510.0,6424.35,2,2,sum-interim,
vineyard,Kristal C. Price,2021,Council,,3320.95,3104.63,2,2,sum-interim,
vineyard,Amber Rasmussen,2021,Council,,940.0,805.0,2,2,sum-interim,
vineyard,Nef Pacheco,2021,Council,,448.6,448.6,2,2,sum-interim,
vineyard,Julie Fullmer,2021,Mayor,,2190.53,2190.53,2,2,sum-interim,
vineyard,Maria Guadalupe Cane,2021,Mayor,,257.0,257.0,3,3,sum-interim,
vineyard,Marc Brimhall,2021,Mayor,,0.0,0.0,3,3,summary,
vineyard,Terry Ewing,2025,Council,,1447.7,1447.7,2,2,summary,
vineyard,Steve Terry,2025,Council,,1451.5,1395.57,1,1,single,
