ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,has_signed_pdf,linkage_note,minutes_source
2020-01,2020-01-09,2020-01-09,approving the 2020 Regular Meeting schedule for City Council as amended,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-01-09,13,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
2020-02,2020-01-09,2020-01-09,"approving the Lilac Hill Subdivision located at 729, 741, 747, 751, 755 Rossie Hill Drive",minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-09,14,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
2020-03,2020-01-09,2020-01-09,"approving the two-lot Silver Rail Subdivision located at 2080 Gold Dust Lane and 2211 Sidewinder Drive, Park City, Utah",minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-09,15,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
2020-04,2020-01-09,2020-01-09,"approving a zoning map amendment for seven tracts of land zoned Residential Development, Estate, Historic Residential-Low Density, and Residential Development- Medium Density to Recreation and Open Space (ROS), including Bureau of Land Management Parcel 17 Tracts 1, 2, 4 and Parcel 18 Tracts 1, 2, 6 and 7, Park City, Utah",minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-09,17,within_source,zone_change,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md
2020-05,2020-01-16,2020-01-16,"approving the Fairway Meadows Subdivision Lot 11 Amended Plat, located at 2784 American Saddler Drive, Park City, Utah",minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-16,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
2020-06,2020-01-30,2020-01-30,"approving the 322 Park Avenue Plat Amendment located at 322 Park Avenue, Park City, Utah",minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-30,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md
2020-07,2020-01-16,2020-01-16,"approving Evergreen Lot 1 Amended Plat, located at 7058 Silver Lake Drive, Park City, Utah, as amended",minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-16,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-13/2020-01-16_city-council-meeting.md
2020-08,2020-01-30,2020-01-30,"AN ORDINANCE AMENDING THE PARKING CODE OF PARK CITY, UTAH, AMENDING SECTION 9-10-03 ANTI-IDLING",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1580920995_2020-08_Parking_Code_09-10-03.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1580920995_2020-08_Parking_Code_09-10-03.pdf,no,5-0 Pass,2020-01-30,10,high,,1,yes,,minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md
2020-09,2020-01-30,2020-01-30,"AN ORDINANCE AMENDING THE LAND MANAGEMENT CODE OF PARK CITY, UTAH, AMENDING MASTER PLANNED DEVELOPMENT REQUIREMENTS, SECTION 15-6-5; AND MASTER PLANNED AFFORDABLE HOUSING DEVELOPMENT, SECTION 15-6-7.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1580921030_2020-09_LMC_Amendments.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1580921030_2020-09_LMC_Amendments.pdf,yes,4-1 Pass,2020-01-30,5,high,lmc_text_amendment,2,yes,"number cited on 2 dates: 2020-01-16, 2020-01-30; last passing motion chosen",minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md
2020-10,2020-01-30,2020-01-30,"approving a one year extension of the March 8, 2018 approval of the Alice Claim Subdivision and Plat Amendment located at the intersection of King Road, Ridge Avenue, and Sampson Avenue, Park City, Utah",minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-30,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md
2020-11,2020-01-30,2020-01-30,"approving a one year extension of the March 8, 2018 approval of the Ridge Avenue Subdivision, amending Lot 1, located at the intersection of King Road, Ridge Avenue, and Sampson Avenue, Park City, Utah",minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-01-30,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-01-27/2020-01-30_city-council-meeting.md
2020-12,2020-02-06,2020-02-06,"AN ORDINANCE .REPEALING LAND MANAGEMENT CODE§ 15-3-5, DRIVEWAY STANDARDS FOR PRIVATE DRIVEWAYS WITHIN PLATTED, UNBUILT CITY STREETS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1581375251_2020-12__Repeal_Parking_in_Private_Driveways_LMC.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1581375251_2020-12__Repeal_Parking_in_Private_Driveways_LMC.pdf,yes,5-0 Pass,2020-02-06,7,high,lmc_text_amendment,1,yes,PDF PASSED-AND-ADOPTED date 2020-02-05 vs motion 2020-02-06,minutes/2020/2020-02-03/2020-02-06_city-council-meeting.md
2020-13,2020-02-27,2020-02-27,"approving the 182 & 184 Daly Avenue Plat Amendment, located at 182 and 184 Daly Avenue, Park City, Utah",minutes/2020/2020-02-24/2020-02-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-02-27,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-02-24/2020-02-27_city-council-meeting.md
2020-14,2020-02-27,2020-02-27,"AN ORDINANCE AMENDING THE LAND MANAGEMENT CODE OF PARK CITY, UTAH, AMENDING CHAPTER 15-11 HISTORIC PRESERVATION.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1584389244_2020-14_Historic_Preservation_Code_Amendment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1584389244_2020-14_Historic_Preservation_Code_Amendment.pdf,yes,5-0 Pass,2020-02-27,7,high,lmc_text_amendment,1,yes,,minutes/2020/2020-02-24/2020-02-27_city-council-meeting.md
2020-15,2020-03-05,2020-03-05,"AN ORDINANCE AMENDING LAND MANAGEMENT CODE§ 15-7.1-7, S/GNA TURES AND RECORDING OF THE PLAT, TO REQUIRE THAT STAFF SUBMIT APPROVED PLATS TO THE UTAH AUTOMATED GEOGRAPHIC REFERENCE CENTER WITHIN 30 DAYS OF COUNCIL APPROVAL TO PROVIDE DATA FOR THE UNIFIED STATEWIDE 911 EMERGENCY DATABASE; AND TO REQUIRE THE SUMMIT COUNTY GIS COORDINATOR/ADDRESSING AUTHORITY TO SIGN THE PLAT",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1584389287_2020-15_LMC_Plat_Signatures.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1584389287_2020-15_LMC_Plat_Signatures.pdf,yes,5-0 Pass,2020-03-05,6,high,subdivision_plat,1,yes,,minutes/2020/2020-03-02/2020-03-05_city-council-meeting.md
2020-16,2020-03-05,2020-03-05,adopting an adjusted Budget for FY 2020 for Park City Municipal Corporation and its related agencies with the amendment that the City is only eligible for the emergency grant funding,minutes/2020/2020-03-02/2020-03-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2020-03-05,7,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-03-02/2020-03-05_city-council-meeting.md
2020-17,2020-03-19,2020-03-19,"AN ORDINANCE AMENDING THE MUNICIPAL CODE OF PARK CITY: TITLE 2, CHAPTER 2 SECTION 5 ELECTION QUALIFICATIONS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1587070107_2020-17_Amending_Title_2_Elections.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1587070107_2020-17_Amending_Title_2_Elections.pdf,no,5-0 Pass,2020-03-19,4,high,,1,yes,,minutes/2020/2020-03-16/2020-03-19_city-council-meeting.md
2020-18,2020-03-19,2020-03-19,"AN ORDINANCE AMENDING THE MUNICIPAL CODE OF PARK CITY: TITLE 2, CHAPTER 3 SECTIONS 2 & 5 MEETINGS; AND TITLE 15, CHAPTER 12, SECTIONS 13 & 14",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1587072662_2020-18_Amending_Title_2_and_15_Electronic_Meetings.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1587072662_2020-18_Amending_Title_2_and_15_Electronic_Meetings.pdf,yes,5-0 Pass,2020-03-19,5,high,lmc_text_amendment,1,yes,,minutes/2020/2020-03-16/2020-03-19_city-council-meeting.md
2020-19,2020-04-16,2020-04-16,"AN ORDINANCE AMENDING THE LAND MANAGEMENT CODE OF PARK CITY, UTAH, CHAPTER 15-5-5 ARCHITECTURAL DESIGN GUIDELINES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1587589702_2020-19_Solar_Code_Amendment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1587589702_2020-19_Solar_Code_Amendment.pdf,yes,5-0 Pass,2020-04-16,3,high,lmc_text_amendment,1,yes,,minutes/2020/2020-04-13/2020-04-16_city-council-meeting.md
2020-20,2020-04-16,2020-04-16,"approving the 962 Woodside Avenue Plat Amendment located at 962 Woodside Avenue and 968 Woodside Avenue, Park City, Utah",minutes/2020/2020-04-13/2020-04-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2020-04-16,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-04-13/2020-04-16_city-council-meeting.md
2020-21,2021-05-13,2021-05-13,"25 adopting a Tentative Revised Budget for Fiscal Year 2021 and a Tentative Budget for 26 Fiscal Year 2022 for Park City Municipal Corporation and its related agencies and 27 authorizing the computation of the property tax rate at a no tax increase rate, and set 28 public hearings to consider adoption of the Final Budget on May 27, 2021 and June 17, 29 and 24, 2021, at the regular City Council mee",minutes/2021/2021-05-10/2021-05-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-05-13,8,within_source,,2,no,"number cited on 2 dates: 2020-05-14, 2021-05-13; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2021/2021-05-10/2021-05-13_city-council-meeting.md
