Title                                   Increase %
City Manager                               2.00%
Assistant City Manager                     4.00%
City Recorder                              3.00% #
Human Resources Director                   7.00%
Finance Director                           2.00%
Treasurer                                  2.00% #
Police Chief                               3.00%
Fire Chief                                 4.00%
Deputy Fire Chief                          6.00%
Public Works Director / City Engineer      8.00%
Deputy Public Works Director               5.00%
Parks & Recreation Director               10.00%
Community Development Director             7.00%
Communications Director                   10.00%
IT Director                                2.00%

# Statutory Officer

