precinct,district,source_year
SLC001,1,2025
SLC002,1,2025
SLC003,1,2025
SLC004,1,2025
SLC005,1,2025
SLC006,3,2025
SLC007,3,2025
SLC008,3,2025
SLC009,1,2025
SLC010,1,2025
SLC011,1,2025
SLC012,1,2025
SLC013,3,2025
SLC014,3,2025
SLC015,3,2025
SLC016,1,2025
SLC017,1,2025
SLC018,2,2023
SLC019,3,2025
SLC020,3,2025
SLC021,3,2025
SLC022,3,2025
SLC023,3,2025
SLC024,6,2023
SLC025,3,2025
SLC026,3,2025
SLC027,3,2025
SLC028,1,2025
SLC029,2,2023
SLC030,3,2025
SLC031,3,2025
SLC032,3,2025
SLC033,3,2025
SLC034,3,2025
SLC035,3,2025
SLC036,3,2025
SLC037,3,2025
SLC038,2,2023
SLC039,2,2023
SLC040,2,2023
SLC041,2,2023
SLC042,4,2023
SLC043,4,2023
SLC044,4,2023
SLC045,4,2023
SLC046,4,2023
SLC047,6,2023
SLC048,4,2023
SLC049,4,2023
SLC050,4,2023
SLC051,2,2023
SLC052,2,2023
SLC053,2,2023
SLC054,4,2023
SLC055,4,2023
SLC056,4,2023
SLC057,4,2023
SLC058,4,2023
SLC059,4,2023
SLC060,4,2023
SLC061,6,2023
SLC062,6,2023
SLC063,5,2025
SLC064,5,2025
SLC065,2,2023
SLC066,2,2023
SLC067,2,2023
SLC068,5,2025
SLC069,5,2025
SLC070,5,2025
SLC071,5,2025
SLC072,5,2025
SLC073,5,2025
SLC074,6,2023
SLC075,6,2023
SLC076,6,2023
SLC077,6,2023
SLC078,2,2023
SLC079,2,2023
SLC080,5,2025
SLC081,5,2025
SLC082,5,2025
SLC083,5,2025
SLC084,5,2025
SLC085,5,2025
SLC086,5,2025
SLC087,6,2023
SLC088,6,2023
SLC089,6,2023
SLC090,6,2023
SLC091,6,2023
SLC092,6,2023
SLC093,6,2023
SLC094,5,2025
SLC095,5,2025
SLC096,5,2025
SLC097,5,2025
SLC098,5,2025
SLC099,7,2023
SLC100,7,2023
SLC101,7,2023
SLC102,7,2023
SLC103,7,2023
SLC104,7,2023
SLC105,7,2023
SLC106,6,2023
SLC107,6,2023
SLC108,6,2023
SLC109,7,2023
SLC110,7,2023
SLC111,7,2023
SLC112,7,2023
SLC113,7,2023
SLC114,7,2023
SLC115,6,2023
SLC116,7,2023
SLC117,7,2023
SLC118,7,2023
SLC119,7,2023
SLC120,7,2023
SLC121,7,2023
SLC122,7,2023
SLC123,7,2023
SLC124,7,2023
SLC125,7,2023
SLC126,7,2023
SLC127,7,2023
SLC128,3,2025
SLC129,7,2023
SLC130,7,2023
SLC131,7,2023
SLC132,3,2025
SLC133,5,2025
SLC134,3,2025
SLC136,2,2023
SLC137,4,2023
SLC138,4,2023
SLC139,5,2025
SLC140,5,2025
SLC141,5,2025
SLC142,6,2023
SLC901,3,2025
SLC902,2,2023
SLC903,6,2023
