precinct,district
SLC001,2
SLC002,1
SLC003,1
SLC004,1
SLC005,1
SLC006,1
SLC007,1
SLC008,3
SLC009,1
SLC010,3
SLC011,1
SLC012,1
SLC013,1
SLC014,1
SLC015,1
SLC017,1
SLC018,2
SLC019,3
SLC020,3
SLC021,3
SLC023,3
SLC025,3
SLC026,3
SLC027,3
SLC028,3
SLC029,3
SLC030,3
SLC031,3
SLC032,3
SLC033,3
SLC034,3
SLC035,3
SLC039,3
SLC040,3
SLC041,3
SLC042,3
SLC043,3
SLC045,6
SLC048,2
SLC049,2
SLC050,2
SLC051,2
SLC052,4
SLC054,4
SLC055,5
SLC057,4
SLC058,4
SLC059,4
SLC060,4
SLC062,5
SLC064,4
SLC065,4
SLC068,4
SLC069,4
SLC070,4
SLC071,4
SLC072,4
SLC073,5
SLC074,4
SLC076,4
SLC078,5
SLC080,6
SLC083,2
SLC085,2
SLC086,2
SLC090,5
SLC091,5
SLC092,5
SLC093,5
SLC094,5
SLC097,5
SLC098,5
SLC099,5
SLC100,5
SLC101,5
SLC102,7
SLC103,5
SLC105,5
SLC106,6
SLC107,5
SLC108,5
SLC109,5
SLC110,5
SLC112,7
SLC114,7
SLC115,7
SLC116,6
SLC117,6
SLC118,6
SLC119,5
SLC121,6
SLC123,7
SLC125,7
SLC128,6
SLC129,6
SLC130,6
SLC131,6
SLC132,6
SLC134,6
SLC136,6
SLC137,6
SLC138,6
SLC140,6
SLC141,6
SLC142,6
SLC143,6
SLC144,6
