date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes,text_sidecar
2023-06-14,West Jordan 2023 General Plan (current adopted),general_plan,https://www.westjordan.utah.gov/wp-content/uploads/2023/08/West-Jordan-2023-General-Plan.pdf,2026-07-03,text,pdftotext -layout (designed layout inserts letter-spacing artifacts; raw PDF is authoritative),raw/city-2023-general-plan.pdf,,,125 pp. Current adopted General Plan; adopted by Ordinance 23-10 (PC recommended 6-0 on 2023-02-07; council hearings 2023-03-08 and 2023-06-14). Includes land-use element / future-land-use context for MIH.,text/city-2023-general-plan.txt
2023-06-14,Ordinance 23-10 adopting the 2023 General Plan and amended Future Land Use Map,general_plan,https://www.westjordan.utah.gov/wp-content/uploads/2023/07/Ordinance-No.-23-10-2023-General-Plan-and-FLUM-signed.pdf,2026-07-03,text,pdftotext -layout,raw/city-ordinance-23-10-general-plan-flum-adoption.pdf,,,"7 pp. Adoption ordinance for the 2023 General Plan + FLUM (e-signed by Mayor Dirk Burton). Signature ""day of ___ 2023"" left blank on the executed copy.",text/city-ordinance-23-10-general-plan-flum-adoption.txt
2023-09-25,West Jordan Future Land Use Map (2023),general_plan,https://www.westjordan.utah.gov/wp-content/uploads/2023/11/WJ-Future-Land-Use-Map-60-x-36-9.25.2023.pdf,2026-07-03,scanned,none (60x36 poster map; single-page image with no text layer — vision/print to read),raw/city-2023-future-land-use-map.pdf,,,32 MB large-format FLUM adopted with the 2023 General Plan (map dated 2023-09-25). Image only (1 char extractable).,
2020-09-30,Moderate Income Housing Plan (MIH element) — Ordinance 20-32 amending the General Plan,mih_element,https://assets.westjordan.utah.gov/ugd/a31809_47e1cf22a78346f5bbad801aff1feba8.pdf,2026-07-03,text,pdftotext -layout,raw/city-moderate-income-housing-plan.pdf,,,"12 pp. Ord 20-32 passed and adopted 2020-09-30; adopts the moderate-income housing plan as part of the General Plan (post-HB 462 lineage). Linked as ""Moderate Income Housing Plan"" on the city Affordable Housing page.",text/city-moderate-income-housing-plan.txt
2026-04-01,Moderate Income Housing Plan (MIH element) — current published text,mih_element,https://www.westjordan.utah.gov/wp-content/uploads/2026/04/Moderate-Income-Housing.pdf,2026-07-03,text,pdftotext -layout,raw/city-moderate-income-housing-plan-2026.pdf,,,"13 pp. Currently-published MIH element of the General Plan (uploaded 2026-04); narrative content mirrors the 2020 Ord 20-32 element (same population/AMI figures). Date is upload date, not a re-adoption date.",text/city-moderate-income-housing-plan-2026.txt
2020-11-18,Moderate Income Housing Annual Report for 2020 (city reporting form),mih_annual_report,https://assets.westjordan.utah.gov/ugd/a31809_3703a0714d994829b8e86d149dbbf806.pdf,2026-07-03,text,pdftotext -layout,raw/city-moderate-income-housing-report.pdf,,,16 pp. Utah Moderate-Income Housing Reporting Form; reporting date 2020-11-18; states last 5-year MIH element adopted 2020-10-02. Only city-published annual report found (2021+ filed via state compilations).,text/city-moderate-income-housing-report.txt
2020-11-18,Resolution 20-73 accepting the 2020 Moderate Income Housing Annual Report,mih_annual_report,https://assets.westjordan.utah.gov/ugd/a31809_d9458b4b10a74b728f6a28b8b5cba0ab.pdf,2026-07-03,text,pdftotext -layout,raw/city-housing-report-resolution.pdf,,,1 p. Council resolution (passed 2020-11-18) approving the 2020 MIH Annual Report + exhibits for submittal to the state.,text/city-housing-report-resolution.txt
2023,Moderate Income Housing annual implementation report — West Jordan (statewide compilation),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-03,text,pdftotext -layout (WJ = pp.1044-1059 sliced from 1109-pp statewide compilation),raw/state-23reports.pdf,,,Utah DWS/HCD statewide compilation of municipal MIH annual reports; West Jordan section bracketed by West Haven (prior) and West Point (p.1060). No neighbor bleed. WJ present and confirmed.,text/westjordan-2023.txt
2024,Moderate Income Housing annual implementation report — West Jordan (statewide compilation),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-03,text,pdftotext -layout (WJ = pp.968-989 sliced from 1030-pp statewide compilation),raw/state-24reports.pdf,,,Statewide compilation; West Jordan section bracketed by West Haven (prior) and West Point (p.990). No neighbor bleed. WJ present and confirmed.,text/westjordan-2024.txt
2025,Moderate Income Housing annual implementation report — West Jordan (statewide compilation),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-03,text,pdftotext -layout (WJ = pp.1224-1248 sliced from 1303-pp statewide compilation),raw/state-25reports.pdf,,,Statewide compilation; West Jordan section bracketed by West Bountiful/West Haven (prior) and West Point (p.1249). No neighbor bleed. References Ordinances 25-24 and 25-25 (June 2025). WJ present and confirmed.,text/westjordan-2025.txt
2021,SB 34 Moderate Income Housing progress summary — West Jordan (statewide compilation),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-03,text,pdftotext -layout (WJ = pp.189-191 sliced from 199-pp statewide compilation),raw/state-sb34.pdf,,,State SB 34 (2019) progress/prioritization summary tracking required MIH strategies; WJ tracker shows 2020 (required & submitted) / 2021 rows. Bracketed by Smithfield (prior) and West Point (p.192). No neighbor bleed. Date = latest year tracked.,text/westjordan-sb34.txt
