year,week_start,meeting_date,meeting_type,variant,pages,chars,entry_id,source_url,file
2020,2020-01-06,2020-01-07,Formal Meeting,,4,7830,3926943,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926943&dbid=0&repo=SLC,minutes/2020/2020-01-06/2020-01-07_formal-meeting.txt
2020,2020-01-06,2020-01-07,Work Session,,11,23412,3926941,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926941&dbid=0&repo=SLC,minutes/2020/2020-01-06/2020-01-07_work-session.txt
2020,2020-01-13,2020-01-14,Work Session,,7,14800,3926967,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926967&dbid=0&repo=SLC,minutes/2020/2020-01-13/2020-01-14_work-session.txt
2020,2020-01-13,2020-01-17,Formal Meeting,,2,2220,3926965,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926965&dbid=0&repo=SLC,minutes/2020/2020-01-13/2020-01-17_formal-meeting.txt
2020,2020-01-13,2020-01-17,Work Session,,4,7267,3926963,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926963&dbid=0&repo=SLC,minutes/2020/2020-01-13/2020-01-17_work-session.txt
2020,2020-01-20,2020-01-21,Formal Meeting,,4,8402,3926961,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926961&dbid=0&repo=SLC,minutes/2020/2020-01-20/2020-01-21_formal-meeting.txt
2020,2020-01-20,2020-01-21,Work Session,,10,21502,3926959,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926959&dbid=0&repo=SLC,minutes/2020/2020-01-20/2020-01-21_work-session.txt
2020,2020-02-03,2020-02-04,Formal Meeting,,3,6288,3926971,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926971&dbid=0&repo=SLC,minutes/2020/2020-02-03/2020-02-04_formal-meeting.txt
2020,2020-02-03,2020-02-04,Work Session,,7,13732,3926969,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926969&dbid=0&repo=SLC,minutes/2020/2020-02-03/2020-02-04_work-session.txt
2020,2020-02-10,2020-02-11,Work Session,,4,7304,3926984,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926984&dbid=0&repo=SLC,minutes/2020/2020-02-10/2020-02-11_work-session.txt
2020,2020-02-17,2020-02-18,Formal Meeting,,7,17445,3926982,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926982&dbid=0&repo=SLC,minutes/2020/2020-02-17/2020-02-18_formal-meeting.txt
2020,2020-02-17,2020-02-18,Work Session,,7,12031,3926980,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926980&dbid=0&repo=SLC,minutes/2020/2020-02-17/2020-02-18_work-session.txt
2020,2020-03-02,2020-03-03,Formal Meeting,,8,17640,3926937,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926937&dbid=0&repo=SLC,minutes/2020/2020-03-02/2020-03-03_formal-meeting.txt
2020,2020-03-02,2020-03-03,Work Session,,16,36772,4074181,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=4074181&dbid=0&repo=SLC,minutes/2020/2020-03-02/2020-03-03_work-session.txt
2020,2020-03-16,2020-03-17,Formal Meeting,,2,4392,3926939,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=3926939&dbid=0&repo=SLC,minutes/2020/2020-03-16/2020-03-17_formal-meeting.txt
2020,2020-03-16,2020-03-17,Work Session,,7,12034,4004842,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=4004842&dbid=0&repo=SLC,minutes/2020/2020-03-16/2020-03-17_work-session.txt
2020,2020-03-23,2020-03-24,Formal Meeting,,9,18586,4004846,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=4004846&dbid=0&repo=SLC,minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt
2020,2020-03-23,2020-03-24,Work Session,,7,14001,4004844,https://webdme.slcgov.com/AgendasMinutes/DocView.aspx?id=4004844&dbid=0&repo=SLC,minutes/2020/2020-03-23/2020-03-24_work-session.txt
