member,first_seen,last_seen,n_votes
Chris Wharton,2021-01-05,2026-06-09,1842
Daniel Dugan,2021-01-05,2026-06-09,1842
Darin Mano,2021-01-05,2026-03-24,1706
Alejandro Puy,2022-01-04,2026-06-09,1520
Victoria Petro,2022-05-03,2026-06-09,1359
Ana Valdemoros,2021-01-05,2023-12-12,999
Sarah Young,2023-07-18,2026-06-09,995
Amy Fowler,2021-01-05,2023-06-13,836
Eva Lopez Chavez,2024-01-09,2026-05-05,829
James Rogers,2021-01-05,2021-09-21,247
Dennis Faris,2021-05-18,2021-12-14,229
Victoria Petro-Eschler,2021-11-16,2022-11-10,205
Erika Carlsen,2026-01-13,2026-06-09,135
Andrew Johnston,2021-01-05,2021-04-20,90
Jennifer Napier-Pearce,2026-06-09,2026-06-09,6
