primary_app_key,related_app_key,action,note
Council|s|meeting_minutes/minutes/2020/2020-07-06/2020-07-09_city-council-regular-meeting.md|7,PlanningCommission|item 1g to the city council,suppress,Desert Canyons Town Center West (commercial) vs PC Desert Reserve Ph3 — co-located intersection only
Council|s|meeting_minutes/minutes/2021/2021-02-01/2021-02-04_city-council-regular-meeting.md|10,PlanningCommission|s|planning_commission/minutes/2022/2022-09-12/2022-09-13_planning-commission-meeting.md|8,suppress,generic unnamed Hillside Permit on both sides — no shared project
Council|s|meeting_minutes/minutes/2021/2021-02-01/2021-02-04_city-council-regular-meeting.md|10,PlanningCommission|item 1d a hillside permit for 1100 w curley hollow dr,suppress,generic unnamed Hillside Permit on both sides — no shared project
Council|s|meeting_minutes/minutes/2022/2022-08-29/2022-09-01_city-council-regular-meeting.md|7,PlanningCommission|s|planning_commission/minutes/2025/2025-09-08/2025-09-09_planning-commission-meeting.md|1,suppress,Atkinville Interchange commercial PD vs PC Mojave Crossing plat — different matter
Council|s|meeting_minutes/minutes/2022/2022-12-12/2022-12-15_city-council-regular-meeting.md|13,PlanningCommission|s|planning_commission/minutes/2020/2020-01-27/2020-01-28_planning-commission-meeting.md|5,suppress,STR landmark CUP boilerplate — Samuel Miles Home vs 163 South Main
Council|s|meeting_minutes/minutes/2022/2022-12-12/2022-12-15_city-council-regular-meeting.md|13,PlanningCommission|s|planning_commission/minutes/2020/2020-04-13/2020-04-14_planning-commission-meeting.md|9,suppress,STR landmark CUP boilerplate — Samuel Miles Home vs Whitehead home
Council|s|meeting_minutes/minutes/2023/2023-05-01/2023-05-04_city-council-regular-meeting.md|19,PlanningCommission|s|planning_commission/minutes/2020/2020-02-17/2020-02-23_planning-commission-meeting.md|5,suppress,Desert Cliffs hillside vs PC Desert Playa hillside — different subdivisions
Council|s|meeting_minutes/minutes/2023/2023-06-12/2023-06-15_city-council-regular-meeting.md|12,PlanningCommission|s|planning_commission/minutes/2020/2020-02-17/2020-02-23_planning-commission-meeting.md|5,suppress,Desert Reserve Ph1 hillside vs PC Desert Playa hillside — different subdivisions
Council|s|meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md|6,PlanningCommission|s|planning_commission/minutes/2020/2020-01-27/2020-01-28_planning-commission-meeting.md|5,suppress,STR landmark CUP boilerplate — 241 N 100 W vs 163 South Main
Council|s|meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md|6,PlanningCommission|s|planning_commission/minutes/2020/2020-04-13/2020-04-14_planning-commission-meeting.md|9,suppress,STR landmark CUP boilerplate — 241 N 100 W vs Whitehead home
