round,candidate,votes,status
1,BRIAN V. HULET,592,
1,RYAN ROWLEY,553,
1,LACEE MAE SMITH,234,
1,ANNE MOSS,228,
1,TYLER WILLIAM MOORE,165,
1,EASTON BRADY,149,
1,KIRK BEECHER,142,
1,TEANCUM J. CLARK,95,
1,CARL BRINES,85,eliminated
1,Inactive Ballots,0,
2,BRIAN V. HULET,606,
2,RYAN ROWLEY,568,
2,LACEE MAE SMITH,245,
2,ANNE MOSS,240,
2,TYLER WILLIAM MOORE,169,
2,EASTON BRADY,155,
2,KIRK BEECHER,154,
2,TEANCUM J. CLARK,105,eliminated
2,Inactive Ballots,1,
3,BRIAN V. HULET,630,
3,RYAN ROWLEY,585,
3,LACEE MAE SMITH,262,
3,ANNE MOSS,253,
3,TYLER WILLIAM MOORE,182,
3,EASTON BRADY,169,
3,KIRK BEECHER,156,eliminated
3,Inactive Ballots,6,
4,BRIAN V. HULET,672,
4,RYAN ROWLEY,636,
4,ANNE MOSS,273,
4,LACEE MAE SMITH,273,
4,TYLER WILLIAM MOORE,196,
4,EASTON BRADY,182,eliminated
4,Inactive Ballots,11,
5,BRIAN V. HULET,704,
5,RYAN ROWLEY,682,
5,LACEE MAE SMITH,320,
5,ANNE MOSS,307,
5,TYLER WILLIAM MOORE,208,eliminated
5,Inactive Ballots,22,
6,BRIAN V. HULET,771,
6,RYAN ROWLEY,718,
6,LACEE MAE SMITH,363,
6,ANNE MOSS,351,eliminated
6,Inactive Ballots,40,
7,BRIAN V. HULET,859,
7,RYAN ROWLEY,846,
7,LACEE MAE SMITH,481,eliminated
7,Inactive Ballots,57,
8,RYAN ROWLEY,1077,elected
8,BRIAN V. HULET,1012,
8,Inactive Ballots,154,
