round,candidate,votes,status
1,ANNE MOSS,446,
1,LACEE MAE SMITH,367,
1,EASTON BRADY,349,
1,KIRK BEECHER,346,
1,TYLER WILLIAM MOORE,311,
1,TEANCUM J. CLARK,176,
1,CARL BRINES,137,eliminated
1,Inactive Ballots,0,
2,ANNE MOSS,478,
2,LACEE MAE SMITH,388,
2,KIRK BEECHER,370,
2,EASTON BRADY,360,
2,TYLER WILLIAM MOORE,331,
2,TEANCUM J. CLARK,196,eliminated
2,Inactive Ballots,9,
3,ANNE MOSS,524,
3,LACEE MAE SMITH,430,
3,EASTON BRADY,402,
3,KIRK BEECHER,388,
3,TYLER WILLIAM MOORE,362,eliminated
3,Inactive Ballots,26,
4,ANNE MOSS,610,
4,LACEE MAE SMITH,506,
4,EASTON BRADY,472,
4,KIRK BEECHER,463,eliminated
4,Inactive Ballots,81,
5,ANNE MOSS,762,
5,LACEE MAE SMITH,606,
5,EASTON BRADY,595,eliminated
5,Inactive Ballots,169,
6,ANNE MOSS,990,elected
6,LACEE MAE SMITH,833,
6,Inactive Ballots,309,
