round,candidate,votes,status
1,CRAIG JENSEN,1729,
1,CRAIG CONOVER,1235,
1,XIMENA M. BISHOP,1135,
1,DALE WATSON,677,
1,MARCIA CONOVER-HARRIS,626,
1,AMANDA MILLER,544,eliminated
1,Inactive Ballots,0,
2,CRAIG JENSEN,1810,
2,CRAIG CONOVER,1292,
2,XIMENA M. BISHOP,1232,
2,DALE WATSON,778,
2,MARCIA CONOVER-HARRIS,777,eliminated
2,Inactive Ballots,57,
3,CRAIG JENSEN,1913,
3,CRAIG CONOVER,1646,
3,XIMENA M. BISHOP,1454,
3,DALE WATSON,848,eliminated
3,Inactive Ballots,85,
4,CRAIG JENSEN,2253,
4,CRAIG CONOVER,1857,
4,XIMENA M. BISHOP,1687,eliminated
4,Inactive Ballots,149,
5,CRAIG JENSEN,3164,elected
5,CRAIG CONOVER,2492,
5,Inactive Ballots,290,
