round,candidate,votes,status
1,MICHELLE STALLINGS,1830,
1,HEATHER NEWALL,1559,
1,NICOLE KUNZE,1265,
1,KENNETH ROBERTS,918,
1,K. CASEY GLADE,583,eliminated
1,Inactive Ballots,0,
2,MICHELLE STALLINGS,2135,
2,HEATHER NEWALL,1645,
2,NICOLE KUNZE,1339,
2,KENNETH ROBERTS,1018,eliminated
2,Inactive Ballots,18,
3,MICHELLE STALLINGS,2400,
3,HEATHER NEWALL,1943,
3,NICOLE KUNZE,1657,eliminated
3,Inactive Ballots,155,
4,MICHELLE STALLINGS,2917,elected
4,HEATHER NEWALL,2807,
4,Inactive Ballots,431,
