round,candidate,votes,status
1,JACOB HOLDAWAY,406,
1,SARA CAMERON,331,
1,CRISTY WELSH,216,
1,CADEN RHOTON,149,
1,NATALIE HARBIN,144,
1,ALEXANDER TEEMSMA,51,
1,JOSHUA HENDRIX,6,eliminated
1,Inactive Ballots,0,
2,JACOB HOLDAWAY,406,
2,SARA CAMERON,333,
2,CRISTY WELSH,217,
2,CADEN RHOTON,149,
2,NATALIE HARBIN,144,
2,ALEXANDER TEEMSMA,54,eliminated
2,Inactive Ballots,0,
3,JACOB HOLDAWAY,412,
3,SARA CAMERON,338,
3,CRISTY WELSH,226,
3,CADEN RHOTON,166,
3,NATALIE HARBIN,161,eliminated
3,Inactive Ballots,0,
4,JACOB HOLDAWAY,437,
4,SARA CAMERON,353,
4,CRISTY WELSH,269,
4,CADEN RHOTON,233,eliminated
4,Inactive Ballots,11,
5,JACOB HOLDAWAY,467,
5,CRISTY WELSH,397,
5,SARA CAMERON,383,eliminated
5,Inactive Ballots,56,
6,JACOB HOLDAWAY,817,elected
6,CRISTY WELSH,425,
6,Inactive Ballots,61,
