round,candidate,votes,status
1,MICHELLE STALLINGS,1578,
1,PAIGE ALBRECHT,1413,
1,HEATHER NEWALL,1106,
1,NICOLE KUNZE,901,
1,KENNETH ROBERTS,787,
1,K. CASEY GLADE,550,eliminated
1,Inactive Ballots,0,
2,MICHELLE STALLINGS,1862,
2,PAIGE ALBRECHT,1449,
2,HEATHER NEWALL,1180,
2,NICOLE KUNZE,962,
2,KENNETH ROBERTS,868,eliminated
2,Inactive Ballots,14,
3,MICHELLE STALLINGS,2051,
3,PAIGE ALBRECHT,1663,
3,HEATHER NEWALL,1364,
3,NICOLE KUNZE,1152,eliminated
3,Inactive Ballots,105,
4,MICHELLE STALLINGS,2280,
4,PAIGE ALBRECHT,2045,
4,HEATHER NEWALL,1781,eliminated
4,Inactive Ballots,229,
5,PAIGE ALBRECHT,3010,elected
5,MICHELLE STALLINGS,2898,
5,Inactive Ballots,427,
