round,candidate,votes,status
1,JACOB HOLDAWAY,408,
1,SARA CAMERON,336,
1,CRISTY WELSH,218,
1,NATALIE HARBIN,151,
1,CADEN RHOTON,149,
1,ALEXANDER TEEMSMA,51,
1,JOSHUA HENDRIX,6,eliminated
1,Inactive Ballots,0,
2,JACOB HOLDAWAY,408,
2,SARA CAMERON,338,
2,CRISTY WELSH,219,
2,NATALIE HARBIN,151,
2,CADEN RHOTON,149,
2,ALEXANDER TEEMSMA,54,eliminated
2,Inactive Ballots,0,
3,JACOB HOLDAWAY,414,
3,SARA CAMERON,343,
3,CRISTY WELSH,228,
3,NATALIE HARBIN,168,
3,CADEN RHOTON,166,eliminated
3,Inactive Ballots,0,
4,JACOB HOLDAWAY,436,
4,SARA CAMERON,363,
4,CRISTY WELSH,296,
4,NATALIE HARBIN,202,eliminated
4,Inactive Ballots,22,
5,JACOB HOLDAWAY,470,
5,CRISTY WELSH,399,
5,SARA CAMERON,390,eliminated
5,Inactive Ballots,60,
6,JACOB HOLDAWAY,825,elected
6,CRISTY WELSH,428,
6,Inactive Ballots,66,
