round,candidate,votes,status
1,CHRIS CONDIE,2300,
1,PAUL HANCOCK,1811,
1,MICHELLE MILES,1376,
1,NICOLE KUNZE,1291,
1,AARON BULLEN,1134,
1,LORI MCINTOSH LE,1108,
1,CAMI PURTSCHERT,1003,
1,MONTANE C HAMILTON,524,
1,ETHAN M. ERICKSON,355,eliminated
1,Inactive Ballots,0,
2,CHRIS CONDIE,2343,
2,PAUL HANCOCK,1830,
2,MICHELLE MILES,1431,
2,NICOLE KUNZE,1326,
2,AARON BULLEN,1212,
2,LORI MCINTOSH LE,1124,
2,CAMI PURTSCHERT,1075,
2,MONTANE C HAMILTON,541,eliminated
2,Inactive Ballots,20,
3,CHRIS CONDIE,2409,
3,PAUL HANCOCK,1926,
3,MICHELLE MILES,1499,
3,NICOLE KUNZE,1394,
3,AARON BULLEN,1255,
3,LORI MCINTOSH LE,1236,
3,CAMI PURTSCHERT,1158,eliminated
3,Inactive Ballots,25,
4,CHRIS CONDIE,2577,
4,PAUL HANCOCK,2035,
4,NICOLE KUNZE,1675,
4,MICHELLE MILES,1659,
4,AARON BULLEN,1458,
4,LORI MCINTOSH LE,1430,eliminated
4,Inactive Ballots,68,
5,CHRIS CONDIE,2833,
5,PAUL HANCOCK,2384,
5,NICOLE KUNZE,2057,
5,MICHELLE MILES,1932,
5,AARON BULLEN,1581,eliminated
5,Inactive Ballots,115,
6,CHRIS CONDIE,3078,
6,MICHELLE MILES,2725,
6,PAUL HANCOCK,2545,
6,NICOLE KUNZE,2302,eliminated
6,Inactive Ballots,252,
7,CHRIS CONDIE,3888,
7,MICHELLE MILES,3455,
7,PAUL HANCOCK,3204,eliminated
7,Inactive Ballots,355,
8,CHRIS CONDIE,6167,elected
8,MICHELLE MILES,4195,
8,Inactive Ballots,540,
