round,candidate,votes,status
1,BRIAN V. HULET,715,
1,ANNE MOSS,330,
1,LACEE MAE SMITH,296,
1,EASTON BRADY,227,
1,TYLER WILLIAM MOORE,211,
1,KIRK BEECHER,193,
1,TEANCUM J. CLARK,127,
1,CARL BRINES,103,eliminated
1,Inactive Ballots,0,
2,BRIAN V. HULET,735,
2,ANNE MOSS,351,
2,LACEE MAE SMITH,311,
2,EASTON BRADY,234,
2,TYLER WILLIAM MOORE,222,
2,KIRK BEECHER,209,
2,TEANCUM J. CLARK,139,eliminated
2,Inactive Ballots,1,
3,BRIAN V. HULET,765,
3,ANNE MOSS,378,
3,LACEE MAE SMITH,336,
3,EASTON BRADY,258,
3,TYLER WILLIAM MOORE,239,
3,KIRK BEECHER,216,eliminated
3,Inactive Ballots,10,
4,BRIAN V. HULET,843,
4,ANNE MOSS,425,
4,LACEE MAE SMITH,359,
4,EASTON BRADY,287,
4,TYLER WILLIAM MOORE,269,eliminated
4,Inactive Ballots,19,
5,BRIAN V. HULET,921,
5,ANNE MOSS,487,
5,LACEE MAE SMITH,409,
5,EASTON BRADY,344,eliminated
5,Inactive Ballots,41,
6,BRIAN V. HULET,992,
6,ANNE MOSS,599,
6,LACEE MAE SMITH,524,eliminated
6,Inactive Ballots,87,
7,BRIAN V. HULET,1154,elected
7,ANNE MOSS,888,
7,Inactive Ballots,160,
