round,candidate,votes,status
1,MICHELLE STALLINGS,1529,
1,PAIGE ALBRECHT,1400,
1,HEATHER NEWALL,1100,
1,NICOLE KUNZE,893,
1,KENNETH ROBERTS,776,
1,K. CASEY GLADE,540,eliminated
1,Inactive Ballots,0,
2,MICHELLE STALLINGS,1810,
2,PAIGE ALBRECHT,1435,
2,HEATHER NEWALL,1172,
2,NICOLE KUNZE,953,
2,KENNETH ROBERTS,855,eliminated
2,Inactive Ballots,13,
3,MICHELLE STALLINGS,1996,
3,PAIGE ALBRECHT,1644,
3,HEATHER NEWALL,1353,
3,NICOLE KUNZE,1141,eliminated
3,Inactive Ballots,104,
4,MICHELLE STALLINGS,2224,
4,PAIGE ALBRECHT,2018,
4,HEATHER NEWALL,1768,eliminated
4,Inactive Ballots,228,
5,PAIGE ALBRECHT,2973,elected
5,MICHELLE STALLINGS,2839,
5,Inactive Ballots,426,
