round,candidate,votes,status
1,PAIGE ALBRECHT,1182,
1,MICHELLE STALLINGS,1039,
1,HEATHER NEWALL,944,
1,NICOLE KUNZE,564,
1,KENNETH ROBERTS,404,
1,K. CASEY GLADE,338,
1,JASON HILL,271,
1,IELI CHARLIE TAUTUAA,210,
1,HALEY SOUSA,196,
1,JEREMY K BAKER,178,
1,R. CURTIS PAYNE,142,
1,JASON HARRIS,85,
1,TYLER R. LINDSAY,55,
1,BRENT SUMMERS,32,eliminated
1,Inactive Ballots,0,
2,PAIGE ALBRECHT,1184,
2,MICHELLE STALLINGS,1045,
2,HEATHER NEWALL,949,
2,NICOLE KUNZE,566,
2,KENNETH ROBERTS,406,
2,K. CASEY GLADE,339,
2,JASON HILL,274,
2,IELI CHARLIE TAUTUAA,211,
2,HALEY SOUSA,197,
2,JEREMY K BAKER,183,
2,R. CURTIS PAYNE,145,
2,JASON HARRIS,85,
2,TYLER R. LINDSAY,55,eliminated
2,Inactive Ballots,1,
3,PAIGE ALBRECHT,1190,
3,MICHELLE STALLINGS,1047,
3,HEATHER NEWALL,950,
3,NICOLE KUNZE,571,
3,KENNETH ROBERTS,411,
3,K. CASEY GLADE,359,
3,JASON HILL,278,
3,IELI CHARLIE TAUTUAA,215,
3,HALEY SOUSA,198,
3,JEREMY K BAKER,186,
3,R. CURTIS PAYNE,145,
3,JASON HARRIS,86,eliminated
3,Inactive Ballots,4,
4,PAIGE ALBRECHT,1201,
4,MICHELLE STALLINGS,1048,
4,HEATHER NEWALL,964,
4,NICOLE KUNZE,581,
4,KENNETH ROBERTS,420,
4,K. CASEY GLADE,361,
4,JASON HILL,283,
4,IELI CHARLIE TAUTUAA,218,
4,HALEY SOUSA,205,
4,JEREMY K BAKER,196,
4,R. CURTIS PAYNE,148,eliminated
4,Inactive Ballots,15,
5,PAIGE ALBRECHT,1222,
5,MICHELLE STALLINGS,1064,
5,HEATHER NEWALL,1003,
5,NICOLE KUNZE,602,
5,KENNETH ROBERTS,425,
5,K. CASEY GLADE,371,
5,JASON HILL,294,
5,IELI CHARLIE TAUTUAA,225,
5,HALEY SOUSA,210,
5,JEREMY K BAKER,198,eliminated
5,Inactive Ballots,26,
6,PAIGE ALBRECHT,1243,
6,MICHELLE STALLINGS,1096,
6,HEATHER NEWALL,1037,
6,NICOLE KUNZE,613,
6,KENNETH ROBERTS,432,
6,K. CASEY GLADE,384,
6,JASON HILL,321,
6,IELI CHARLIE TAUTUAA,250,
6,HALEY SOUSA,221,eliminated
6,Inactive Ballots,43,
7,PAIGE ALBRECHT,1279,
7,MICHELLE STALLINGS,1132,
7,HEATHER NEWALL,1079,
7,NICOLE KUNZE,639,
7,KENNETH ROBERTS,442,
7,K. CASEY GLADE,393,
7,JASON HILL,329,
7,IELI CHARLIE TAUTUAA,290,eliminated
7,Inactive Ballots,57,
8,PAIGE ALBRECHT,1311,
8,MICHELLE STALLINGS,1180,
8,HEATHER NEWALL,1137,
8,NICOLE KUNZE,686,
8,KENNETH ROBERTS,463,
8,K. CASEY GLADE,423,
8,JASON HILL,360,eliminated
8,Inactive Ballots,80,
9,PAIGE ALBRECHT,1351,
9,MICHELLE STALLINGS,1276,
9,HEATHER NEWALL,1181,
9,NICOLE KUNZE,734,
9,KENNETH ROBERTS,496,
9,K. CASEY GLADE,473,
9,Inactive Ballots,129,
