candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Neil Vance Cook,Commissioner,Juab,2020,2020-06-23,,,OFFICE MAX,OFFICE MAX,PRINTER,19.52,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|3-6|Neil Vance Cook,1,high,carr_5_5_pg/vision,0
Neil Vance Cook,Commissioner,Juab,2020,2020-06-23,,,CHOICE HARDWARE,CHOICE HARDWARE,SIGNS,45.00,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|3-6|Neil Vance Cook,2,high,carr_5_5_pg/vision,0
Neil Vance Cook,Commissioner,Juab,2020,2020-06-23,,,FILLING FOR OFFICE - JUAB COUNTY,FILLING FOR OFFICE - JUAB COUNTY,FILING,220.00,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|3-6|Neil Vance Cook,3,high,carr_5_5_pg/vision,0
Neil Vance Cook,Commissioner,Juab,2020,2020-06-23,,6-3,PAPER ADS - TIMES NEWS,PAPER ADS - TIMES NEWS,ADS (4 wks),330.00,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|3-6|Neil Vance Cook,4,high,carr_5_5_pg/vision,0
Neil Vance Cook,Commissioner,Juab,2020,2020-06-23,,6-3,TIMES NEWS,TIMES NEWS,DIRECT MAIL,1466.51,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|3-6|Neil Vance Cook,5,high,carr_5_5_pg/vision,0
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-03-16,Juab County,Juab County,File Fee,330.00,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,1,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-04-25,Signs on the Cheap,Signs on the Cheap,Campaine Signs,799.75,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,2,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-05-08,Livingston Print Shop,Livingston Print Shop,Professional Picture,25.00,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,3,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-05-27,Times News,Times News,Flyers & Ads,1318.62,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,4,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-06-19,Times News,Times News,5th Ad,115.50,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,5,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-05-09,Fast Gas #3,Fast Gas #3,Sign distribution,21.00,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,6,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-05-28,Carpenters - Eureka,Carpenters - Eureka,Sign distribution,30.01,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,7,medium,carr_5_5_pg/vision,1
Debra Prisbrey Zirbes,Recorder/Surveyor,,2020,2020-06-24,,2020-05-15,Best-Choice Hardware,Best-Choice Hardware,Zip ties,6.38,False,False,raw/juab_2020_Primary/20200810_170204.pdf,raw/juab_2020_Primary/20200810_170204.pdf|7-10|Debra Prisbrey Zirbes,8,medium,carr_5_5_pg/vision,1
Marvin Garr Kenison,Commissioner,,2020,2020-08-11,,2020-03-27,Custom Signworks,Custom Signworks,Election Signs,521.98,False,False,raw/juab_2020_Primary/20200811_095009.pdf,raw/juab_2020_Primary/20200811_095009.pdf|1-4|Marvin Garr Kenison,1,medium,carr_5_5_pg/vision,1
Marvin Garr Kenison,Commissioner,,2020,2020-08-11,,2020-04-14,Choice Hardware,Choice Hardware,Tpost & Stakes,73.59,False,False,raw/juab_2020_Primary/20200811_095009.pdf,raw/juab_2020_Primary/20200811_095009.pdf|1-4|Marvin Garr Kenison,2,medium,carr_5_5_pg/vision,1
Marvin Garr Kenison,Commissioner,,2020,2020-08-11,,2020-05-18,Family Dollar,Family Dollar,Pens - Spiral Book,5.54,False,False,raw/juab_2020_Primary/20200811_095009.pdf,raw/juab_2020_Primary/20200811_095009.pdf|1-4|Marvin Garr Kenison,3,medium,carr_5_5_pg/vision,1
Marvin Garr Kenison,Commissioner,,2020,2020-08-11,,2020-05-28,The Times News,The Times News,Ad,330.00,False,False,raw/juab_2020_Primary/20200811_095009.pdf,raw/juab_2020_Primary/20200811_095009.pdf|1-4|Marvin Garr Kenison,4,medium,carr_5_5_pg/vision,1
