candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
"Michael ""Mike"" Price",Assessor,2010,2010-10-18,,statement,0,748.50,,748.50,0,748.50,True,True,0,0.00,,0,10,raw/juab_2010_primary/Mike_Price_10-28-10.pdf,"raw/juab_2010_primary/Mike_Price_10-28-10.pdf||Michael ""Mike"" Price",high,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs lines 1+2 both 0; Form A present and blank EXPENDITURES: itemized EXACT vs line 3 cumulative (the surviving, unstruck figure) | SECOND, INDEPENDENT CLOSURE: the cover's struck-through earlier expense figure 594.50 is exactly the sum of Form B rows 1-6 — the filer totalled six rows, then added four more and restated 748.50. Both figures are explained by the schedule. | Expense/balance lines show an earlier figure 594.50 struck through and replaced by 748.50; the surviving (unstruck) value is recorded. 'Totals from last report' column marked N/A.",election_cycle
Shirl Julian Nichols,Assessor,2010,2010-10-18,,statement,578.20,578.20,,0,578.20,578.20,True,True,0.00,0.00,453.20,3,2,raw/juab_2010_primary/Shirl_Nichols_10-28-10.pdf,raw/juab_2010_primary/Shirl_Nichols_10-28-10.pdf||Shirl Julian Nichols,high,ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs line 1 (>$50); line 2 stated 0 EXPENDITURES: itemized EXACT vs line 3 cumulative | Reconciles exactly.,election_cycle
Jared W. Eldridge,Attorney,2010,2010-10-25,,statement,0,0,,0,0,,True,,0,,,0,0,raw/juab_2010_primary/Jared_Eldridge_10-28-10.pdf,raw/juab_2010_primary/Jared_Eldridge_10-28-10.pdf||Jared W. Eldridge,high,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs lines 1+2 both 0; Form A present and blank EXPENDITURES: NO SCHEDULE PAGE in the document (2-page document (cover + Form A); no Form B page exists. Stated expenses are 0, so no dollars are unaccounted for.)",election_cycle
Kathleen Kenison,Clerk/Auditor,2010,2010-10-15,,statement,2130.41,2130.41,,0,2130.41,2130.41,True,True,0.00,0.00,,3,8,raw/juab_2010_primary/Kathy_Kenison_10-28-10.pdf,raw/juab_2010_primary/Kathy_Kenison_10-28-10.pdf||Kathleen Kenison,high,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs lines 1+2 (2080.41 + 50.00) — and line 1 alone equals rows 1+3 (315.68 + 1764.73 = 2080.41), so BOTH bases close EXPENDITURES: itemized EXACT vs line 3 cumulative | Form B leaves the third printed line blank between rows 2 and 4; the printed_row indices skip it. FIELD-SHIFT SCREEN: the amount column is written about half a line lower than the payee text throughout, but the counts match (8 payees, 8 amounts) and the vertical order is unambiguous, so pairing is by order. The filer's cover closes exactly: 2080.41 + 50.00 - 2130.41 = 0. | Reconciles exactly: 2080.41 + 50.00 - 2130.41 = 0.",election_cycle
Patricia M Ingram,Clerk/Auditor,2010,2010-10-20,,statement,145.00,1121.47,,-976.47,145.00,1121.47,True,True,0.00,0.00,,2,4,raw/juab_2010_primary/Pat_Ingram_10-28-10.pdf,raw/juab_2010_primary/Pat_Ingram_10-28-10.pdf||Patricia M Ingram,high,ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs line 1 (>$50); line 2 is blank EXPENDITURES: itemized EXACT vs line 3 cumulative | The incumbent County Clerk/Auditor filing to herself. Rows 1-2 of this filing's Form B are the two boxes used for the wave's geometry render-back verification. | The incumbent County Clerk/Auditor filing to herself (she is the addressee on nearly every other 2010/2014 filing). Balance written in angle brackets <976.47>.,election_cycle
Chad P. Winn,Commissioner,2010,2010-10-25,,statement,0,20.00,,20.00,0,20.00,True,True,0,0.00,,0,1,raw/juab_2010_primary/Chad_Winn_10-28-10.pdf,raw/juab_2010_primary/Chad_Winn_10-28-10.pdf||Chad P. Winn,high,ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs lines 1+2 both stated 0; Form A present and blank EXPENDITURES: itemized EXACT vs line 3 cumulative,election_cycle
LuWayne Walker,Commissioner,2010,2010-10-18,,statement,1545.00,,,,125.00,1420.00,False,,-1420.00,,,1,6,raw/juab_2010_primary/Lu_Walker_10-28-10.pdf,raw/juab_2010_primary/Lu_Walker_10-28-10.pdf||LuWayne Walker,medium,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs line 1 cumulative, RESOLVED this wave (see stated_total_correction) EXPENDITURES: reconciliation UNKNOWN (line 3 (total campaign expenses) is BLANK in all three columns, so the form states no expenditure figure to gate against. FINDING, not a correction: the six Form B rows sum to exactly 1420.00, which is the figure the filer wrote on LINE 2 (aggregate contributions of $50 or less) — the likeliest reading is that his Form B total was entered on the wrong line. Both figures stand as filed; nothing was moved.) | Lines 3 and 4 are blank in all three columns. Line 2 cumulative 1420.00 stands against LAST '-0-' and a blank THIS — a filer inconsistency retained verbatim. | CORRECTED 2026-08-14 (tranche 3 phase B itemization wave): the cumulative >$50 cell, left BLANK by the 2026-08-01 totals tranche as 'overwritten and unreadable (125.00 or 1125.00)', is decided by the document's own arithmetic, not by a glyph re-read (GOTCHAS: arithmetic closure outranks glyph reading — the Rhodes reversal). Line 1 reads LAST '-0-' + THIS 125.00 = CUMULATIVE, so the cumulative is 125.00; and Form A on page 2 itemizes exactly one contribution, $125.00 from the Juab County Democratic Party, which is line 1's own source schedule. Two independent proofs on the page; under 1125.00 neither identity closes. Lines 3 and 4 remain blank in all three columns. The 1420.00 the filer wrote on line 2 (aggregate contributions of $50 or less) is exactly the sum of his six Form B expenditure rows — the likeliest reading is a line-placement error; both figures stand as filed and nothing was moved.",election_cycle
Rick Lee Carlton,Commissioner,2010,2010-10-18,,statement,2279.15,2279.15,,0,2279.25,2279.25,False,False,0.10,0.10,2279.25,13,13,raw/juab_2010_primary/Rick_Carlton_10-28-10.pdf,raw/juab_2010_primary/Rick_Carlton_10-28-10.pdf||Rick Lee Carlton,high,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized 2279.25 vs stated 2279.15, delta +0.10 — FILER ARITHMETIC / bistable cents. This filing is double-entered: every one of the 13 items appears on BOTH Form A (as a self-reimbursement) and Form B (as the expense), and the filer's two copies disagree on two cells (row 1 cents 81 vs 89, row 10 dollars 158 vs 159). The best-evidence reading of each cell sums to 2279.25 against a printed 2279.15; NO legible combination of the two bistable cells closes on 2279.15. Both figures stand as filed; the 10 cents was not nudged away. EXPENDITURES: itemized 2279.25 vs stated 2279.15, delta +0.10 — same 13 double-entered items and the same two bistable cells | Escalation was used (600 dpi tight crops of both amount columns) and it resolved LEGIBILITY without resolving TRUTH — exactly the Rhodes lesson. The cross-copy comparison, not the resolution, is what localised the two disputed cells. | Reconciles exactly.",election_cycle
Cody T. Anderson,Recorder/Surveyor,2010,2010-10-26,,statement,396.88,826.19,,1223.27,396.88,826.19,True,True,0.00,0.00,,3,5,raw/juab_2010_primary/Cody_Anderson_10-28-10.pdf,raw/juab_2010_primary/Cody_Anderson_10-28-10.pdf||Cody T. Anderson,high,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs lines 1+2 (371.88 + 25.00) — this filer itemized his under-$50 gifts on Form A as well EXPENDITURES: itemized EXACT vs line 3 cumulative | A struck-through date fragment sits above Form A row 1 (no name, no amount) — a cancelled entry, not a row. The filer's stated ending balance 1223.27 does not follow from his own lines; retained verbatim by the totals tranche, untouched here. | The stated ending balance (1223.27) is not arithmetically consistent with 371.88+25.00-826.19; retained verbatim as the filer wrote it.",election_cycle
Craig J. Sperry,Recorder/Surveyor,2010,2010-10-25,,statement,245.00,2694.63,,-2459.63,225.00,2694.63,False,True,-20.00,0.00,,2,8,raw/juab_2010_primary/Craig_Sperry_10-28-10.pdf,raw/juab_2010_primary/Craig_Sperry_10-28-10.pdf||Craig J. Sperry,high,"ITEMIZED tranche 3 phase B — juab wave (2026-08-14). | CONTRIBUTIONS: itemized EXACT vs line 1 (>$50) only — the filer STRUCK a third Form A entry (10-15-10, $20.00, no name) and carried that $20.00 on line 2 as an under-$50 aggregate instead EXPENDITURES: itemized EXACT vs line 3 cumulative | The struck Form A row is recorded here and NOT emitted as a contribution row. Balance written in accounting parentheses (-2459.63), retained verbatim by the totals tranche. | Balance written in parentheses (-2459.63).",election_cycle
