date,year,body,title,motion_no,motion,motion_type,action_class,result,mover,seconder,names_recorded,member,vote,source
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Sara Urquhart,Abstain,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Amy Barry,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Andres Paredes,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Brenda Scheer,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Carolynn Hoskins,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Darin Mano,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Matt Lyon,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,1,"approve the minutes from December 11, 2019",Minutes,procedural,7:0 Pass,Maurine Bachman,Brenda Scheer,True,Maurine Bachman,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Amy Barry,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Andres Paredes,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Brenda Scheer,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Carolynn Hoskins,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Darin Mano,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Matt Lyon,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Maurine Bachman,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,3,"recommend that the City Council approve the proposed zoning map amendment, as presented in petition PLNPCM2019-00795, with the conditions listed in the staff report",Zoning Map Amendment,recommendation,Positive recommendation 8:0,Carolynn Hoskins,Maurine Bachman,True,Sara Urquhart,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,4,"approve the proposed planned development, as presented in petition PLNSUB2019-00934, with the conditions listed in the staff report",Planned Development,final_action,7:1 Approved (Final Action),Maurine Bachman,,True,Amy Barry,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,4,"approve the proposed planned development, as presented in petition PLNSUB2019-00934, with the conditions listed in the staff report",Planned Development,final_action,7:1 Approved (Final Action),Maurine Bachman,,True,Brenda Scheer,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,4,"approve the proposed planned development, as presented in petition PLNSUB2019-00934, with the conditions listed in the staff report",Planned Development,final_action,7:1 Approved (Final Action),Maurine Bachman,,True,Carolynn Hoskins,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
2020-01-08,2020,PlanningCommission,Planning Commission,4,"approve the proposed planned development, as presented in petition PLNSUB2019-00934, with the conditions listed in the staff report",Planned Development,final_action,7:1 Approved (Final Action),Maurine Bachman,,True,Darin Mano,Aye,planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md
