commissioner,first_seen,last_seen,n_meetings
Amy Barry,2020-01-08,2026-05-13,134
Aimee Burrows,2021-10-13,2026-06-24,88
Mike Christensen,2021-09-22,2025-08-27,85
Maurine Bachman,2020-01-08,2023-08-09,76
Brenda Scheer,2020-01-08,2023-07-12,67
Jon Lee,2020-01-22,2023-08-23,66
Andres Paredes,2020-01-08,2023-06-14,57
Rich Tuttle,2022-04-13,2024-07-10,52
Adrienne Bell,2020-01-08,2022-09-28,51
Brian Scott,2023-12-13,2026-06-24,44
Andra Ghent,2021-10-13,2023-11-08,40
Bree Scheer,2023-07-26,2025-05-28,38
Sara Urquhart,2020-01-08,2021-12-15,34
Anaya Gayle,2023-01-25,2024-11-13,33
Landon Kraczek,2023-11-29,2025-10-08,33
Matt Lyon,2020-01-08,2021-06-23,32
Carolynn Hoskins,2020-01-08,2021-09-22,30
Crystal Young-Otterstrom,2020-04-08,2021-09-08,25
Richard Leverett,2025-03-12,2026-06-24,22
Levi Oliveira,2022-04-27,2023-08-23,20
Jeffrey Barrett,2025-05-28,2026-06-24,16
Mike Vela,2025-05-28,2026-04-08,14
Lilah Rosenfield,2025-06-11,2026-06-24,10
Anna Sullivan,2026-02-25,2026-06-24,8
Carlos Santos Rivera,2023-09-13,2024-05-22,7
Turner Bitton,2023-09-13,2023-11-29,6
Carlos Santos-Rivera,2023-09-27,2024-04-24,5
McCall Christensen,2024-10-23,2025-08-13,3
Darin Mano,2020-01-08,2020-01-08,1
Rick Tuttle,2022-05-25,2022-05-25,1
