raw_name,canonical_name,category,note
Barbar Tidwell,Barbara Tidwell,ocr_typo,dropped-letter OCR of Barbara Tidwell
Tidwell,Barbara Tidwell,surname_fragment,mover/seconder surname (only Tidwell on council)
Vice-Chair Barbara Tidwell,Barbara Tidwell,role_prefix,un-stripped 'Vice-Chair' (hyphen not caught by ROLE_PREFIX)
Borup,Paul Borup,surname_fragment,mover/seconder surname (only Borup on council)
Councilmembers Paul Borup,Paul Borup,role_prefix,un-stripped plural 'Councilmembers'
Brady Chirstensen,Brady Christensen,ocr_typo,transposed letters (Chirstensen)
Brady Christesen,Brady Christensen,ocr_typo,dropped letter (Christesen)
Christensen,Brady Christensen,surname_fragment,mover/seconder surname (only Christensen on PC)
Chris Samds,Chris Sands,ocr_typo,m-for-n OCR (Samds)
Sands,Chris Sands,surname_fragment,mover/seconder surname (only Sands on PC)
Councilmembers David Erickson,David Erickson,role_prefix,un-stripped plural 'Councilmembers'
Dave Erickson,David Erickson,name_variant,short form of David Erickson
David,David Erickson,firstname_fragment,seconder first-name (only voting David; the exec David Zook does not vote)
David Erickcson,David Erickson,ocr_typo,doubled-c OCR (Erickcson)
David Erickon,David Erickson,ocr_typo,dropped-s OCR (Erickon)
David Ericksonl,David Erickson,ocr_typo,trailing-l OCR (Ericksonl)
David Ericksqn,David Erickson,ocr_typo,q-for-o OCR (Ericksqn)
Erickson,David Erickson,surname_fragment,mover/seconder surname (only Erickson on council)
Erickson Nolan Gunnell,Nolan Gunnell,parse_error,"comma-split failure on 2021-04-13 #9 'Nay: 2 Erickson Nolan Gunnell, Gordon A. Zilles' — Nay:2 = Gunnell + Zilles; leading 'Erickson' is a stray bleed (Erickson already voted Aye on this motion). Attributes the Nay to Nolan Gunnell."
Daugs,Nate Daugs,surname_fragment,mover/seconder surname (only Daugs on PC)
Nate Dauges,Nate Daugs,ocr_typo,trailing-e OCR (Dauges)
Gordan A. Zilles,Gordon A. Zilles,ocr_typo,a-for-o OCR (Gordan)
Zille,Gordon A. Zilles,surname_fragment,truncated surname (only Zilles on council)
Zilles,Gordon A. Zilles,surname_fragment,mover/seconder surname (only Zilles on council)
Jason Waterson,Jason Watterson,ocr_typo,dropped-t OCR (Waterson)
Jason Watteron,Jason Watterson,ocr_typo,dropped-s OCR (Watteron)
Watterson,Jason Watterson,surname_fragment,mover/seconder surname (only Watterson on PC)
