city,candidate,election_year,office,seat,raised,spent,n_filings,n_live,basis,review_flag
orem,David M. Spencer,2021,Council At-Large,,0.0,0.0,1,1,summary,
orem,LaNae Millett,2021,Council At-Large,,0.0,0.0,1,1,summary,
orem,Tom Macdonald,2021,Council At-Large,,0.0,0.0,2,2,summary,
orem,Dave Young,2021,Mayor,,0.0,0.0,1,1,summary,
orem,Crystal Muhlestein,2023,Council At-Large,,97382.49,95345.62,4,4,override,"OVERRIDE: mixed-scope per-period filer — PAGE-VERIFIED 2026-07-20: her Post prints FILING PERIOD 11/14/2023-12/20/2023 itemizing Keep Orem Safe Prosperous and Kind PAC $52,000 (11/17) + $41.83 self-loan = $52,041.83, and $56,760.61 expenditures (Tactical Campaigns $56,401.42) — a real discrete period, not a wrap-up. Her Nov-14 Final RESTATES the General period (General's rows recur 1.00 contrib / 0.88-by-count, 1.00-by-amount expend) plus new activity, so the General is excluded to avoid double-count. Cycle = Primary 20,749.38 + Final 24,591.28 + Post 52,041.83 / 18,382.06 + 20,202.95 + 56,760.61. Replaces the Post-as-cumulative reading ($52,041.83/$56,760.61); resolves this row's MIXED review_flag"
orem,Matt McKell,2023,Council At-Large,,60383.82,59547.53,4,4,summary,
orem,Jenn Gale,2023,Council At-Large,,76807.92,40135.99,7,7,override,"OVERRIDE: per-period filer (disjoint itemizations, clean date-blind check) — Final ($13,211.10/$13,490.97) and Post ($32,906.92/$5,944.50; itemizes Stronger Orem $23,756.29 in-kind + $4,942.95 cash, Realtors mailer $3,707.68 in-kind, Tom MacDonald $500) are real periods. Cycle = 20,850+9,839.90+13,211.10+32,906.92 (+ zero Annuals) / 16,458.23+4,242.29+13,490.97+5,944.50 (+0)"
orem,Chris Killpack,2023,Council At-Large,,74656.35,33266.85,7,7,override,"OVERRIDE: per-period filer (disjoint itemizations, clean date-blind check; every filing reconciles stated=itemized, high conf) — the Final ($18,621.10/$11,464.80) and Post ($37,011.29/$9,547.00; itemizes Stronger Orem PAC $23,756.29 in-kind + $5,777.42 cash, Realtors $3,708 in-kind, self-loan $3,269.58) are real periods; the latest-summary rule had taken the empty Annual-2026 instead. Cycle = 9,942.11+9,081.85+18,621.10+37,011.29 (+ zero Annuals) / 6,513.80+5,741.25+11,464.80+9,547 (+0)"
orem,Spencer Rands,2023,Council At-Large,,24091.67,20904.19,4,4,override,"OVERRIDE: per-period filer (disjoint itemizations, clean date-blind check) — Final ($3,050/$2,087.61) and Post ($60/$107.80) are real periods dropped by the latest-summary rule. Cycle = 20,921.67+60+3,050+60 / 16,891.81+1,816.97+2,087.61+107.80"
orem,Jeff Lambson,2023,Council At-Large,,44844.99,15757.88,7,7,override,"OVERRIDE: per-period filer (disjoint itemizations, clean date-blind check) — Final ($5,007.68/$1,185.00) and Post ($28,994.31/$7,451.57; itemizes the same Stronger Orem $23,756.29 in-kind package + Realtors GOTV $1,348.38 in-kind + named cash donors) are real periods. Cycle = 7,848+2,995+5,007.68+28,994.31 (+ zero-contrib Annuals) / 5,416.88+754.43+1,185+7,451.57+950 (Annual-2024's trailing $950 disposal spend included; +0+0)"
