candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Dave Young,Mayor,2021,2023-01-10,Annual 2023,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/202501_Mayor-Young-2023-Financial-Disclosure-2.pdf,51497170,medium,vision-transcribed(claude-sonnet-5),
David M. Spencer,Council,2021,2023-01-10,Annual 2023,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/202501_Dave-Spencer-2023-disclosure.pdf,e65e8c00,medium,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
LaNae Millett,Council,2021,2024-01-10,Annual 2024,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/202501_LaNae-Millett.pdf,1ad8d37b,medium,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
Tom Macdonald,Council,2021,2023-01-10,Annual 2023,summary,6000.00,4955.21,,,6000.00,4955.21,True,True,0.00,0.00,0.00,2,2,raw/202501_2023-Tom-Macdonald-disclosure.pdf,cd5a5dd8,medium,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
Tom Macdonald,Council,2021,2025-01-10,Annual 2025,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/202506_Macdonald-2025-financial.pdf,7529e8d8,medium,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
Archie Williams,Council,2023,2023-08-29,Primary,interim,75.00,0.00,,,75.00,0.00,True,True,0.00,0.00,75.00,1,0,raw/202501_8.29.23-Archie-Williams.pdf,ea9722f2,high,,
Archie Williams,Council,2023,2023-11-14,Final,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/202501_Archie-2023-final-disclosure.pdf,0308926d,high,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
Chris Killpack,Council,2023,2023-08-29,Primary,interim,9942.11,6513.80,,,9942.11,6513.80,True,True,0.00,0.00,2200.00,14,16,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,high,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
Chris Killpack,Council,2023,2023-10-24,General,interim,9081.85,5741.25,,,9081.85,5741.25,True,True,0.00,0.00,3300.00,12,5,raw/202503_10-24-2023-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,eb79cd8c,high,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
Chris Killpack,Council,2023,2023-11-14,Final,summary,18621.10,11464.80,,,18621.10,11464.80,True,True,0.00,0.00,14400.00,4,6,raw/202501_11-14-23-Chris-K-Digital-Financial-Disclosure.pdf,75ee6060,high,unitemized ≤$50 aggregate stated $50.00 (not itemized on form),
