urlpath	candidate	office	election_year	label	source
2025/01/8.29.23-Crystal-Muhlstein.pdf	Crystal Muhlestein	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Crystal-Disclosure.pdf	Crystal Muhlestein	Council At-Large	2023	General	orem.gov/elections
2025/01/Amended-Muhlestein.pdf	Crystal Muhlestein	Council At-Large	2023	Final	orem.gov/elections
2025/01/Crystal-Muhlestein-Final-Campaign-Finance-Disclosure.pdf	Crystal Muhlestein	Council At-Large	2023	Post	orem.gov/elections
2025/01/8.29.23-Matt-McKell.pdf	Matt McKell	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Financial-Disclosures-for-Matt-McKell-through-10-24-2023.pdf	Matt McKell	Council At-Large	2023	General	orem.gov/elections
2025/01/Matt-McKell-Campaign-Financial-Disclosure-11-13-2023.pdf	Matt McKell	Council At-Large	2023	Final	orem.gov/elections
2025/01/Final-Financial-Disclosure-for-Matt-McKell.pdf	Matt McKell	Council At-Large	2023	Post	orem.gov/elections
2025/03/8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf	Chris Killpack	Council At-Large	2023	Primary	orem.gov/elections
2025/03/10-24-2023-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf	Chris Killpack	Council At-Large	2023	General	orem.gov/elections
2025/01/11-14-23-Chris-K-Digital-Financial-Disclosure.pdf	Chris Killpack	Council At-Large	2023	Final	orem.gov/elections
2025/01/12-21-23-Chris-K-Digital-Financial-Disclosure-.pdf	Chris Killpack	Council At-Large	2023	Post	orem.gov/elections
2025/01/8.29.23-Jeff-Lambson.pdf	Jeff Lambson	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Jeff-Digital-Financial-Disclosure.xlsx.pdf	Jeff Lambson	Council At-Large	2023	General	orem.gov/elections
2025/01/Updated-Digitial-Expense-Report.xlsx.pdf	Jeff Lambson	Council At-Large	2023	Final	orem.gov/elections
2025/05/Jeff-Lambson-final-disclosure.pdf	Jeff Lambson	Council At-Large	2023	Post	orem.gov/elections
2025/01/8.29.23-Spencer-Rands.pdf	Spencer Rands	Council At-Large	2023	Primary	orem.gov/elections
2025/01/10.24.2023_Financial-Disclosure_Rands.pdf	Spencer Rands	Council At-Large	2023	General	orem.gov/elections
2025/01/11.14.2023_Financial-Disclosure_Rands.pdf	Spencer Rands	Council At-Large	2023	Final	orem.gov/elections
2025/01/Spencrer-Rands-12.21.2023_Financial-Disclosure_Rands-1.pdf	Spencer Rands	Council At-Large	2023	Post	orem.gov/elections
2025/05/8.29.23-Jenn-Gale.pdf	Jenn Gale	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Jenn-Gale-Financial-Disclosure-Oct-24-2023-Update.pdf	Jenn Gale	Council At-Large	2023	General	orem.gov/elections
2025/01/Nov-14-2023-Financial-Disclosure-Jenn-Gale.pdf	Jenn Gale	Council At-Large	2023	Final	orem.gov/elections
2025/01/Dec-21-2023-Finaicial-Disclosure-Jenn-Gale.xlsx-Sheet1.pdf	Jenn Gale	Council At-Large	2023	Post	orem.gov/elections
2025/01/8.29.23-Greg-Duerden.pdf	Greg Duerden	Council At-Large	2023	Primary	orem.gov/elections
2025/01/10.5.2023-Greg-Duerden-disclosure.pdf	Greg Duerden	Council At-Large	2023	Final	orem.gov/elections
2025/01/8.29.23-Archie-Williams.pdf	Archie Williams	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Archie-2023-final-disclosure.pdf	Archie Williams	Council At-Large	2023	Final	orem.gov/elections
2025/01/8.29.23-Heather-Fry.pdf	Heather Fry	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Heather-Fry-Final-disclosure.pdf	Heather Fry	Council At-Large	2023	Final	orem.gov/elections
2025/01/8.29.23-David-Garber.pdf	David Garber	Council At-Large	2023	Primary	orem.gov/elections
2025/01/Campaign-Finances-2023-10-05-David-Edward-Garber-for-Orem-City-Councilor.pdf	David Garber	Council At-Large	2023	Final	orem.gov/elections
2025/01/8.29.23-Mike-Carpenter.pdf	Mike Carpenter	Council At-Large	2023	Primary	orem.gov/elections
2025/05/8.29.23-Wade-Sewell.pdf	Wade Sewell	Council At-Large	2023	Primary	orem.gov/elections
2025/10/Young-28-days.pdf	Dave Young	Mayor	2025	28 days before Election	orem.gov/elections
2025/10/Young-7-day.pdf	Dave Young	Mayor	2025	7 days before Election	orem.gov/elections
2025/12/Young-Final-1.pdf	Dave Young	Mayor	2025	Final Report	orem.gov/elections
2025/10/McCandless-28-days.pdf	Karen McCandless	Mayor	2025	28 days before Election	orem.gov/elections
