date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path
2026-05-26,"City Council — future of parks, transit, and budget",Council,https://www.youtube.com/watch?v=GMYzejWyA2U,GMYzejWyA2U,asr,https://lehi.openutah.org/meetings/2026-05-26-lehi-city-council-discusses-future-of-parks-transit-and-budget-10af4f25-c982-4e39-8cfa-9cd73b908c0e,2026-07-20,caption,yt-dlp_auto_sub_en-orig,text/2026-05-26.md
2026-05-28,Planning Commission — new housing rules and 13-lot subdivision,PlanningCommission,https://www.youtube.com/watch?v=ajch_vFR84k,ajch_vFR84k,asr,https://lehi.openutah.org/meetings/2026-05-28-planning-commission-gives-green-light-to-new-housing-rules-and-a-13-lot-subdivis-7aa35b2a-26cc-46b0-aef6-1b1f8a73e5b9,2026-07-20,caption,yt-dlp_auto_sub_en-orig,text/2026-05-28.md
2025-05-27,"City Council — budget, annexations, housing adjustments",Council,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-05-27-lehi-city-council-approves-new-budget-annexations-and-housing-adjustments-506e19c0-9819-4fe6-a64f-bf121a23af8e,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-05-22,"Planning Commission — Smith's pharmacy, fence appeal",PlanningCommission,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-05-22-lehi-planning-commission-approves-new-smith-s-pharmacy-and-tackles-fence-appeal-e02ececb-5214-4a65-aea9-bc66987bbda0,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-05-13,City Council — denies high-density housing in Salt Spring,Council,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-05-13-city-council-denies-high-density-housing-proposal-in-salt-spring-neighborhood-58135b6d-f618-419d-b92a-67f1e1112637,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-05-08,"Planning Commission — homes, road improvements",PlanningCommission,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-05-08-planning-commission-approves-new-homes-and-road-improvements-but-hits-pause-on-v-d17be937-74b3-4b61-893a-6255fdad1d28,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-05-06,"City Council — SHARE affordable housing plan, FY2026 budget",Council,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-05-06-lehi-city-council-explores-new-shar-affordable-housing-plan-and-reviews-fy-2026--f3d529b5-9cfc-4680-9ac7-04d54038fc0e,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-04-24,Planning Commission — Swig drive-thru conditions,PlanningCommission,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-04-24-planning-commission-approves-swig-drive-thru-conditions-and-denies-fieldstone-ho-7c0ff70f-e95b-4b8d-9fd2-69ba4a9bd11d,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-04-22,"City Council — noise rules, station area plan",Council,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-04-22-city-council-tackles-noise-rules-approves-new-station-area-plan-and-clears-sever-c53a5cfc-6e6c-4011-a343-6cad510a7132,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-04-10,"Planning Commission — commercial lots, residential projects",PlanningCommission,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-04-10-lehi-planning-commission-approves-new-commercial-lots-and-residential-projects-493d636a-106c-4abc-b37d-afb2ab022963,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-04-08,City Council (Amended) — rejects green waste facility,Council,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-04-08-city-council-rejects-green-waste-facility-proposal-after-neighborhood-pushback-32af120e-0561-43d1-8fa0-fe6031076d9a,2026-07-20,na,unrecovered_video_not_on_youtube,
2025-03-27,Planning Commission — hospital area transit plan,PlanningCommission,https://www.youtube.com/channel/UCvdXq4ki7K9EU0FWLtTKCIw,,asr,https://lehi.openutah.org/meetings/2025-03-27-lehi-planning-commission-moves-forward-with-hospital-area-transit-plan-despite-r-024918b9-63c0-4f51-806a-9729df48d583,2026-07-20,na,unrecovered_video_not_on_youtube,
