year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal primary,Council,At-Large,Park City Council,,3,7,at-large block plurality (vote-for-3); top 6 advance; no RCV,,4021,Nann Worel,1090,27.11,Chadwick H. Fairbanks III,191,2,0.05,,,,,,,
2019,municipal general,Council,At-Large,Park City Council,,3,6,at-large block plurality (vote-for-3); no RCV,,5789,Nann Worel,1562,26.98,Ed Parigian,773,181,3.13,,,,,,,
2021,municipal primary,Mayor,,Park City Mayor,,1,3,plurality (vote-for-1); top 2 advance; no RCV,,2498,Nann Worel,1393,55.76,David A. Dobkin,367,371,14.85,,,,,,,
2021,municipal primary,Council,At-Large,Park City Council,,2,8,at-large block plurality (vote-for-2); top 4 advance; no RCV,,4377,Tana Toly,1351,30.87,John Greenfield,292,35,0.8,,,,,,,
2021,municipal general,Mayor,,Park City Mayor,,1,2,plurality (vote-for-1); no RCV,,3365,Nann Worel,2048,60.86,Andy Beerman,1317,731,21.72,,,,,,,
2021,municipal general,Council,At-Large,Park City Council,,2,3,at-large block plurality (vote-for-2); no RCV,,5777,Tana Toly,2208,38.22,Tim B. Henney,1439,691,11.96,,,,,,,
2023,municipal primary,Council,At-Large,Park City Council,,3,8,at-large block plurality (vote-for-3); top 6 advance; no RCV,,5519,Ryan Dickey,1364,24.71,Jody Whitesides,338,247,4.48,,,,,,,
2023,municipal general,Council,At-Large,Park City Council,,3,6,at-large block plurality (vote-for-3); no RCV,,6860,Ryan Dickey,1778,25.92,Bob Sertner,1084,74,1.08,,,,,,,
2025,municipal primary,Council,At-Large,Park City Council,,2,8,at-large block plurality (vote-for-2); top 4 advance; no RCV,,4959,Tana Toly,1081,21.8,Beth Armstrong,538,25,0.5,,,,,,,
2025,municipal general,Mayor,,Park City Mayor,,1,2,plurality (vote-for-1); no RCV,,3405,Ryan Dickey,1706,50.1,Jack Rubin,1699,7,0.21,,,,,,,
2025,municipal general,Council,At-Large,Park City Council,,2,3,at-large block plurality (vote-for-2); no RCV,,5883,Tana Toly,2337,39.72,Jeremy Rubell,1530,486,8.26,,,,,,,
