year,election_type,office,contest,precinct_code,precinct_name,candidate,votes
2021,municipal primary,Mayor,Park City Mayor,Dvn1:1,Dvn1:1,Nann Worel,68
2021,municipal primary,Mayor,Park City Mayor,Dvn1:1,Dvn1:1,Andy Beerman,47
2021,municipal primary,Mayor,Park City Mayor,Dvn1:1,Dvn1:1,David A. Dobkin,35
2021,municipal primary,Mayor,Park City Mayor,Dvs31:1,Dvs31:1,Nann Worel,259
2021,municipal primary,Mayor,Park City Mayor,Dvs31:1,Dvs31:1,Andy Beerman,108
2021,municipal primary,Mayor,Park City Mayor,Dvs31:1,Dvs31:1,David A. Dobkin,86
2021,municipal primary,Mayor,Park City Mayor,Dvs31:54,Dvs31:54,Nann Worel,0
2021,municipal primary,Mayor,Park City Mayor,Dvs31:54,Dvs31:54,Andy Beerman,0
2021,municipal primary,Mayor,Park City Mayor,Dvs31:54,Dvs31:54,David A. Dobkin,2
2021,municipal primary,Mayor,Park City Mayor,Oldn32:1,Oldn32:1,Nann Worel,87
2021,municipal primary,Mayor,Park City Mayor,Oldn32:1,Oldn32:1,Andy Beerman,56
2021,municipal primary,Mayor,Park City Mayor,Oldn32:1,Oldn32:1,David A. Dobkin,24
2021,municipal primary,Mayor,Park City Mayor,Olds2:1,Olds2:1,Nann Worel,49
2021,municipal primary,Mayor,Park City Mayor,Olds2:1,Olds2:1,Andy Beerman,44
2021,municipal primary,Mayor,Park City Mayor,Olds2:1,Olds2:1,David A. Dobkin,6
2021,municipal primary,Mayor,Park City Mayor,Pkmn35:1,Pkmn35:1,Nann Worel,281
2021,municipal primary,Mayor,Park City Mayor,Pkmn35:1,Pkmn35:1,Andy Beerman,100
2021,municipal primary,Mayor,Park City Mayor,Pkmn35:1,Pkmn35:1,David A. Dobkin,62
2021,municipal primary,Mayor,Park City Mayor,Pkms5:1,Pkms5:1,Nann Worel,97
2021,municipal primary,Mayor,Park City Mayor,Pkms5:1,Pkms5:1,Andy Beerman,81
2021,municipal primary,Mayor,Park City Mayor,Pkms5:1,Pkms5:1,David A. Dobkin,25
2021,municipal primary,Mayor,Park City Mayor,Pros3:1,Pros3:1,Nann Worel,89
2021,municipal primary,Mayor,Park City Mayor,Pros3:1,Pros3:1,Andy Beerman,41
2021,municipal primary,Mayor,Park City Mayor,Pros3:1,Pros3:1,David A. Dobkin,12
2021,municipal primary,Mayor,Park City Mayor,Quar6:1,Quar6:1,Nann Worel,230
2021,municipal primary,Mayor,Park City Mayor,Quar6:1,Quar6:1,Andy Beerman,126
2021,municipal primary,Mayor,Park City Mayor,Quar6:1,Quar6:1,David A. Dobkin,62
2021,municipal primary,Mayor,Park City Mayor,Side33:1,Side33:1,Nann Worel,108
2021,municipal primary,Mayor,Park City Mayor,Side33:1,Side33:1,Andy Beerman,63
2021,municipal primary,Mayor,Park City Mayor,Side33:1,Side33:1,David A. Dobkin,18
2021,municipal primary,Mayor,Park City Mayor,Thay4:1,Thay4:1,Nann Worel,125
2021,municipal primary,Mayor,Park City Mayor,Thay4:1,Thay4:1,Andy Beerman,72
2021,municipal primary,Mayor,Park City Mayor,Thay4:1,Thay4:1,David A. Dobkin,35
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Thomas C. Purcell,22
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Jamison Brandi,4
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Jeremy Rubell,60
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Michael J. Franchek,7
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Tim B. Henney,64
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,John Greenfield,27
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Daniel Lewis,10
2021,municipal primary,Council,Park City Council,Dvn1:1,Dvn1:1,Tana Toly,66
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Thomas C. Purcell,67
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Jamison Brandi,28
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Jeremy Rubell,207
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Michael J. Franchek,14
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Tim B. Henney,140
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,John Greenfield,62
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Daniel Lewis,22
2021,municipal primary,Council,Park City Council,Dvs31:1,Dvs31:1,Tana Toly,241
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Thomas C. Purcell,2
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Jamison Brandi,0
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Jeremy Rubell,2
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Michael J. Franchek,0
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Tim B. Henney,0
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,John Greenfield,0
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Daniel Lewis,0
2021,municipal primary,Council,Park City Council,Dvs31:54,Dvs31:54,Tana Toly,0
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Thomas C. Purcell,21
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Jamison Brandi,25
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Jeremy Rubell,75
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Michael J. Franchek,3
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Tim B. Henney,43
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,John Greenfield,17
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Daniel Lewis,21
2021,municipal primary,Council,Park City Council,Oldn32:1,Oldn32:1,Tana Toly,97
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Thomas C. Purcell,13
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Jamison Brandi,6
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Jeremy Rubell,44
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Michael J. Franchek,1
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Tim B. Henney,29
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,John Greenfield,13
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Daniel Lewis,9
2021,municipal primary,Council,Park City Council,Olds2:1,Olds2:1,Tana Toly,54
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Thomas C. Purcell,55
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Jamison Brandi,17
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Jeremy Rubell,274
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Michael J. Franchek,3
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Tim B. Henney,129
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,John Greenfield,42
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Daniel Lewis,25
2021,municipal primary,Council,Park City Council,Pkmn35:1,Pkmn35:1,Tana Toly,203
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Thomas C. Purcell,13
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Jamison Brandi,17
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Jeremy Rubell,107
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Michael J. Franchek,8
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Tim B. Henney,76
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,John Greenfield,19
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Daniel Lewis,11
2021,municipal primary,Council,Park City Council,Pkms5:1,Pkms5:1,Tana Toly,105
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Thomas C. Purcell,23
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Jamison Brandi,3
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Jeremy Rubell,61
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Michael J. Franchek,0
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Tim B. Henney,42
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,John Greenfield,24
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Daniel Lewis,11
2021,municipal primary,Council,Park City Council,Pros3:1,Pros3:1,Tana Toly,98
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Thomas C. Purcell,52
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Jamison Brandi,22
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Jeremy Rubell,207
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Michael J. Franchek,9
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Tim B. Henney,153
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,John Greenfield,47
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Daniel Lewis,13
2021,municipal primary,Council,Park City Council,Quar6:1,Quar6:1,Tana Toly,225
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Thomas C. Purcell,19
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Jamison Brandi,16
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Jeremy Rubell,82
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Michael J. Franchek,2
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Tim B. Henney,61
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,John Greenfield,22
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Daniel Lewis,16
2021,municipal primary,Council,Park City Council,Side33:1,Side33:1,Tana Toly,130
2021,municipal primary,Council,Park City Council,Thay4:1,Thay4:1,Thomas C. Purcell,40
2021,municipal primary,Council,Park City Council,Thay4:1,Thay4:1,Jamison Brandi,9
2021,municipal primary,Council,Park City Council,Thay4:1,Thay4:1,Jeremy Rubell,127
2021,municipal primary,Council,Park City Council,Thay4:1,Thay4:1,Michael J. Franchek,5
2021,municipal primary,Council,Park City Council,Thay4:1,Thay4:1,Tim B. Henney,69
