candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Ben Nadolski,Council,2019,2019-01-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/31390_2019-Nadolski-Combined.pdf,31390,medium,,
Luis Lopez,Council,2019,2019-01-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/31389_2019-Lopez-Combined.pdf,31389,high,,
Richard Hyer,Council,2019,2019-01-01,,summary,,25.00,,,,25.00,,True,,0.00,0.00,0,1,raw/2019/31388_2019-Hyer-Combined.pdf,31388,low,vision-transcribed(claude-sonnet-5),
Angel Castillo,Mayor,2019,2019-01-01,,summary,50701.56,32991.11,,,50701.56,32991.11,True,True,0.00,0.00,0.00,133,69,raw/2019/31387_2019-Castillo-Combined.pdf,31387,medium,vision-transcribed(claude-sonnet-5),
Daniel Tabbish,Mayor,2019,2019-01-01,,summary,26321.75,15150.16,,,26321.75,15150.16,True,True,0.00,0.00,0.00,11,9,raw/2019/31391_2019-Tabbish-combined.pdf,31391,medium,vision-transcribed(claude-sonnet-5),
John H Thompson,Mayor,2019,2019-01-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019/31392_2019-Thompson-Combined.pdf,31392,medium,,
Mike Caldwell,Mayor,2019,2019-01-01,,summary,53125.50,49558.31,,,52975.50,49530.81,False,False,-150.00,-27.50,0.00,43,18,raw/2019/31386_2019-Caldwell-Combined.pdf,31386,low,vision-transcribed(claude-sonnet-5); contrib!=stated; expend!=stated,
Angela Choberka,Council,2021,2021-01-01,,summary,9976.60,9348.19,,,9976.60,9348.19,True,True,0.00,0.00,0.00,61,55,raw/2021/17487_Choberka-Combined.pdf,17487,medium,vision-transcribed(claude-sonnet-5),
Bart Blair,Council,2021,2021-01-01,,summary,1800.00,4021.11,,,1800.00,4021.11,True,True,0.00,0.00,0.00,3,5,raw/2021/17486_Blair-Combined.pdf,17486,medium,vision-transcribed(claude-sonnet-5),
Daniel J. Gladwell,Council,2021,2021-01-01,,summary,0.00,1332.61,,,0.00,1342.61,True,False,0.00,10.00,0.00,0,11,raw/2021/17260_Gladwell-Combined.pdf,17260,low,expend!=stated,
Jack Barnes,Council,2021,2021-01-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/17259_Financial-Report-Place-holder---Barnes.pdf,17259,medium,,
Jase Reyneveld,Council,2021,2021-01-01,,summary,920.47,920.47,,,920.47,920.47,True,True,0.00,0.00,0.00,1,1,raw/2021/17252_Financial-Report-Place-holder---Reyneveld.pdf,17252,high,,
John H Thompson,Council,2021,2021-01-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/17258_Thompson-Combined.pdf,17258,medium,,
John Ogden,Council,2021,2021-01-01,,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021/17261_Ogden-Combined.pdf,17261,medium,,
Ken Richey,Council,2021,2021-01-01,,summary,12620.80,11858.45,,,12555.80,11828.45,False,False,-65.00,-30.00,6297.80,40,22,raw/2021/17257_Richey-Combined.pdf,17257,low,vision-transcribed(claude-sonnet-5); contrib!=stated; expend!=stated,
Marcia L. White,Council,2021,2021-01-01,,summary,2265.00,4274.73,,,,,,,,,0.00,0,0,raw/2021/17253_White-Combined.pdf,17253,low,totals-only(no itemization); totals-only(no itemization),
Mary Khalaf,Council,2021,2021-01-01,,summary,125.00,532.35,,,125.00,532.35,True,True,0.00,0.00,0.00,2,6,raw/2021/17255_Khalaf-Combined.pdf,17255,medium,vision-transcribed(claude-sonnet-5),
Priscilla Martinez,Council,2021,2021-01-01,,summary,33125.22,14546.34,,,20634.72,8104.06,False,False,-12490.50,-6442.28,0.00,114,58,raw/2021/17256_Martinez-Combined.pdf,17256,low,"incomplete extraction: summary states $33,125.22 contributions but only $10,881.46 itemizable (corrupted text layer); incomplete extraction: summary states $14,546.34 expenditures but only $4,974.84 itemizable (corrupted text layer); contrib!=stated; expend!=stated",
Sebastian Benitez,Council,2021,2021-01-01,,summary,17896.80,17796.80,,,17896.80,17796.80,True,True,0.00,0.00,8121.80,19,8,raw/2021/17485_Benitez-Combined.pdf,17485,medium,vision-transcribed(claude-sonnet-5),
Thomas H. Gooch,Council,2021,2021-01-01,,summary,330.00,396.00,,,330.00,396.00,True,True,0.00,0.00,0.00,3,7,raw/2021/17495_Gooch-Combined.pdf,17495,high,,
Alexander Castagno,Council,2023,2023-01-01,,summary,638.12,629.27,,,638.12,629.27,True,True,0.00,0.00,78.99,8,9,raw/2023/30770_Castagno-Combined.pdf,30770,medium,vision-transcribed(claude-sonnet-5),
Austin Raymond,Council,2023,2023-01-01,,summary,15.00,25.00,,,15.00,25.00,True,True,0.00,0.00,0.00,1,1,raw/2023/30781_08-29-2023-Raymond.pdf,30781,high,,
Dave Graf,Council,2023,2023-01-01,,summary,30581.72,29289.88,,,30681.42,29289.94,False,False,99.70,0.06,6273.42,113,67,raw/2023/30773_Graf-Combined.pdf,30773,low,vision-transcribed(claude-sonnet-5); contrib!=stated; expend!=stated,
