date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source_page,matched_election_candidate,join_confidence,is_winner,placeholder
2019-01-01,Ben Nadolski,Council,2019,summary,,Ben Nadolski — 2019 Ogden Council District 4 campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31390/2019-Nadolski-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/31390_2019-Nadolski-Combined.pdf,4,https://www.ogdencity.com/1624/2019-Elections,BEN NADOLSKI,exact,True,no
2019-01-01,Luis Lopez,Council,2019,summary,,Luis Lopez — 2019 Ogden Council At-Large C campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31389/2019-Lopez-Combined,2026-07-05,text,pdftotext -layout,raw/2019/31389_2019-Lopez-Combined.pdf,At-Large C,https://www.ogdencity.com/1624/2019-Elections,LUIS LOPEZ,exact,True,no
2019-01-01,Richard Hyer,Council,2019,summary,,Richard Hyer — 2019 Ogden Council District 2 campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31388/2019-Hyer-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/31388_2019-Hyer-Combined.pdf,2,https://www.ogdencity.com/1624/2019-Elections,RICHARD HYER,exact,True,no
2019-01-01,Angel Castillo,Mayor,2019,summary,,Angel Castillo — 2019 Ogden Mayor campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31387/2019-Castillo-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/31387_2019-Castillo-Combined.pdf,,https://www.ogdencity.com/1624/2019-Elections,ANGEL CASTILLO,exact,False,no
2019-01-01,Daniel Tabbish,Mayor,2019,summary,,Daniel Tabbish — 2019 Ogden Mayor campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31391/2019-Tabbish-combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/31391_2019-Tabbish-combined.pdf,,https://www.ogdencity.com/1624/2019-Elections,,none,,no
2019-01-01,John H Thompson,Mayor,2019,summary,,John H Thompson — 2019 Ogden Mayor campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31392/2019-Thompson-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/31392_2019-Thompson-Combined.pdf,,https://www.ogdencity.com/1624/2019-Elections,,none,,no
2019-01-01,Mike Caldwell,Mayor,2019,summary,,Mike Caldwell — 2019 Ogden Mayor campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/31386/2019-Caldwell-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/31386_2019-Caldwell-Combined.pdf,,https://www.ogdencity.com/1624/2019-Elections,MIKE CALDWELL,exact,True,no
2021-01-01,Angela Choberka,Council,2021,summary,,Angela Choberka — 2021 Ogden Council District 1 campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/17487/Choberka-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2021/17487_Choberka-Combined.pdf,1,https://www.ogdencity.com/2589/2021-Elections,ANGELA CHOBERKA,exact,True,no
2021-01-01,Bart Blair,Council,2021,summary,,Bart Blair — 2021 Ogden Council At-Large B campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/17486/Blair-Combined,2026-07-05,scanned,tesseract OCR (pdftoppm 300dpi),raw/2021/17486_Blair-Combined.pdf,At-Large B,https://www.ogdencity.com/2589/2021-Elections,BART BLAIR,exact,True,no
2021-01-01,Daniel J. Gladwell,Council,2021,summary,,Daniel J. Gladwell — 2021 Ogden Council At-Large A campaign financial disclosure (Combined Report of Contributions & Expenditures),https://www.ogdencity.com/DocumentCenter/View/17260/Gladwell-Combined,2026-07-05,text,pdftotext -layout,raw/2021/17260_Gladwell-Combined.pdf,At-Large A,https://www.ogdencity.com/2589/2021-Elections,DANIEL J. GLADWELL,exact,False,no
