file,chars,format,extraction_method
pmn_f1007923_Ord399.pdf,6253,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1007925_Ord400-A.pdf,5317,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1007927_Ord401-A.pdf,4867,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1019085_Ord402.pdf,5234,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1029025_Ord403.pdf,255566,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1029027_Ord404.pdf,6245,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1056135_Ord406.pdf,5743,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1074227_Ord407.pdf,7706,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1082011_Ord408.pdf,6269,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1082013_Ord409.pdf,4746,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1082017_Ord202.pdf,1693,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1088857_Ord410-A.pdf,5322,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1093789_Ord411.pdf,6408,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1106457_Ord412.pdf,4944,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1112245_Ord413.pdf,12081,text,pdftotext -layout (born-digital)
pmn_f1112247_Ord414.pdf,6156,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1112249_Ord415.pdf,56811,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1126509_Ord416.pdf,18886,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1138937_Ord417.pdf,6218,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1138939_Ord418.pdf,7965,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1161637_Ord420.pdf,45535,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1168565_Ord421.pdf,36135,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f1184189_Ord422.pdf,2789,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f540429_Ord331.pdf,23161,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f554313_Ord334.pdf,7213,text,pdftotext -layout (born-digital)
pmn_f567223_Ord336.pdf,4964,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f567733_Ord337.pdf,4764,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f567735_Ord338.pdf,25002,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f572941_Ord339-A.pdf,5004,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f577269_Ord340.pdf,24852,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f611879_Ord341.pdf,6565,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f611881_Ord342.pdf,8238,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f645847_Ord344.pdf,2591,text,pdftotext -layout (born-digital)
pmn_f645849_Ord345.pdf,5667,text,pdftotext -layout (born-digital)
pmn_f651559_Ord346.pdf,5453,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f651561_Ord347.pdf,4898,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f659773_Ord348.pdf,6503,scanned,tesseract 5 OCR @300dpi (scanned/image PDF)
pmn_f659775_Ord349.pdf,2945,text,pdftotext -layout (born-digital)
pmn_f663867_Ord350.pdf,2551,text,pdftotext -layout (born-digital)
