date,meeting_id,url,reason
2022-08-02,25,,no Minutes document template (packet/agenda only or cancelled)
2023-01-03,192,,no Minutes document template (packet/agenda only or cancelled)
2023-06-20,205,,no Minutes document template (packet/agenda only or cancelled)
2023-09-19,210,,no Minutes document template (packet/agenda only or cancelled)
2024-01-16,572,,no Minutes document template (packet/agenda only or cancelled)
2024-02-06,573,,no Minutes document template (packet/agenda only or cancelled)
2024-06-04,640,,no Minutes document template (packet/agenda only or cancelled)
2026-01-20,950,,no Minutes document template (packet/agenda only or cancelled)
2026-06-02,1127,,no Minutes document template (packet/agenda only or cancelled)
2026-06-02,1129,,no Minutes document template (packet/agenda only or cancelled)
2026-06-16,1128,,no Minutes document template (packet/agenda only or cancelled)
2026-06-16,1130,,no Minutes document template (packet/agenda only or cancelled)
