layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
Parcels,Countywide parcel boundary polygons (unincorporated + municipal). The base growth/ownership layer.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Parcels/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Parcels/MapServer,ArcGIS MapServer (query -> json/geojson),live,,Public (county ArcGIS Server; no license posted - treat as public records),high,Authoritative county parcel fabric. Join to Assessor for attributes. Do NOT bulk-mirror; query by bbox/where.
ParcelOwners,Parcel polygons joined to owner-of-record.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/ParcelOwners/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/ParcelOwners/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),high,Owner attribution layer.
Assessor,"Assessor tax-roll attributes joined to parcels (value, class, characteristics).",Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Assessor/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Assessor/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),high,Tax-roll / valuation attributes - the housing/value base.
Developed_Parcels,Parcels flagged as developed vs vacant.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Developed_Parcels/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Developed_Parcels/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),high,Direct developed/vacant signal for growth-capacity analysis.
Zoning,Unincorporated Washington County zoning districts.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Zoning/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Zoning/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),high,The zoning fabric matching the zoning-info PDFs and the county land-use ordinance.
GeneralPlan,General plan future land-use designations.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/GeneralPlan/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/GeneralPlan/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),high,Future land-use designations from the county General Plan (see plans/).
New_Harmony_Valley_General_Plan,New Harmony Valley community general-plan land use.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/New_Harmony_Valley_General_Plan/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/New_Harmony_Valley_General_Plan/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Community-plan land use for New Harmony Valley.
Subdivisions,Recorded subdivision plats.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Subdivisions/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Subdivisions/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),high,Subdivision plat fabric - a direct residential-growth record over time.
CommunityDevelopment,Community Development layer group (planning/zoning support).,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/CommunityDevelopment/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/CommunityDevelopment/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Planning/comdev support layer.
Boundaries,County / municipal / community boundaries.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Boundaries/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Boundaries/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Jurisdiction + unincorporated-community boundaries.
Greenbelt / GreenbeltParcels,Agricultural (greenbelt/FAA) assessed parcels.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/GreenbeltParcels/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/GreenbeltParcels/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Ag-assessed land; conversion out of greenbelt is a development signal.
Hazards,Natural-hazard overlay (geologic/flood).,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hazards/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hazards/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Development-constraint overlay.
WildfireHazardPotential,Wildfire hazard potential.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/WildfireHazardPotential/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/WildfireHazardPotential/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,WUI/wildfire constraint on buildable land.
WUI,Wildland-Urban Interface.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/WUI/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/WUI/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,WUI extent - constrains hillside/edge development.
Hillside_Slope_2009 / Slope_Degrees,Slope/hillside layers.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hillside_Slope_2009/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Hillside_Slope_2009/MapServer,ArcGIS MapServer / ImageServer,2009 / live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Hillside-development constraint (county hillside ordinance).
Elections,Voting precincts / districts.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Elections/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Elections/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Precinct geography (complements elections/ module - built by parallel agent).
Addressing / SiteAddressPoint_Locator,Address points + geocoder.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/Addressing/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/Addressing/MapServer,ArcGIS MapServer + GeocodeServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Address points; SiteAddressPoint_Locator is a live geocoder.
RMP,Resource Management Plan spatial layers.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/RMP/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/RMP/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),medium,Spatial companion to the interactive Resource Management Plan (see plans/).
TaxDistricts,Tax / special-district geography.,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/TaxDistricts/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/TaxDistricts/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),low,Taxing-district boundaries.
SepticData,Septic system locations (unincorporated).,Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services/SepticData/MapServer,https://agisprodvm.washco.utah.gov/arcgis/rest/services/SepticData/MapServer,ArcGIS MapServer,live,,Public (county ArcGIS Server; no license posted - treat as public records),low,Onsite-wastewater; proxy for un-sewered growth.
Aerial/Pictometry imagery series (1953-2026),"Historical + current orthoimagery time-series: Aerial 1953/1960/1967/1974-76/1977, DOQ 1993, NAIP 2004-2024, Pictometry 2007-2026, Google 2013-2017.",Washington County GIS (agisprodvm ArcGIS Server),https://agisprodvm.washco.utah.gov/arcgis/rest/services,https://agisprodvm.washco.utah.gov/arcgis/rest/services,ArcGIS ImageServer (many),1953-2026,,Public (county ArcGIS Server; no license posted - treat as public records),high,~35 ImageServers. The historical imagery time-series is a strong before/after growth-analysis asset. Catalog only - do NOT mirror rasters; consume via ImageServer export.
Utah Washington County Parcels LIR,"Statewide-schema parcel layer for Washington County (LIR: owner, acreage, value, year built, class).",UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-washington-county-parcels-lir,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahStatewideParcels/FeatureServer,ArcGIS FeatureServer,updated periodically,,CC BY 4.0 (UGRC/SGID),high,UGRC LIR parcels - standardized cross-county schema; alternative to the county Assessor server.
Utah Municipal Boundaries,Statewide city/town boundaries (filter COUNTY='WASHINGTON').,UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-municipal-boundaries,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahMunicipalBoundaries/FeatureServer/0,ArcGIS FeatureServer,live,,CC BY 4.0 (UGRC/SGID),medium,For county vs incorporated-city land-use jurisdiction split.
Utah Census / Housing (ACS) - Washington County,UGRC/Census housing + population tables at county/tract/block-group.,UGRC / Utah SGID,https://gis.utah.gov/data/demographic/,,tabular/ArcGIS,ACS vintages,,CC BY 4.0 (UGRC/SGID),medium,Demographic/housing context (complements projections/ module - built by parallel agent).
