person_id,full_name,name_key
1,Amy Z. Anderson,amyzanderson
2,Craig Maughan,craigmaughan
3,Dave Newman,davenewman
4,David Lewis,davidlewis
5,Eduardo Ortiz,eduardoortiz
6,Eldon Peterson,eldonpeterson
7,Ernesto López,ernestolpez
8,Jeannie F. Simmonds,jeanniefsimmonds
9,Jennifer Duncan,jenniferduncan
10,Jess W. Bradfield,jesswbradfield
11,Jessica Lucero,jessicalucero
12,Jordy Guth,jordyguth
13,Katie Lee-Koven,katieleekoven
14,Ken Heare,kenheare
15,Mark A. Anderson,markaanderson
16,Melissa Dahle,melissadahle
17,Mike Johnson,mikejohnson
18,Regina Dickinson,reginadickinson
19,Roylan Croshaw,roylancroshaw
20,Sandi Goodlander,sandigoodlander
21,Sara Doutre,saradoutre
22,Sarah McNamara,sarahmcnamara
23,Tom Jensen,tomjensen
24,Tony Nielson,tonynielson
